Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,3920.0,529
10,00000000-0000-0000-0000-000000000001,0,0.0,500
20,00000000-0000-0000-0000-000000000000,0,11760.0,568
20,00000000-0000-0000-0000-000000000001,0,0.0,500
30,00000000-0000-0000-0000-000000000000,0,21560.0,699
30,00000000-0000-0000-0000-000000000001,0,0.0,500
40,00000000-0000-0000-0000-000000000000,0,74480.0,1069
40,00000000-0000-0000-0000-000000000001,0,0.0,500
50,00000000-0000-0000-0000-000000000000,0,68600.0,1544
50,00000000-0000-0000-0000-000000000001,0,125440.0,1032
60,00000000-0000-0000-0000-000000000000,0,52920.0,1300
60,00000000-0000-0000-0000-000000000001,0,111720.0,1876
70,00000000-0000-0000-0000-000000000000,0,99960.0,1564
70,00000000-0000-0000-0000-000000000001,0,111720.0,2003
80,00000000-0000-0000-0000-000000000000,0,119560.0,1943
80,00000000-0000-0000-0000-000000000001,0,121520.0,1990
90,00000000-0000-0000-0000-000000000000,0,115640.0,2008
90,00000000-0000-0000-0000-000000000001,0,119560.0,1996
100,00000000-0000-0000-0000-000000000000,0,117600.0,2014
100,00000000-0000-0000-0000-000000000001,0,123480.0,2041
110,00000000-0000-0000-0000-000000000000,0,119560.0,2011
110,00000000-0000-0000-0000-000000000001,0,117600.0,2008
120,00000000-0000-0000-0000-000000000000,0,109760.0,2006
120,00000000-0000-0000-0000-000000000001,0,103880.0,1988
130,00000000-0000-0000-0000-000000000000,0,111720.0,1991
130,00000000-0000-0000-0000-000000000001,0,115640.0,2002
140,00000000-0000-0000-0000-000000000000,0,121520.0,1968
140,00000000-0000-0000-0000-000000000001,0,117600.0,1999
150,00000000-0000-0000-0000-000000000000,0,119560.0,2021
150,00000000-0000-0000-0000-000000000001,0,121520.0,2011
160,00000000-0000-0000-0000-000000000000,0,111720.0,2016
160,00000000-0000-0000-0000-000000000001,0,113680.0,2008
170,00000000-0000-0000-0000-000000000000,0,119560.0,2006
170,00000000-0000-0000-0000-000000000001,0,121520.0,2017
180,00000000-0000-0000-0000-000000000000,0,125440.0,1971
180,00000000-0000-0000-0000-000000000001,0,119560.0,1996
190,00000000-0000-0000-0000-000000000000,0,105840.0,1976
190,00000000-0000-0000-0000-000000000001,0,121520.0,2011
200,00000000-0000-0000-0000-000000000000,0,117600.0,2026
200,00000000-0000-0000-0000-000000000001,0,115640.0,2015
210,00000000-0000-0000-0000-000000000000,0,121520.0,2050
210,00000000-0000-0000-0000-000000000001,0,115640.0,2021
220,00000000-0000-0000-0000-000000000000,0,115640.0,2003
220,00000000-0000-0000-0000-000000000001,0,119560.0,2012
230,00000000-0000-0000-0000-000000000000,0,107800.0,2018
230,00000000-0000-0000-0000-000000000001,0,119560.0,2024
240,00000000-0000-0000-0000-000000000000,0,125440.0,1992
240,00000000-0000-0000-0000-000000000001,0,115640.0,2017
250,00000000-0000-0000-0000-000000000000,0,119560.0,2020
250,00000000-0000-0000-0000-000000000001,0,113680.0,2003
260,00000000-0000-0000-0000-000000000000,0,113680.0,1995
260,00000000-0000-0000-0000-000000000001,0,117600.0,2018
270,00000000-0000-0000-0000-000000000000,0,119560.0,2010
270,00000000-0000-0000-0000-000000000001,0,113680.0,1982
280,00000000-0000-0000-0000-000000000000,0,115640.0,2001
280,00000000-0000-0000-0000-000000000001,0,115640.0,2029
290,00000000-0000-0000-0000-000000000000,0,119560.0,2021
290,00000000-0000-0000-0000-000000000001,0,119560.0,2029
300,00000000-0000-0000-0000-000000000000,0,121520.0,1995
300,00000000-0000-0000-0000-000000000001,0,125440.0,1981
310,00000000-0000-0000-0000-000000000000,0,119560.0,2040
310,00000000-0000-0000-0000-000000000001,0,115640.0,2015
320,00000000-0000-0000-0000-000000000000,0,115640.0,2003
320,00000000-0000-0000-0000-000000000001,0,117600.0,2021
330,00000000-0000-0000-0000-000000000000,0,115640.0,2037
330,00000000-0000-0000-0000-000000000001,0,117600.0,2014
340,00000000-0000-0000-0000-000000000000,0,115640.0,2011
340,00000000-0000-0000-0000-000000000001,0,119560.0,2000
350,00000000-0000-0000-0000-000000000000,0,107800.0,1994
350,00000000-0000-0000-0000-000000000001,0,115640.0,2006
360,00000000-0000-0000-0000-000000000000,0,123480.0,1997
360,00000000-0000-0000-0000-000000000001,0,117600.0,2016
370,00000000-0000-0000-0000-000000000000,0,121520.0,1982
370,00000000-0000-0000-0000-000000000001,0,117600.0,2003
380,00000000-0000-0000-0000-000000000000,0,121520.0,2023
380,00000000-0000-0000-0000-000000000001,0,117600.0,2024
390,00000000-0000-0000-0000-000000000000,0,115640.0,2009
390,00000000-0000-0000-0000-000000000001,0,119560.0,1999
400,00000000-0000-0000-0000-000000000000,0,109760.0,2033
400,00000000-0000-0000-0000-000000000001,0,111720.0,2017
410,00000000-0000-0000-0000-000000000000,0,119560.0,1975
410,00000000-0000-0000-0000-000000000001,0,121520.0,2008
420,00000000-0000-0000-0000-000000000000,0,117600.0,2010
420,00000000-0000-0000-0000-000000000001,0,125440.0,2008
430,00000000-0000-0000-0000-000000000000,0,113680.0,2013
430,00000000-0000-0000-0000-000000000001,0,117600.0,2005
440,00000000-0000-0000-0000-000000000000,0,111720.0,2010
440,00000000-0000-0000-0000-000000000001,0,121520.0,2018
450,00000000-0000-0000-0000-000000000000,0,121520.0,1993
450,00000000-0000-0000-0000-000000000001,0,119560.0,1994
460,00000000-0000-0000-0000-000000000000,0,109760.0,2005
460,00000000-0000-0000-0000-000000000001,0,121520.0,1989
470,00000000-0000-0000-0000-000000000000,0,117600.0,2022
470,00000000-0000-0000-0000-000000000001,0,121520.0,2020
480,00000000-0000-0000-0000-000000000000,0,119560.0,2025
480,00000000-0000-0000-0000-000000000001,0,119560.0,2030
490,00000000-0000-0000-0000-000000000000,0,121520.0,2015
490,00000000-0000-0000-0000-000000000001,0,113680.0,2015
500,00000000-0000-0000-0000-000000000000,0,115640.0,2033
