Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,64,125440.0,522
10,00000000-0000-0000-0000-000000000001,64,125440.0,522
20,00000000-0000-0000-0000-000000000000,64,125440.0,524
20,00000000-0000-0000-0000-000000000001,64,125440.0,524
30,00000000-0000-0000-0000-000000000000,64,125440.0,525
30,00000000-0000-0000-0000-000000000001,64,125440.0,525
40,00000000-0000-0000-0000-000000000000,64,125440.0,525
40,00000000-0000-0000-0000-000000000001,64,125440.0,525
50,00000000-0000-0000-0000-000000000000,64,125440.0,525
50,00000000-0000-0000-0000-000000000001,64,125440.0,525
60,00000000-0000-0000-0000-000000000000,64,125440.0,525
60,00000000-0000-0000-0000-000000000001,64,125440.0,525
70,00000000-0000-0000-0000-000000000000,64,125440.0,525
70,00000000-0000-0000-0000-000000000001,64,125440.0,525
80,00000000-0000-0000-0000-000000000000,64,125440.0,524
80,00000000-0000-0000-0000-000000000001,64,125440.0,524
90,00000000-0000-0000-0000-000000000000,64,125440.0,525
90,00000000-0000-0000-0000-000000000001,64,125440.0,525
100,00000000-0000-0000-0000-000000000000,64,125440.0,525
100,00000000-0000-0000-0000-000000000001,64,125440.0,525
110,00000000-0000-0000-0000-000000000000,64,125440.0,525
110,00000000-0000-0000-0000-000000000001,64,125440.0,525
120,00000000-0000-0000-0000-000000000000,64,125440.0,525
120,00000000-0000-0000-0000-000000000001,64,125440.0,525
130,00000000-0000-0000-0000-000000000000,64,125440.0,525
130,00000000-0000-0000-0000-000000000001,64,125440.0,525
140,00000000-0000-0000-0000-000000000000,64,125440.0,525
140,00000000-0000-0000-0000-000000000001,64,125440.0,525
150,00000000-0000-0000-0000-000000000000,64,125440.0,525
150,00000000-0000-0000-0000-000000000001,64,125440.0,525
160,00000000-0000-0000-0000-000000000000,64,125440.0,525
160,00000000-0000-0000-0000-000000000001,64,125440.0,525
170,00000000-0000-0000-0000-000000000000,64,125440.0,525
170,00000000-0000-0000-0000-000000000001,64,125440.0,525
180,00000000-0000-0000-0000-000000000000,64,125440.0,525
180,00000000-0000-0000-0000-000000000001,64,125440.0,525
190,00000000-0000-0000-0000-000000000000,64,125440.0,525
190,00000000-0000-0000-0000-000000000001,64,125440.0,525
200,00000000-0000-0000-0000-000000000000,64,125440.0,525
200,00000000-0000-0000-0000-000000000001,64,125440.0,525
210,00000000-0000-0000-0000-000000000000,64,125440.0,525
210,00000000-0000-0000-0000-000000000001,64,125440.0,525
220,00000000-0000-0000-0000-000000000000,64,125440.0,525
220,00000000-0000-0000-0000-000000000001,64,125440.0,525
230,00000000-0000-0000-0000-000000000000,64,125440.0,525
230,00000000-0000-0000-0000-000000000001,64,125440.0,525
240,00000000-0000-0000-0000-000000000000,64,125440.0,525
240,00000000-0000-0000-0000-000000000001,64,125440.0,525
250,00000000-0000-0000-0000-000000000000,64,125440.0,525
250,00000000-0000-0000-0000-000000000001,64,125440.0,525
260,00000000-0000-0000-0000-000000000000,64,125440.0,525
260,00000000-0000-0000-0000-000000000001,64,125440.0,525
270,00000000-0000-0000-0000-000000000000,64,125440.0,525
270,00000000-0000-0000-0000-000000000001,64,125440.0,525
280,00000000-0000-0000-0000-000000000000,64,125440.0,525
280,00000000-0000-0000-0000-000000000001,64,125440.0,525
290,00000000-0000-0000-0000-000000000000,64,125440.0,525
290,00000000-0000-0000-0000-000000000001,64,125440.0,525
300,00000000-0000-0000-0000-000000000000,64,125440.0,525
300,00000000-0000-0000-0000-000000000001,64,125440.0,525
310,00000000-0000-0000-0000-000000000000,64,125440.0,525
310,00000000-0000-0000-0000-000000000001,64,125440.0,525
320,00000000-0000-0000-0000-000000000000,64,125440.0,524
320,00000000-0000-0000-0000-000000000001,64,125440.0,524
330,00000000-0000-0000-0000-000000000000,64,125440.0,525
330,00000000-0000-0000-0000-000000000001,64,125440.0,525
340,00000000-0000-0000-0000-000000000000,64,125440.0,525
340,00000000-0000-0000-0000-000000000001,64,125440.0,525
350,00000000-0000-0000-0000-000000000000,64,125440.0,525
350,00000000-0000-0000-0000-000000000001,64,125440.0,525
360,00000000-0000-0000-0000-000000000000,64,125440.0,525
360,00000000-0000-0000-0000-000000000001,64,125440.0,525
370,00000000-0000-0000-0000-000000000000,64,125440.0,525
370,00000000-0000-0000-0000-000000000001,64,125440.0,525
380,00000000-0000-0000-0000-000000000000,64,125440.0,525
380,00000000-0000-0000-0000-000000000001,64,125440.0,525
390,00000000-0000-0000-0000-000000000000,64,125440.0,525
390,00000000-0000-0000-0000-000000000001,64,125440.0,525
400,00000000-0000-0000-0000-000000000000,64,125440.0,525
400,00000000-0000-0000-0000-000000000001,64,125440.0,525
410,00000000-0000-0000-0000-000000000000,64,125440.0,525
410,00000000-0000-0000-0000-000000000001,64,125440.0,525
420,00000000-0000-0000-0000-000000000000,64,125440.0,525
420,00000000-0000-0000-0000-000000000001,64,125440.0,525
430,00000000-0000-0000-0000-000000000000,64,125440.0,525
430,00000000-0000-0000-0000-000000000001,64,125440.0,525
440,00000000-0000-0000-0000-000000000000,64,125440.0,525
440,00000000-0000-0000-0000-000000000001,64,125440.0,525
450,00000000-0000-0000-0000-000000000000,64,125440.0,525
450,00000000-0000-0000-0000-000000000001,64,125440.0,525
460,00000000-0000-0000-0000-000000000000,64,125440.0,525
460,00000000-0000-0000-0000-000000000001,64,125440.0,525
470,00000000-0000-0000-0000-000000000000,64,125440.0,525
470,00000000-0000-0000-0000-000000000001,64,125440.0,525
480,00000000-0000-0000-0000-000000000000,64,125440.0,525
480,00000000-0000-0000-0000-000000000001,64,125440.0,525
490,00000000-0000-0000-0000-000000000000,64,125440.0,525
