Makespan (s),Workflow Response time (s)
33092,33093.0
33086,33087.0
33111,33112.0
18430,33183.0
18202,33262.0
33048,33049.0
18198,33265.0
18441,33210.0
18261,33294.0
33092,33093.0
18425,33155.0
27262,27263.0
27072,27073.0
27330,27331.0
23444,33064.0
23327,33090.0
18246,33284.0
27325,27326.0
20543,27012.0
33073,33074.0
18476,33213.0
18465,33202.0
27016,27017.0
18190,33264.0
18219,33269.0
26979,26980.0
33072,33073.0
21084,27151.0
18210,33258.0
21969,27075.0
33059,33060.0
18321,33139.0
19499,34238.0
33081,33082.0
18174,33261.0
33063,33064.0
33084,33085.0
27940,33117.0
27193,27194.0
18202,33260.0
18231,33266.0
18782,33634.0
18227,33292.0
18427,33156.0
18380,33194.0
23392,33108.0
27184,27185.0
33054,33055.0
22868,33068.0
21522,26975.0
33104,33105.0
21174,27276.0
20779,27036.0
33079,33080.0
17763,27332.0
33070,33071.0
18207,33265.0
18207,33266.0
33087,33088.0
18211,33270.0
33026,33027.0
18233,33277.0
18224,33270.0
18414,33191.0
18407,33166.0
26594,33038.0
16851,27037.0
33110,33111.0
17649,27151.0
33095,33096.0
33082,33083.0
18208,33267.0
33084,33085.0
19873,27017.0
21962,27012.0
18230,33263.0
33105,33106.0
21815,27043.0
33099,33100.0
18200,33267.0
18179,33264.0
27912,33124.0
18418,33196.0
18168,33262.0
18366,33180.0
33062,33063.0
27076,27077.0
27941,33112.0
21879,27268.0
18369,33146.0
18311,33346.0
33106,33107.0
18439,33179.0
33100,33101.0
18198,33265.0
23507,33109.0
18373,33406.0
18457,33191.0
27022,27023.0
26980,26981.0
18255,33288.0
33094,33095.0
18197,33263.0
33083,33084.0
18390,33135.0
18229,33262.0
18148,33261.0
18214,33262.0
18397,33167.0
21193,27039.0
33097,33098.0
18234,33267.0
33088,33089.0
33094,33095.0
18206,33258.0
33051,33052.0
28241,33063.0
33099,33100.0
33113,33114.0
18196,33264.0
18172,33266.0
33096,33097.0
23523,33097.0
33091,33092.0
27020,27021.0
18211,33263.0
17658,27193.0
18225,33271.0
33062,33063.0
18218,33263.0
23564,33103.0
19268,33999.0
18403,33216.0
27184,27185.0
19652,34388.0
33100,33101.0
19381,34121.0
33073,33074.0
27328,27329.0
18197,33260.0
18231,33264.0
18185,33262.0
18402,33216.0
18416,33192.0
23230,33052.0
18230,33263.0
23544,33085.0
17680,27266.0
33112,33113.0
18214,33263.0
18367,33144.0
18417,33175.0
33054,33055.0
22086,27041.0
27008,27009.0
18220,33280.0
18476,33216.0
33039,33040.0
18371,33144.0
22592,33133.0
18402,33172.0
18988,33722.0
18441,33210.0
26049,33097.0
33087,33088.0
33070,33071.0
26695,33109.0
33076,33077.0
18378,33155.0
18388,33165.0
22071,27026.0
27041,27042.0
18400,33140.0
18245,33278.0
33087,33088.0
18231,33266.0
33090,33091.0
21985,26978.0
18220,33278.0
18425,33155.0
27076,27077.0
18413,33143.0
33087,33088.0
27258,27259.0
18435,33175.0
18223,33261.0
18216,33261.0
18405,33144.0
18178,33267.0
18527,33267.0
18183,33269.0
33116,33117.0
18293,33144.0
18374,33413.0
18364,33194.0
18477,33207.0
27273,33121.0
33097,33098.0
21397,27278.0
27228,27229.0
