Makespan (s),Workflow Response time (s)
50801,50802.0
50883,50924.0
51036,51040.0
51045,51046.0
50861,50902.0
51043,51045.0
41937,41939.0
51052,51066.0
49309,49314.0
50957,50998.0
51297,51338.0
50996,51037.0
50989,51030.0
51051,51067.0
50992,51033.0
51043,51044.0
51056,51070.0
51060,51076.0
50874,50915.0
50886,50927.0
51051,51065.0
50999,51040.0
51058,51072.0
50955,50996.0
50879,50920.0
50505,50506.0
50881,50922.0
51038,51040.0
51042,51044.0
51049,51063.0
50878,50922.0
50937,50978.0
51041,51042.0
51042,51043.0
51035,51037.0
50847,50888.0
50907,50948.0
51167,51181.0
50987,51031.0
51061,51075.0
51044,51045.0
51031,51034.0
50985,51029.0
51048,51064.0
50497,50498.0
51055,51069.0
50975,51019.0
50958,50999.0
50865,50938.0
50977,51018.0
50865,50909.0
51007,51048.0
50957,50998.0
50973,51017.0
50489,50491.0
50844,50846.0
50951,50995.0
50849,50928.0
50950,50994.0
51002,51043.0
51047,51048.0
51051,51067.0
50940,51005.0
51053,51069.0
51052,51066.0
50917,50990.0
51604,51645.0
50965,51006.0
50966,51010.0
51035,51036.0
51053,51069.0
51043,51044.0
51056,51070.0
51055,51069.0
50917,50961.0
51027,51028.0
51074,51088.0
51054,51070.0
50898,50942.0
50987,51031.0
50941,50985.0
50874,50918.0
51044,51045.0
50994,51035.0
50890,50934.0
50870,50911.0
50925,50926.0
50968,51009.0
50900,50941.0
51051,51067.0
50944,50988.0
51052,51066.0
51005,51046.0
50969,51010.0
50963,50964.0
50940,50984.0
51048,51064.0
50884,50925.0
50946,50987.0
50904,50945.0
51041,51043.0
50818,50862.0
51037,51038.0
50805,50806.0
50916,50957.0
51040,51042.0
50871,50936.0
51055,51069.0
50745,50746.0
49318,49324.0
51057,51071.0
42834,42835.0
51050,51064.0
50930,50971.0
51053,51069.0
50857,50898.0
50925,50966.0
51008,51049.0
51052,51066.0
50973,51014.0
51049,51065.0
49313,49316.0
49344,49346.0
50934,50978.0
50896,50940.0
51051,51067.0
50919,50960.0
50847,50849.0
51053,51067.0
50900,50944.0
50963,51004.0
51054,51070.0
51058,51074.0
50973,51014.0
50914,50958.0
50891,50932.0
50934,50975.0
50938,50979.0
51053,51069.0
50994,51035.0
49320,49322.0
48616,48620.0
50985,50991.0
50961,51005.0
51041,51042.0
51037,51038.0
51052,51066.0
51052,51068.0
50923,50967.0
50893,50934.0
50894,50935.0
50883,50924.0
50931,50975.0
51051,51065.0
51050,51066.0
50820,50861.0
50898,50899.0
50860,50901.0
50722,50723.0
50788,50789.0
51780,51821.0
50977,51018.0
50965,51036.0
51043,51044.0
51054,51070.0
50837,50878.0
50924,50965.0
50960,51001.0
50509,50510.0
50962,51006.0
50916,50989.0
50632,50634.0
49896,49899.0
50992,51036.0
51760,51801.0
49389,49395.0
51042,51043.0
50963,51036.0
50919,50960.0
51051,51067.0
51037,51038.0
51051,51067.0
51008,51049.0
51006,51047.0
50976,51017.0
50935,50976.0
51033,51038.0
50940,50981.0
50787,50788.0
50885,50929.0
50959,51000.0
50968,51009.0
50487,50489.0
51054,51068.0
50924,50968.0
50955,50996.0
51047,51063.0
51052,51068.0
50846,50848.0
51148,51162.0
