No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
0,95040.0,189030
0,0.0,60443
0,120960.0,63394
0,0.0,60750
0,0.0,62841
0,120960.0,104581
0,0.0,72638
0,120960.0,234044
0,77760.0,190176
0,0.0,60000
0,56160.0,162163
0,0.0,60000
0,0.0,60000
0,120960.0,108000
0,0.0,60000
0,120960.0,252000
0,77760.0,183428
0,0.0,60000
0,0.0,75269
0,0.0,60000
0,0.0,60000
0,0.0,126561
0,0.0,60000
0,118800.0,251943
0,120960.0,216450
0,0.0,60153
0,0.0,60211
0,0.0,60102
0,0.0,60102
0,0.0,60158
0,0.0,60102
0,19440.0,149622
0,120960.0,251891
0,0.0,60000
0,120960.0,61394
0,0.0,60000
0,0.0,60000
0,120960.0,61394
0,0.0,60000
0,34560.0,65011
0,120960.0,144461
0,62720.0,61069
0,6480.0,193044
0,0.0,60000
0,0.0,60000
0,120960.0,185943
0,0.0,60000
0,120960.0,146456
0,108000.0,251023
0,0.0,67021
0,120960.0,62084
0,0.0,60000
0,0.0,60000
0,6480.0,101395
0,0.0,60000
0,0.0,148424
0,19440.0,214213
0,0.0,60000
0,120960.0,136024
0,0.0,60000
0,0.0,60000
0,0.0,61592
0,0.0,60000
0,0.0,60000
0,120960.0,167326
0,62720.0,62717
0,120960.0,109124
0,0.0,60000
0,0.0,60000
0,6480.0,74449
0,0.0,60000
0,32400.0,78876
0,99360.0,238919
0,0.0,66257
0,120960.0,119754
0,0.0,60000
0,0.0,60000
0,0.0,68625
0,0.0,60000
0,0.0,60879
0,120960.0,130493
0,62720.0,61527
0,28080.0,128382
0,0.0,60000
0,0.0,60000
0,120960.0,61745
0,0.0,60000
0,120960.0,61745
0,120960.0,244657
0,0.0,66273
0,114480.0,81703
0,0.0,60000
0,0.0,60000
0,6480.0,81398
0,0.0,60000
0,0.0,76793
0,120960.0,251816
0,0.0,60000
0,66960.0,133109
0,0.0,60000
0,0.0,60000
0,0.0,62760
0,0.0,60000
0,0.0,60000
0,120960.0,251700
0,0.0,60000
0,0.0,87489
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,250659
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,252000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,246930
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,249936
0,0.0,59999
0,0.0,60634
0,0.0,60000
0,0.0,59999
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251948
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251829
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251763
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251813
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251798
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251748
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251650
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251833
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251751
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251649
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251880
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251794
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,118800.0,251852
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251819
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251854
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,120960.0,251753
0,0.0,60000
0,0.0,60000
0,0.0,60000
