Makespan (s),Workflow Response time (s)
45764,45765.0
45886,45900.0
46003,46007.0
46013,46014.0
45874,45888.0
46012,46013.0
35993,35995.0
46026,46037.0
43298,43303.0
45992,46006.0
46406,46420.0
45987,46001.0
45983,45997.0
46022,46033.0
45987,46001.0
46011,46012.0
46026,46037.0
46035,46046.0
45868,45882.0
45887,45901.0
46021,46032.0
45994,46008.0
46028,46039.0
45952,45966.0
45867,45881.0
45446,45447.0
45918,45932.0
46009,46010.0
46009,46011.0
46020,46031.0
45897,45911.0
45925,45939.0
46011,46012.0
46009,46010.0
46006,46007.0
45856,45870.0
45827,45841.0
46150,46161.0
45983,45997.0
46033,46044.0
46012,46013.0
46003,46005.0
45983,45997.0
46022,46033.0
45433,45434.0
46025,46036.0
45981,45995.0
45952,45966.0
45915,45929.0
45982,45996.0
45846,45860.0
46004,46018.0
45953,45967.0
45981,45995.0
45421,45422.0
45902,45904.0
45940,45954.0
45865,45903.0
45960,45974.0
45996,46010.0
46014,46015.0
46023,46034.0
45970,45984.0
46023,46034.0
46022,46033.0
45936,45950.0
46725,46739.0
45973,45987.0
45976,45990.0
46005,46006.0
46023,46034.0
46012,46013.0
46025,46036.0
46024,46035.0
45897,45911.0
46003,46004.0
46045,46056.0
46024,46035.0
45919,45933.0
45984,45998.0
45936,45950.0
45865,45879.0
46012,46013.0
45988,46002.0
45916,45930.0
45849,45863.0
46001,46002.0
45973,45987.0
45920,45934.0
46021,46032.0
45936,45950.0
46022,46033.0
46001,46015.0
45978,45992.0
46001,46002.0
45931,45945.0
46022,46033.0
45878,45892.0
45941,45955.0
45921,45935.0
46008,46010.0
45755,45769.0
46006,46007.0
45839,45840.0
45881,45895.0
46007,46009.0
45908,45922.0
46023,46034.0
45424,45425.0
43825,43830.0
46024,46035.0
38567,38568.0
46022,46033.0
45918,45932.0
46023,46034.0
45823,45837.0
45908,45922.0
46004,46018.0
46022,46033.0
45980,45994.0
46021,46032.0
43283,43286.0
44487,44489.0
45936,45950.0
45910,45924.0
46021,46032.0
45873,45887.0
45907,45909.0
46024,46035.0
45911,45925.0
45956,45970.0
46023,46034.0
46030,46041.0
45979,45993.0
45892,45906.0
45867,45881.0
45925,45939.0
45929,45943.0
46024,46035.0
45985,45999.0
43587,43589.0
43285,43289.0
45996,46002.0
45968,45982.0
46011,46012.0
46006,46007.0
46020,46031.0
46021,46032.0
45909,45923.0
45907,45921.0
45882,45896.0
45819,45833.0
45886,45900.0
46021,46032.0
46023,46034.0
45753,45767.0
45985,45986.0
45802,45816.0
45659,45660.0
45686,45687.0
46952,46966.0
45982,45996.0
45990,46004.0
46011,46012.0
46026,46037.0
45752,45766.0
45900,45914.0
45942,45956.0
45400,45401.0
45972,45986.0
45941,45955.0
45472,45474.0
45402,45405.0
45990,46004.0
46885,46899.0
43898,43904.0
46011,46012.0
45965,46003.0
45904,45918.0
46024,46035.0
46006,46007.0
46023,46034.0
46004,46018.0
46000,46014.0
45981,45995.0
45922,45936.0
46003,46007.0
45930,45944.0
45834,45835.0
45893,45907.0
45942,45956.0
45976,45990.0
45424,45426.0
46023,46034.0
45931,45945.0
45960,45974.0
46020,46031.0
46023,46034.0
45926,45928.0
46127,46138.0
