No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
0,94080.0,222002
0,125440.0,227192
0,125440.0,220038
0,70560.0,132692
0,52920.0,183022
0,125440.0,246000
0,125440.0,252000
0,70560.0,168000
0,0.0,81504
0,43120.0,221537
0,125440.0,252000
0,70560.0,168000
0,125440.0,61270
0,0.0,68603
0,43120.0,209403
0,70560.0,168459
0,125440.0,221503
0,82320.0,75292
0,43120.0,137257
0,66640.0,167430
0,125440.0,251806
0,125440.0,72603
0,43120.0,78602
0,15680.0,126840
0,125440.0,251774
0,0.0,91149
0,23520.0,64903
0,0.0,64088
0,125440.0,251881
0,37240.0,60644
0,0.0,61042
0,0.0,59999
0,125440.0,251833
0,5880.0,83737
0,0.0,60000
0,0.0,60000
0,125440.0,251835
0,0.0,65648
0,0.0,60000
0,0.0,60000
0,125440.0,251852
0,37240.0,61452
0,0.0,60000
0,0.0,60000
0,125440.0,251846
0,5880.0,85449
0,0.0,60000
0,0.0,60000
0,125440.0,251812
0,0.0,63424
0,0.0,60000
0,0.0,60000
0,125440.0,251806
0,43120.0,66067
0,0.0,60000
0,0.0,60000
0,125440.0,251804
0,5880.0,83606
0,0.0,60000
0,0.0,60000
0,125440.0,251839
0,37240.0,60685
0,0.0,60000
0,0.0,60000
0,125440.0,251850
0,23520.0,81904
0,0.0,60000
0,0.0,60000
0,125440.0,251898
0,0.0,67929
0,0.0,60000
0,0.0,60000
0,123480.0,251739
0,37240.0,60892
0,0.0,60000
0,0.0,60000
0,125440.0,251845
0,5880.0,87051
0,0.0,60000
0,0.0,60000
0,125440.0,251781
0,0.0,64568
0,0.0,60000
0,0.0,60000
0,125440.0,250085
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,123480.0,248999
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,250270
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,249246
0,0.0,60229
0,0.0,60000
0,0.0,60000
0,125440.0,251852
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251884
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251777
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251888
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251880
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251798
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251802
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251895
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251826
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251836
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251830
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251763
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251878
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251870
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,123480.0,251865
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251762
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251834
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251455
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251713
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251895
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,125440.0,251781
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,123480.0,251847
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,123480.0,251761
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,37240.0,230716
0,0.0,60000
0,0.0,60000
0,0.0,60000
