Makespan (s),Workflow Response time (s)
24,31634.0
81842,98096.0
155469,165823.0
22,32329.0
24,32309.0
152469,181369.0
152427,181366.0
379,379.0
152493,181391.0
79342,92216.0
24,32185.0
79087,91621.0
79065,91604.0
86887,106518.0
86882,106515.0
91771,114248.0
91478,113609.0
90443,110809.0
91415,113525.0
91754,114234.0
91834,114124.0
91838,114144.0
24,31457.0
24,31435.0
39,39.0
561,561.0
540,540.0
118664,148974.0
158879,181442.0
162003,181847.0
139521,169995.0
151790,179890.0
139701,169980.0
22,24723.0
24,32322.0
122417,153235.0
127726,158841.0
127717,159212.0
0,32039.0
127738,159250.0
127722,159226.0
127650,159101.0
127660,159123.0
127665,159121.0
24,32069.0
22,31631.0
127724,159224.0
127660,158954.0
127657,159108.0
0,32443.0
0,32444.0
24,31635.0
122167,152830.0
127352,158400.0
124193,155114.0
127619,159000.0
124051,154934.0
0,32435.0
0,32435.0
0,32441.0
0,32442.0
0,32446.0
0,32432.0
91359,113491.0
0,32433.0
0,32441.0
0,32445.0
124195,155116.0
0,32437.0
127350,158398.0
0,32442.0
118982,149451.0
0,32415.0
152070,181424.0
160774,181676.0
24,32069.0
174690,184768.0
161287,181745.0
152125,179906.0
81847,98069.0
112629,142268.0
57847,69092.0
24,31517.0
101604,130997.0
160952,181707.0
51784,62167.0
139778,169963.0
0,32320.0
153596,181373.0
152506,181368.0
101369,130243.0
0,31638.0
152452,181363.0
24,31531.0
127713,158857.0
127733,158852.0
127350,158397.0
0,31964.0
24,31993.0
101513,130425.0
124193,155113.0
122928,153795.0
124051,154930.0
24,32133.0
24,30426.0
127622,159074.0
0,32296.0
0,29682.0
0,32285.0
22,31536.0
0,32319.0
113628,143757.0
127727,158842.0
0,32337.0
0,32273.0
47,2107.0
0,29694.0
1255,30950.0
0,32308.0
113517,143155.0
0,32079.0
107762,137380.0
0,32246.0
0,32442.0
0,32167.0
0,32403.0
0,32409.0
0,32407.0
24,31212.0
25,25.0
0,32407.0
0,32410.0
149564,180427.0
149419,180415.0
0,32366.0
152123,181413.0
151948,181405.0
152163,181415.0
124150,154924.0
24,31438.0
24,31538.0
152148,181414.0
150809,181387.0
152163,181415.0
150869,181390.0
171606,192517.0
0,32326.0
152213,181396.0
0,32431.0
0,32441.0
0,32366.0
0,32433.0
4,32446.0
152167,181415.0
0,32323.0
0,32432.0
0,32365.0
0,32430.0
25,26.0
0,32407.0
0,32437.0
152143,181413.0
0,32389.0
1293,33640.0
0,32343.0
0,32407.0
0,32366.0
0,32363.0
152115,181411.0
152386,181379.0
0,32347.0
1,31454.0
150236,181343.0
161382,191707.0
24,32324.0
152149,181416.0
0,32337.0
161281,191692.0
10,32368.0
8,32357.0
151853,181493.0
126650,157659.0
151872,181450.0
161286,191699.0
152061,181470.0
152315,181377.0
127162,159416.0
20,32379.0
20,32379.0
22,32402.0
0,32274.0
0,32363.0
20,32432.0
30,32378.0
22,32382.0
51,32348.0
20,32387.0
159949,181609.0
127274,159413.0
126646,157658.0
127660,158951.0
162119,181931.0
152813,181406.0
130,32447.0
20,32431.0
22,32422.0
20,32400.0
20,32336.0
20,32408.0
20,32383.0
22,32388.0
20,32387.0
22,32385.0
20,32400.0
22,32392.0
22,32388.0
127659,158940.0
127721,158840.0
127678,158747.0
154046,181413.0
124304,155100.0
155416,181400.0
139518,169990.0
139419,169996.0
139464,170027.0
139426,169992.0
150069,180421.0
151772,181457.0
155750,181391.0
155425,181402.0
149731,180432.0
150188,180457.0
151302,181392.0
155099,181403.0
22,32341.0
122427,153254.0
127679,158862.0
127667,158872.0
127660,158913.0
127663,158952.0
122162,152827.0
155781,181418.0
155616,181404.0
150994,180285.0
153917,181384.0
153684,181382.0
20,32337.0
122412,153238.0
127721,158842.0
153615,181379.0
94661,119346.0
91815,114129.0
20,31597.0
79515,93144.0
24,31692.0
165827,182139.0
102636,132279.0
155002,181446.0
0,32298.0
127783,159146.0
127830,158877.0
152779,181375.0
152529,181399.0
156261,181446.0
152524,181397.0
152529,181400.0
24,30139.0
108639,138278.0
151837,167957.0
172651,193019.0
25,1101.0
154223,181409.0
152889,181370.0
181138,194467.0
186677,197083.0
172869,193257.0
140180,169951.0
170129,192372.0
151146,181401.0
151245,181404.0
158943,181433.0
499,4078.0
155859,181452.0
156304,181491.0
155046,183124.0
128,32454.0
128,32453.0
128,32453.0
153295,181388.0
153130,181395.0
0,32171.0
91264,111714.0
159588,181576.0
159238,181544.0
158821,181482.0
158826,181486.0
158924,181485.0
128,32452.0
128,32454.0
128,32447.0
166061,182133.0
166060,182114.0
159962,182097.0
0,31966.0
160309,181701.0
0,30423.0
113814,143710.0
8,32325.0
155166,181469.0
112512,142268.0
8,32192.0
140510,169918.0
0,32189.0
162131,181926.0
51,32227.0
162127,181918.0
127645,158928.0
162124,181907.0
172397,183904.0
127647,159120.0
127745,159271.0
127744,159271.0
127726,159277.0
100494,129078.0
161475,176540.0
0,32297.0
122490,153095.0
127736,159246.0
127750,159279.0
0,31568.0
99943,128071.0
127692,159068.0
155968,181492.0
101387,130413.0
159237,181477.0
157193,181482.0
158948,181512.0
157068,181493.0
153084,179538.0
112550,142250.0
127764,158994.0
139469,169989.0
139461,169988.0
155723,183094.0
22,31653.0
155718,183079.0
165931,191917.0
164678,190663.0
175,32381.0
4,31580.0
164252,190725.0
163318,191099.0
165420,191895.0
164466,190983.0
164292,190735.0
139372,169993.0
167734,189974.0
164543,191017.0
158197,186588.0
176959,187198.0
118977,149463.0
122269,153043.0
127647,159140.0
40,32180.0
98116,123707.0
102919,131453.0
40,30656.0
81077,97335.0
0,32275.0
20,32465.0
20,32454.0
20,32461.0
20,32460.0
20,32436.0
20,32416.0
20,32435.0
20,32426.0
20,32179.0
0,32439.0
20,32318.0
20,32380.0
20,32463.0
127629,158981.0
127612,158960.0
1,30487.0
151608,181426.0
153696,181380.0
0,32337.0
166155,182386.0
20,32375.0
0,32419.0
92156,113478.0
155772,181420.0
150191,180441.0
150135,180449.0
116789,147139.0
154554,183036.0
154771,183035.0
127661,159157.0
154177,183038.0
0,32275.0
154174,183035.0
155619,183060.0
159404,181526.0
0,32332.0
153826,183009.0
154158,183019.0
154195,183013.0
152602,181463.0
152516,181388.0
152550,181422.0
151998,181397.0
151222,181407.0
151480,181399.0
0,32416.0
0,32355.0
0,32435.0
0,32442.0
20,32435.0
118992,149466.0
20,32344.0
0,32399.0
116773,147117.0
101352,130412.0
118581,149008.0
113670,143943.0
