Makespan (s),Workflow Response time (s)
1169,1170.0
56251,56304.0
55949,56015.0
59128,59425.0
59091,59144.0
40714,40732.0
57309,58962.0
38621,40222.0
38671,40691.0
37553,39973.0
36894,39480.0
37145,40257.0
36522,39895.0
35864,39441.0
36173,39871.0
54565,58535.0
35879,39826.0
36538,40527.0
37035,41421.0
35230,39947.0
39575,44685.0
52850,58430.0
39073,44647.0
52457,58396.0
52457,58362.0
52470,58373.0
52456,58356.0
52456,58353.0
52455,58352.0
37653,43546.0
52456,58408.0
39177,45128.0
51994,58407.0
37884,44304.0
51908,58325.0
42998,49404.0
51415,58299.0
42563,49436.0
50567,58236.0
50586,58247.0
50598,58256.0
50556,58207.0
50596,58246.0
50593,58243.0
41977,49627.0
50265,58238.0
50279,58246.0
50227,58194.0
50265,58228.0
50273,58238.0
41785,49748.0
49894,58224.0
49898,58221.0
41338,49658.0
41316,50099.0
39842,49344.0
48635,58171.0
40855,50380.0
47804,58133.0
47852,58175.0
47804,58119.0
47798,58111.0
40303,50615.0
47726,58134.0
47717,58115.0
47787,58180.0
47681,58070.0
47712,58106.0
40277,50671.0
47244,58103.0
39809,50666.0
39899,50785.0
39664,50821.0
40096,51405.0
39664,51341.0
39438,51407.0
45836,58049.0
45835,58043.0
45856,58062.0
45815,58023.0
45812,58018.0
39186,51390.0
38640,51163.0
45531,58062.0
38854,51375.0
38601,51430.0
38490,51607.0
37964,51359.0
37974,51371.0
37980,51388.0
37865,51634.0
44061,57987.0
44108,58035.0
44110,58035.0
37741,51665.0
37424,51658.0
43355,58030.0
36807,51475.0
36666,51608.0
36233,51610.0
36005,51648.0
35714,51616.0
35373,51667.0
34754,51382.0
34835,51852.0
40679,57939.0
34355,51616.0
34459,51739.0
34300,51755.0
34310,51908.0
40199,57925.0
40213,57941.0
34287,52013.0
34066,51918.0
34121,52010.0
38873,57005.0
33764,51894.0
33663,51903.0
33950,52197.0
33606,52175.0
33215,52156.0
33341,52401.0
38597,57906.0
32939,52236.0
38302,57888.0
38304,57888.0
32811,52396.0
32516,52456.0
32697,52739.0
37579,57880.0
32109,52414.0
36225,56938.0
32026,52731.0
31880,52717.0
31573,52699.0
36592,57867.0
31462,52740.0
36340,57866.0
30658,52449.0
31036,52564.0
30615,52431.0
30536,52743.0
30467,52749.0
30136,52750.0
30137,52751.0
29752,52752.0
29442,52733.0
29464,52753.0
29014,52717.0
29087,52753.0
28704,52754.0
28527,52755.0
28286,52753.0
28283,52743.0
27912,52753.0
27914,52754.0
27511,52758.0
27067,52605.0
26959,52566.0
26697,52566.0
26357,52452.0
26365,52451.0
26542,52642.0
26397,52566.0
26295,52761.0
26233,52773.0
25920,52762.0
30898,57845.0
25849,52796.0
30603,57846.0
25834,53077.0
30603,57846.0
25618,52974.0
25276,52917.0
29193,56928.0
25125,52855.0
25199,52930.0
30080,57834.0
25341,53099.0
24971,52972.0
24908,53065.0
29617,57988.0
24529,52900.0
24547,52918.0
24402,52861.0
24338,52858.0
24344,52899.0
24497,53047.0
