Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,2160.0,525
10,00000000-0000-0000-0000-000000000001,0,0.0,500
20,00000000-0000-0000-0000-000000000000,0,2160.0,528
20,00000000-0000-0000-0000-000000000001,0,0.0,500
30,00000000-0000-0000-0000-000000000000,0,2160.0,528
30,00000000-0000-0000-0000-000000000001,0,0.0,500
40,00000000-0000-0000-0000-000000000000,0,120960.0,525
40,00000000-0000-0000-0000-000000000001,0,120960.0,502
50,00000000-0000-0000-0000-000000000000,0,120960.0,528
50,00000000-0000-0000-0000-000000000001,0,120960.0,528
60,00000000-0000-0000-0000-000000000000,0,120960.0,528
60,00000000-0000-0000-0000-000000000001,0,120960.0,528
70,00000000-0000-0000-0000-000000000000,0,120960.0,528
70,00000000-0000-0000-0000-000000000001,0,120960.0,528
80,00000000-0000-0000-0000-000000000000,0,120960.0,528
80,00000000-0000-0000-0000-000000000001,0,120960.0,528
90,00000000-0000-0000-0000-000000000000,0,120960.0,528
90,00000000-0000-0000-0000-000000000001,0,120960.0,528
100,00000000-0000-0000-0000-000000000000,0,120960.0,1289
100,00000000-0000-0000-0000-000000000001,0,120960.0,528
110,00000000-0000-0000-0000-000000000000,0,120960.0,1928
110,00000000-0000-0000-0000-000000000001,0,120960.0,528
120,00000000-0000-0000-0000-000000000000,0,120960.0,1902
120,00000000-0000-0000-0000-000000000001,0,120960.0,528
130,00000000-0000-0000-0000-000000000000,0,120960.0,2071
130,00000000-0000-0000-0000-000000000001,0,120960.0,528
140,00000000-0000-0000-0000-000000000000,0,120960.0,1713
140,00000000-0000-0000-0000-000000000001,0,120960.0,1491
150,00000000-0000-0000-0000-000000000000,0,120960.0,1528
150,00000000-0000-0000-0000-000000000001,0,120960.0,2100
160,00000000-0000-0000-0000-000000000000,0,118800.0,1964
160,00000000-0000-0000-0000-000000000001,0,56160.0,1158
170,00000000-0000-0000-0000-000000000000,0,118800.0,2071
170,00000000-0000-0000-0000-000000000001,0,56160.0,928
180,00000000-0000-0000-0000-000000000000,0,118800.0,2071
180,00000000-0000-0000-0000-000000000001,0,56160.0,928
190,00000000-0000-0000-0000-000000000000,0,118800.0,2071
190,00000000-0000-0000-0000-000000000001,0,56160.0,928
200,00000000-0000-0000-0000-000000000000,0,118800.0,2071
200,00000000-0000-0000-0000-000000000001,0,56160.0,928
210,00000000-0000-0000-0000-000000000000,0,112320.0,2059
210,00000000-0000-0000-0000-000000000001,0,56160.0,928
220,00000000-0000-0000-0000-000000000000,0,112320.0,1985
220,00000000-0000-0000-0000-000000000001,0,56160.0,928
230,00000000-0000-0000-0000-000000000000,0,103680.0,1945
230,00000000-0000-0000-0000-000000000001,0,56160.0,928
240,00000000-0000-0000-0000-000000000000,0,103680.0,1871
240,00000000-0000-0000-0000-000000000001,0,56160.0,928
250,00000000-0000-0000-0000-000000000000,0,73440.0,1701
250,00000000-0000-0000-0000-000000000001,0,56160.0,928
260,00000000-0000-0000-0000-000000000000,0,73440.0,1471
260,00000000-0000-0000-0000-000000000001,0,56160.0,928
270,00000000-0000-0000-0000-000000000000,0,45360.0,1280
270,00000000-0000-0000-0000-000000000001,0,56160.0,928
280,00000000-0000-0000-0000-000000000000,0,45360.0,1100
280,00000000-0000-0000-0000-000000000001,0,56160.0,928
290,00000000-0000-0000-0000-000000000000,0,45360.0,1100
290,00000000-0000-0000-0000-000000000001,0,56160.0,928
300,00000000-0000-0000-0000-000000000000,0,43200.0,1086
300,00000000-0000-0000-0000-000000000001,0,56160.0,928
310,00000000-0000-0000-0000-000000000000,0,23760.0,910
310,00000000-0000-0000-0000-000000000001,0,56160.0,928
320,00000000-0000-0000-0000-000000000000,0,23760.0,814
320,00000000-0000-0000-0000-000000000001,0,56160.0,928
330,00000000-0000-0000-0000-000000000000,0,23760.0,814
330,00000000-0000-0000-0000-000000000001,0,56160.0,928
340,00000000-0000-0000-0000-000000000000,0,23760.0,814
340,00000000-0000-0000-0000-000000000001,0,56160.0,928
350,00000000-0000-0000-0000-000000000000,0,21600.0,789
350,00000000-0000-0000-0000-000000000001,0,56160.0,928
360,00000000-0000-0000-0000-000000000000,0,19440.0,785
360,00000000-0000-0000-0000-000000000001,0,56160.0,928
370,00000000-0000-0000-0000-000000000000,0,19440.0,757
370,00000000-0000-0000-0000-000000000001,0,56160.0,928
380,00000000-0000-0000-0000-000000000000,0,19440.0,757
380,00000000-0000-0000-0000-000000000001,0,56160.0,928
390,00000000-0000-0000-0000-000000000000,0,19440.0,757
390,00000000-0000-0000-0000-000000000001,0,56160.0,928
400,00000000-0000-0000-0000-000000000000,0,19440.0,757
400,00000000-0000-0000-0000-000000000001,0,56160.0,928
410,00000000-0000-0000-0000-000000000000,0,19440.0,757
410,00000000-0000-0000-0000-000000000001,0,56160.0,928
420,00000000-0000-0000-0000-000000000000,0,19440.0,757
420,00000000-0000-0000-0000-000000000001,0,56160.0,928
430,00000000-0000-0000-0000-000000000000,0,19440.0,757
430,00000000-0000-0000-0000-000000000001,0,56160.0,928
440,00000000-0000-0000-0000-000000000000,0,19440.0,757
440,00000000-0000-0000-0000-000000000001,0,56160.0,928
450,00000000-0000-0000-0000-000000000000,0,19440.0,757
450,00000000-0000-0000-0000-000000000001,0,56160.0,928
460,00000000-0000-0000-0000-000000000000,0,19440.0,757
460,00000000-0000-0000-0000-000000000001,0,56160.0,928
470,00000000-0000-0000-0000-000000000000,0,19440.0,757
470,00000000-0000-0000-0000-000000000001,0,56160.0,928
480,00000000-0000-0000-0000-000000000000,0,19440.0,757
480,00000000-0000-0000-0000-000000000001,0,56160.0,928
490,00000000-0000-0000-0000-000000000000,0,19440.0,757
490,00000000-0000-0000-0000-000000000001,0,56160.0,928
500,00000000-0000-0000-0000-000000000000,0,19440.0,757
500,00000000-0000-0000-0000-000000000001,0,56160.0,928
510,00000000-0000-0000-0000-000000000000,0,19440.0,757
510,00000000-0000-0000-0000-000000000001,0,56160.0,928
