Makespan (s),Workflow Response time (s)
912,913.0
17207,17216.0
25551,25551.0
27032,27032.0
28460,28460.0
20651,21011.0
28049,28275.0
20198,20374.0
21119,21405.0
15601,16062.0
18641,19486.0
18713,19814.0
18315,19452.0
18166,19447.0
18059,19427.0
26348,27854.0
17900,19382.0
20121,21621.0
19774,21460.0
18632,20446.0
21415,23436.0
25519,27748.0
20855,23078.0
25291,27716.0
25287,27678.0
25306,27694.0
25287,27672.0
25285,27667.0
25291,27672.0
18052,20429.0
25416,27811.0
21224,23615.0
25178,27772.0
18226,20811.0
25055,27645.0
21536,24114.0
24856,27619.0
20699,23451.0
24456,27547.0
24481,27564.0
24504,27572.0
24462,27523.0
24492,27564.0
24492,27561.0
20428,23496.0
24277,27557.0
24291,27565.0
24235,27508.0
24276,27545.0
24288,27556.0
20537,23805.0
24070,27542.0
24080,27545.0
20244,23704.0
20102,23743.0
19116,23179.0
23393,27487.0
19780,23863.0
22960,27445.0
23041,27520.0
22960,27430.0
22960,27424.0
19678,24127.0
22989,27458.0
22969,27429.0
23055,27510.0
22928,27383.0
22968,27423.0
19524,23973.0
22735,27424.0
19093,23779.0
19204,23909.0
19311,24139.0
19890,24771.0
19273,24256.0
19099,24232.0
22045,27363.0
22045,27357.0
22059,27384.0
22019,27343.0
22006,27327.0
18896,24215.0
18523,23964.0
21935,27376.0
18750,24179.0
18622,24277.0
18373,24253.0
17871,23978.0
17867,23978.0
18063,24182.0
17929,24269.0
20879,27299.0
20930,27350.0
20932,27350.0
17910,24325.0
17586,24294.0
20370,27344.0
17126,24091.0
17090,24238.0
16798,24239.0
16717,24285.0
16551,24268.0
16601,24491.0
15892,23972.0
16323,24605.0
18832,27255.0
15922,24346.0
16043,24471.0
15990,24489.0
16096,24654.0
18633,27242.0
18645,27253.0
15850,24456.0
15714,24334.0
15808,24432.0
18443,27239.0
15546,24340.0
15437,24311.0
15761,24640.0
15564,24631.0
15241,24470.0
15363,24644.0
17824,27223.0
15075,24462.0
17707,27198.0
17708,27197.0
15310,24799.0
15169,24862.0
15143,24882.0
17419,27197.0
14756,24534.0
16710,26765.0
14831,24878.0
14759,24858.0
14675,24836.0
16966,27176.0
14687,24901.0
16723,27175.0
13956,24546.0
14237,24691.0
13950,24546.0
14177,24889.0
14073,24896.0
14037,24898.0
14037,24898.0
13729,24898.0
13650,24876.0
13673,24899.0
13506,24858.0
13551,24899.0
13274,24899.0
13213,24899.0
13141,24897.0
13132,24888.0
12868,24900.0
12868,24900.0
12763,24903.0
12451,24733.0
12316,24690.0
12154,24699.0
11924,24586.0
11919,24577.0
12137,24800.0
12050,24721.0
12149,24931.0
12093,24932.0
12190,25064.0
14138,27155.0
12086,25102.0
14026,27163.0
11835,24984.0
14018,27163.0
11642,24878.0
11434,24815.0
13646,27090.0
11309,24748.0
11395,24833.0
13696,27145.0
11566,25016.0
11398,24877.0
11337,24945.0
13581,27327.0
11023,24769.0
11035,24781.0
10919,24718.0
10888,24707.0
10930,24769.0
11092,24926.0
11158,24992.0
10852,24909.0
10861,24911.0
10807,24865.0
10807,24865.0
10807,24865.0
10827,24883.0
10774,24900.0
10701,24879.0
10628,24851.0
10650,24875.0
12827,27097.0
10583,24853.0
10582,24847.0
10579,24845.0
10570,24850.0
10559,24849.0
10558,24849.0
10563,24853.0
10545,24853.0
10536,24855.0
10536,24855.0
10538,24854.0
10535,24855.0
10535,24855.0
10531,24855.0
10533,24855.0
10511,24854.0
10493,24856.0
10494,24857.0
10493,24856.0
10435,24817.0
10476,24858.0
10456,24858.0
10449,24861.0
10470,24882.0
10449,24861.0
10407,24863.0
10396,24861.0
10398,24863.0
10336,24863.0
10336,24863.0
10316,24862.0
10314,24865.0
10298,24865.0
10247,24825.0
10285,24865.0
10297,24875.0
10255,24858.0
10245,24859.0
10384,25007.0
10206,24860.0
10225,24881.0
10192,24860.0
10193,24861.0
10174,24860.0
10169,24859.0
10166,24859.0
10144,24859.0
10365,25085.0
9919,24851.0
9916,24851.0
10149,25095.0
9839,24992.0
9725,24970.0
9681,25014.0
9477,24862.0
9435,24962.0
11439,27057.0
9243,24857.0
9235,24856.0
9252,24871.0
11419,27047.0
9222,24848.0
9240,24866.0
11410,27043.0
9233,24866.0
9218,24865.0
9211,24863.0
9146,24818.0
9173,24870.0
9345,25047.0
8988,24894.0
11109,27028.0
11109,27027.0
8927,24846.0
8880,24799.0
8970,24924.0
11007,27021.0
10999,27013.0
8850,24863.0
11010,27020.0
8851,24861.0
10998,27016.0
9020,25037.0
10862,27015.0
8706,24859.0
8874,25027.0
8756,25018.0
8749,25018.0
8736,25017.0
8764,25061.0
8763,25060.0
8732,25039.0
8722,25039.0
8741,25058.0
8739,25056.0
10653,27013.0
8677,25037.0
10642,27010.0
10633,27009.0
8680,25056.0
10632,27009.0
8659,25036.0
8643,25035.0
8643,25035.0
10618,27010.0
10617,27009.0
8682,25076.0
8600,25055.0
8578,25032.0
8578,25033.0
10549,27005.0
8597,25054.0
8577,25034.0
8594,25056.0
8561,25035.0
8562,25036.0
8590,25056.0
8567,25033.0
8551,25036.0
8547,25036.0
8541,25036.0
8539,25036.0
8536,25036.0
8536,25036.0
8527,25036.0
8526,25036.0
8548,25060.0
8527,25037.0
8530,25039.0
8504,25040.0
