Makespan (s),Workflow Response time (s)
809,810.0
1046,1046.0
9056,9056.0
1553,1553.0
10070,10070.0
9302,9302.0
9063,9063.0
8859,8859.0
8878,8878.0
726,726.0
2936,2964.0
7940,8031.0
3254,3331.0
1505,1622.0
4623,4762.0
8931,9108.0
1502,1655.0
8199,8368.0
7872,8138.0
6761,7060.0
7558,7919.0
8688,9144.0
7303,7753.0
8506,8990.0
8638,9091.0
8638,9088.0
8503,8950.0
8627,9073.0
8636,9081.0
6007,6448.0
8662,9129.0
7826,8289.0
8529,9104.0
6085,6651.0
8494,9054.0
7980,8596.0
8408,9037.0
7145,7763.0
8276,8962.0
8296,8974.0
8328,8991.0
8288,8944.0
8328,8983.0
8328,8980.0
7033,7684.0
8222,8978.0
8222,8972.0
8170,8919.0
8222,8965.0
8217,8963.0
7356,8100.0
8149,8961.0
8168,8972.0
7084,7883.0
7061,7918.0
6254,7295.0
7839,8891.0
6597,7638.0
7641,8864.0
7767,8984.0
7641,8849.0
7641,8843.0
6711,7902.0
7681,8890.0
7707,8907.0
7752,8949.0
7615,8802.0
7655,8842.0
6402,7583.0
7666,8877.0
6343,7551.0
6391,7625.0
6452,7748.0
7059,8386.0
6497,7864.0
6412,7841.0
7328,8815.0
7310,8791.0
7423,8902.0
7361,8839.0
7261,8736.0
6351,7824.0
6065,7573.0
7327,8834.0
6293,7788.0
6316,7857.0
6236,7834.0
5909,7563.0
5909,7563.0
6099,7755.0
6146,7839.0
7060,8776.0
7092,8808.0
7094,8808.0
6171,7882.0
6094,7850.0
6999,8802.0
5839,7630.0
5917,7782.0
5851,7839.0
5859,7890.0
5774,7837.0
5765,7877.0
5319,7484.0
5732,7923.0
6481,8724.0
5325,7567.0
5448,7692.0
5449,7708.0
5588,7874.0
6343,8655.0
6360,8671.0
5368,7676.0
5341,7650.0
5317,7644.0
7199,9567.0
5247,7613.0
5229,7622.0
5456,7849.0
5462,7916.0
5154,7752.0
5301,7916.0
6009,8658.0
5092,7734.0
5941,8620.0
5954,8631.0
5172,7849.0
5174,7916.0
5190,7933.0
5849,8608.0
4818,7576.0
5815,8607.0
5135,7919.0
5099,7898.0
5052,7877.0
5756,8614.0
5060,7918.0
5712,8613.0
4596,7583.0
4805,7708.0
4511,7564.0
4787,7906.0
4620,7914.0
4609,7914.0
4610,7915.0
4582,7915.0
4547,7893.0
4568,7914.0
4493,7873.0
4534,7914.0
4236,7916.0
4216,7916.0
4285,8007.0
4277,7994.0
4261,8006.0
4262,8006.0
4239,8009.0
4048,7837.0
3996,7794.0
3923,7802.0
3702,7676.0
3702,7676.0
3906,7883.0
3787,7798.0
3918,8013.0
3903,8013.0
3877,7993.0
4436,8574.0
3894,8031.0
4448,8592.0
3823,7967.0
4448,8592.0
3693,7853.0
3602,7790.0
4347,8571.0
3501,7722.0
3586,7806.0
4346,8565.0
3710,7929.0
3558,7790.0
3604,7861.0
4384,8744.0
3367,7727.0
3388,7746.0
3292,7684.0
3197,7620.0
3282,7724.0
3449,7886.0
3407,7844.0
3263,7759.0
3265,7761.0
3217,7715.0
3217,7715.0
3215,7715.0
3235,7733.0
3241,7750.0
3198,7729.0
3172,7699.0
3193,7719.0
3956,8515.0
3137,7696.0
3136,7689.0
3137,7688.0
