Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,1,1960.0,522
10,00000000-0000-0000-0000-000000000001,0,0.0,500
20,00000000-0000-0000-0000-000000000000,1,1960.0,524
20,00000000-0000-0000-0000-000000000001,0,0.0,500
30,00000000-0000-0000-0000-000000000000,1,1960.0,525
30,00000000-0000-0000-0000-000000000001,0,0.0,500
40,00000000-0000-0000-0000-000000000000,1,1960.0,525
40,00000000-0000-0000-0000-000000000001,0,0.0,500
50,00000000-0000-0000-0000-000000000000,64,125440.0,524
50,00000000-0000-0000-0000-000000000001,64,125440.0,519
60,00000000-0000-0000-0000-000000000000,64,125440.0,525
60,00000000-0000-0000-0000-000000000001,64,125440.0,525
70,00000000-0000-0000-0000-000000000000,64,125440.0,525
70,00000000-0000-0000-0000-000000000001,64,125440.0,525
80,00000000-0000-0000-0000-000000000000,64,125440.0,525
80,00000000-0000-0000-0000-000000000001,64,125440.0,525
90,00000000-0000-0000-0000-000000000000,64,125440.0,525
90,00000000-0000-0000-0000-000000000001,64,125440.0,525
100,00000000-0000-0000-0000-000000000000,64,125440.0,525
100,00000000-0000-0000-0000-000000000001,64,125440.0,525
110,00000000-0000-0000-0000-000000000000,64,125440.0,1488
110,00000000-0000-0000-0000-000000000001,64,125440.0,525
120,00000000-0000-0000-0000-000000000000,64,125440.0,1950
120,00000000-0000-0000-0000-000000000001,64,125440.0,525
130,00000000-0000-0000-0000-000000000000,64,125440.0,1910
130,00000000-0000-0000-0000-000000000001,64,125440.0,525
140,00000000-0000-0000-0000-000000000000,64,125440.0,2075
140,00000000-0000-0000-0000-000000000001,64,125440.0,525
150,00000000-0000-0000-0000-000000000000,64,125440.0,1808
150,00000000-0000-0000-0000-000000000001,60,117600.0,1100
160,00000000-0000-0000-0000-000000000000,64,125440.0,1400
160,00000000-0000-0000-0000-000000000001,60,117600.0,2000
170,00000000-0000-0000-0000-000000000000,64,125440.0,1400
170,00000000-0000-0000-0000-000000000001,14,27440.0,1601
180,00000000-0000-0000-0000-000000000000,64,125440.0,1400
180,00000000-0000-0000-0000-000000000001,14,27440.0,850
190,00000000-0000-0000-0000-000000000000,63,123480.0,1609
190,00000000-0000-0000-0000-000000000001,2,3920.0,756
200,00000000-0000-0000-0000-000000000000,63,123480.0,2075
200,00000000-0000-0000-0000-000000000001,2,3920.0,550
210,00000000-0000-0000-0000-000000000000,63,123480.0,2075
210,00000000-0000-0000-0000-000000000001,2,3920.0,550
220,00000000-0000-0000-0000-000000000000,63,123480.0,2075
220,00000000-0000-0000-0000-000000000001,2,3920.0,550
230,00000000-0000-0000-0000-000000000000,63,123480.0,2075
230,00000000-0000-0000-0000-000000000001,2,3920.0,550
240,00000000-0000-0000-0000-000000000000,63,123480.0,2075
240,00000000-0000-0000-0000-000000000001,2,3920.0,550
250,00000000-0000-0000-0000-000000000000,60,117600.0,2066
250,00000000-0000-0000-0000-000000000001,2,3920.0,550
260,00000000-0000-0000-0000-000000000000,58,113680.0,1954
260,00000000-0000-0000-0000-000000000001,2,3920.0,550
270,00000000-0000-0000-0000-000000000000,56,109760.0,1946
270,00000000-0000-0000-0000-000000000001,2,3920.0,550
280,00000000-0000-0000-0000-000000000000,56,109760.0,1900
280,00000000-0000-0000-0000-000000000001,2,3920.0,550
290,00000000-0000-0000-0000-000000000000,50,98000.0,1889
290,00000000-0000-0000-0000-000000000001,2,3920.0,550
300,00000000-0000-0000-0000-000000000000,45,88200.0,1641
300,00000000-0000-0000-0000-000000000001,2,3920.0,550
310,00000000-0000-0000-0000-000000000000,41,80360.0,1601
310,00000000-0000-0000-0000-000000000001,2,3920.0,550
320,00000000-0000-0000-0000-000000000000,35,68600.0,1401
320,00000000-0000-0000-0000-000000000001,2,3920.0,550
330,00000000-0000-0000-0000-000000000000,35,68600.0,1375
330,00000000-0000-0000-0000-000000000001,2,3920.0,550
340,00000000-0000-0000-0000-000000000000,35,68600.0,1375
340,00000000-0000-0000-0000-000000000001,2,3920.0,550
350,00000000-0000-0000-0000-000000000000,35,68600.0,1375
350,00000000-0000-0000-0000-000000000001,2,3920.0,550
360,00000000-0000-0000-0000-000000000000,34,66640.0,1356
360,00000000-0000-0000-0000-000000000001,2,3920.0,550
370,00000000-0000-0000-0000-000000000000,34,66640.0,1350
370,00000000-0000-0000-0000-000000000001,2,3920.0,550
380,00000000-0000-0000-0000-000000000000,33,64680.0,1332
380,00000000-0000-0000-0000-000000000001,2,3920.0,550
390,00000000-0000-0000-0000-000000000000,33,64680.0,1325
390,00000000-0000-0000-0000-000000000001,2,3920.0,550
400,00000000-0000-0000-0000-000000000000,33,64680.0,1325
400,00000000-0000-0000-0000-000000000001,2,3920.0,550
410,00000000-0000-0000-0000-000000000000,33,64680.0,1325
410,00000000-0000-0000-0000-000000000001,2,3920.0,550
420,00000000-0000-0000-0000-000000000000,33,64680.0,1325
420,00000000-0000-0000-0000-000000000001,2,3920.0,550
430,00000000-0000-0000-0000-000000000000,33,64680.0,1325
430,00000000-0000-0000-0000-000000000001,2,3920.0,550
440,00000000-0000-0000-0000-000000000000,33,64680.0,1325
440,00000000-0000-0000-0000-000000000001,2,3920.0,550
450,00000000-0000-0000-0000-000000000000,33,64680.0,1325
450,00000000-0000-0000-0000-000000000001,2,3920.0,550
460,00000000-0000-0000-0000-000000000000,33,64680.0,1325
460,00000000-0000-0000-0000-000000000001,2,3920.0,550
470,00000000-0000-0000-0000-000000000000,33,64680.0,1325
470,00000000-0000-0000-0000-000000000001,2,3920.0,550
480,00000000-0000-0000-0000-000000000000,33,64680.0,1325
480,00000000-0000-0000-0000-000000000001,2,3920.0,550
490,00000000-0000-0000-0000-000000000000,33,64680.0,1325
490,00000000-0000-0000-0000-000000000001,2,3920.0,550
500,00000000-0000-0000-0000-000000000000,33,64680.0,1325
500,00000000-0000-0000-0000-000000000001,2,3920.0,550
510,00000000-0000-0000-0000-000000000000,33,64680.0,1325
510,00000000-0000-0000-0000-000000000001,2,3920.0,550
520,00000000-0000-0000-0000-000000000000,33,64680.0,1325
520,00000000-0000-0000-0000-000000000001,2,3920.0,550
530,00000000-0000-0000-0000-000000000000,33,64680.0,1325
530,00000000-0000-0000-0000-000000000001,2,3920.0,550
540,00000000-0000-0000-0000-000000000000,33,64680.0,1325
540,00000000-0000-0000-0000-000000000001,2,3920.0,549
550,00000000-0000-0000-0000-000000000000,33,64680.0,1325
550,00000000-0000-0000-0000-000000000001,2,3920.0,550
560,00000000-0000-0000-0000-000000000000,33,64680.0,1325
560,00000000-0000-0000-0000-000000000001,2,3920.0,550
570,00000000-0000-0000-0000-000000000000,33,64680.0,1325
570,00000000-0000-0000-0000-000000000001,2,3920.0,550
580,00000000-0000-0000-0000-000000000000,33,64680.0,1325
580,00000000-0000-0000-0000-000000000001,2,3920.0,550
590,00000000-0000-0000-0000-000000000000,31,60760.0,1311
590,00000000-0000-0000-0000-000000000001,2,3920.0,550
600,00000000-0000-0000-0000-000000000000,30,58800.0,1268
600,00000000-0000-0000-0000-000000000001,2,3920.0,550
610,00000000-0000-0000-0000-000000000000,29,56840.0,1233
610,00000000-0000-0000-0000-000000000001,2,3920.0,550
620,00000000-0000-0000-0000-000000000000,29,56840.0,1225
620,00000000-0000-0000-0000-000000000001,2,3920.0,550
630,00000000-0000-0000-0000-000000000000,28,54880.0,1216
630,00000000-0000-0000-0000-000000000001,2,3920.0,550
640,00000000-0000-0000-0000-000000000000,27,52920.0,1181
640,00000000-0000-0000-0000-000000000001,2,3920.0,550
650,00000000-0000-0000-0000-000000000000,19,37240.0,1018
650,00000000-0000-0000-0000-000000000001,2,3920.0,550
660,00000000-0000-0000-0000-000000000000,11,21560.0,817
660,00000000-0000-0000-0000-000000000001,2,3920.0,550
670,00000000-0000-0000-0000-000000000000,7,13720.0,743
670,00000000-0000-0000-0000-000000000001,2,3920.0,550
680,00000000-0000-0000-0000-000000000000,6,11760.0,674
680,00000000-0000-0000-0000-000000000001,2,3920.0,550
690,00000000-0000-0000-0000-000000000000,5,9800.0,644
690,00000000-0000-0000-0000-000000000001,2,3920.0,550
700,00000000-0000-0000-0000-000000000000,4,7840.0,614
700,00000000-0000-0000-0000-000000000001,2,3920.0,550
710,00000000-0000-0000-0000-000000000000,3,5880.0,575
710,00000000-0000-0000-0000-000000000001,2,3920.0,550
720,00000000-0000-0000-0000-000000000000,1,1960.0,546
720,00000000-0000-0000-0000-000000000001,2,3920.0,550
730,00000000-0000-0000-0000-000000000000,0,0.0,521
730,00000000-0000-0000-0000-000000000001,2,3920.0,550
740,00000000-0000-0000-0000-000000000000,0,0.0,500
740,00000000-0000-0000-0000-000000000001,1,1960.0,526
750,00000000-0000-0000-0000-000000000000,0,0.0,500
750,00000000-0000-0000-0000-000000000001,1,1960.0,525
760,00000000-0000-0000-0000-000000000000,0,0.0,500
760,00000000-0000-0000-0000-000000000001,1,1960.0,525
770,00000000-0000-0000-0000-000000000000,0,0.0,500
770,00000000-0000-0000-0000-000000000001,1,1960.0,525
780,00000000-0000-0000-0000-000000000000,0,0.0,500
780,00000000-0000-0000-0000-000000000001,2,3920.0,529
790,00000000-0000-0000-0000-000000000000,0,0.0,500
790,00000000-0000-0000-0000-000000000001,62,121520.0,544
800,00000000-0000-0000-0000-000000000000,0,0.0,500
800,00000000-0000-0000-0000-000000000001,64,125440.0,2074
810,00000000-0000-0000-0000-000000000000,0,0.0,500
810,00000000-0000-0000-0000-000000000001,57,111720.0,2066
820,00000000-0000-0000-0000-000000000000,0,0.0,500
820,00000000-0000-0000-0000-000000000001,64,125440.0,2006
830,00000000-0000-0000-0000-000000000000,0,0.0,500
830,00000000-0000-0000-0000-000000000001,38,74480.0,2014
840,00000000-0000-0000-0000-000000000000,4,7840.0,527
840,00000000-0000-0000-0000-000000000001,63,123480.0,1889
850,00000000-0000-0000-0000-000000000000,4,7840.0,550
850,00000000-0000-0000-0000-000000000001,64,125440.0,2099
860,00000000-0000-0000-0000-000000000000,4,7840.0,550
860,00000000-0000-0000-0000-000000000001,64,125440.0,2100
870,00000000-0000-0000-0000-000000000000,4,7840.0,550
870,00000000-0000-0000-0000-000000000001,64,125440.0,2100
880,00000000-0000-0000-0000-000000000000,8,15680.0,639
880,00000000-0000-0000-0000-000000000001,64,125440.0,2008
890,00000000-0000-0000-0000-000000000000,8,15680.0,675
890,00000000-0000-0000-0000-000000000001,64,125440.0,2025
900,00000000-0000-0000-0000-000000000000,32,62720.0,744
900,00000000-0000-0000-0000-000000000001,64,125440.0,1873
910,00000000-0000-0000-0000-000000000000,29,56840.0,1219
910,00000000-0000-0000-0000-000000000001,64,125440.0,2093
920,00000000-0000-0000-0000-000000000000,29,56840.0,1225
920,00000000-0000-0000-0000-000000000001,64,125440.0,2100
930,00000000-0000-0000-0000-000000000000,29,56840.0,1225
930,00000000-0000-0000-0000-000000000001,64,125440.0,2100
940,00000000-0000-0000-0000-000000000000,27,52920.0,1209
940,00000000-0000-0000-0000-000000000001,59,115640.0,2062
950,00000000-0000-0000-0000-000000000000,29,56840.0,1199
950,00000000-0000-0000-0000-000000000001,64,125440.0,2014
960,00000000-0000-0000-0000-000000000000,29,56840.0,1200
960,00000000-0000-0000-0000-000000000001,64,125440.0,2025
970,00000000-0000-0000-0000-000000000000,29,56840.0,1200
970,00000000-0000-0000-0000-000000000001,64,125440.0,2044
980,00000000-0000-0000-0000-000000000000,25,49000.0,1210
980,00000000-0000-0000-0000-000000000001,57,111720.0,1972
990,00000000-0000-0000-0000-000000000000,35,68600.0,1336
990,00000000-0000-0000-0000-000000000001,64,125440.0,1949
1000,00000000-0000-0000-0000-000000000000,35,68600.0,1375
1000,00000000-0000-0000-0000-000000000001,64,125440.0,1950
1010,00000000-0000-0000-0000-000000000000,34,66640.0,1337
1010,00000000-0000-0000-0000-000000000001,64,125440.0,2034
1020,00000000-0000-0000-0000-000000000000,34,66640.0,1350
1020,00000000-0000-0000-0000-000000000001,64,125440.0,2075
1030,00000000-0000-0000-0000-000000000000,33,64680.0,1298
