Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000001,0,3920.0,529
10,00000000-0000-0000-0000-000000000000,0,0.0,500
20,00000000-0000-0000-0000-000000000001,0,11760.0,568
20,00000000-0000-0000-0000-000000000000,0,0.0,500
30,00000000-0000-0000-0000-000000000001,0,21560.0,699
30,00000000-0000-0000-0000-000000000000,0,0.0,500
40,00000000-0000-0000-0000-000000000001,0,74480.0,1069
40,00000000-0000-0000-0000-000000000000,0,0.0,500
50,00000000-0000-0000-0000-000000000001,0,68600.0,1544
50,00000000-0000-0000-0000-000000000000,0,125440.0,1032
60,00000000-0000-0000-0000-000000000001,0,56840.0,1232
60,00000000-0000-0000-0000-000000000000,0,107800.0,1884
70,00000000-0000-0000-0000-000000000001,0,101920.0,1669
70,00000000-0000-0000-0000-000000000000,0,109760.0,1985
80,00000000-0000-0000-0000-000000000001,0,119560.0,1927
80,00000000-0000-0000-0000-000000000000,0,119560.0,2020
90,00000000-0000-0000-0000-000000000001,0,107800.0,2000
90,00000000-0000-0000-0000-000000000000,0,123480.0,2004
100,00000000-0000-0000-0000-000000000001,0,115640.0,1998
100,00000000-0000-0000-0000-000000000000,0,115640.0,2043
110,00000000-0000-0000-0000-000000000001,0,113680.0,2033
110,00000000-0000-0000-0000-000000000000,0,119560.0,1973
120,00000000-0000-0000-0000-000000000001,0,111720.0,2007
120,00000000-0000-0000-0000-000000000000,0,125440.0,1969
130,00000000-0000-0000-0000-000000000001,0,111720.0,1960
130,00000000-0000-0000-0000-000000000000,0,115640.0,2012
140,00000000-0000-0000-0000-000000000001,0,121520.0,1985
140,00000000-0000-0000-0000-000000000000,0,119560.0,1978
150,00000000-0000-0000-0000-000000000001,0,119560.0,2029
150,00000000-0000-0000-0000-000000000000,0,125440.0,2012
160,00000000-0000-0000-0000-000000000001,0,107800.0,2013
160,00000000-0000-0000-0000-000000000000,0,113680.0,2007
170,00000000-0000-0000-0000-000000000001,0,117600.0,2014
170,00000000-0000-0000-0000-000000000000,0,109760.0,2022
180,00000000-0000-0000-0000-000000000001,0,119560.0,2023
180,00000000-0000-0000-0000-000000000000,0,121520.0,2004
190,00000000-0000-0000-0000-000000000001,0,119560.0,2010
190,00000000-0000-0000-0000-000000000000,0,121520.0,2019
200,00000000-0000-0000-0000-000000000001,0,119560.0,1994
200,00000000-0000-0000-0000-000000000000,0,119560.0,2025
210,00000000-0000-0000-0000-000000000001,0,117600.0,2017
210,00000000-0000-0000-0000-000000000000,0,113680.0,2039
220,00000000-0000-0000-0000-000000000001,0,115640.0,2006
220,00000000-0000-0000-0000-000000000000,0,119560.0,2012
230,00000000-0000-0000-0000-000000000001,0,119560.0,2018
230,00000000-0000-0000-0000-000000000000,0,123480.0,1999
240,00000000-0000-0000-0000-000000000001,0,123480.0,1984
240,00000000-0000-0000-0000-000000000000,0,109760.0,1999
250,00000000-0000-0000-0000-000000000001,0,123480.0,1991
250,00000000-0000-0000-0000-000000000000,0,115640.0,1998
260,00000000-0000-0000-0000-000000000001,0,111720.0,1992
260,00000000-0000-0000-0000-000000000000,0,121520.0,1993
270,00000000-0000-0000-0000-000000000001,0,107800.0,2031
270,00000000-0000-0000-0000-000000000000,0,119560.0,1993
280,00000000-0000-0000-0000-000000000001,0,117600.0,2009
280,00000000-0000-0000-0000-000000000000,0,111720.0,2001
290,00000000-0000-0000-0000-000000000001,0,109760.0,2015
290,00000000-0000-0000-0000-000000000000,0,111720.0,2016
300,00000000-0000-0000-0000-000000000001,0,123480.0,2008
300,00000000-0000-0000-0000-000000000000,0,117600.0,2026
310,00000000-0000-0000-0000-000000000001,0,119560.0,2030
310,00000000-0000-0000-0000-000000000000,0,123480.0,1988
320,00000000-0000-0000-0000-000000000001,0,117600.0,2006
320,00000000-0000-0000-0000-000000000000,0,119560.0,1997
330,00000000-0000-0000-0000-000000000001,0,121520.0,2031
330,00000000-0000-0000-0000-000000000000,0,119560.0,2026
340,00000000-0000-0000-0000-000000000001,0,115640.0,2004
340,00000000-0000-0000-0000-000000000000,0,117600.0,1992
350,00000000-0000-0000-0000-000000000001,0,123480.0,2019
350,00000000-0000-0000-0000-000000000000,0,121520.0,2016
360,00000000-0000-0000-0000-000000000001,0,119560.0,2004
360,00000000-0000-0000-0000-000000000000,0,115640.0,1987
370,00000000-0000-0000-0000-000000000001,0,109760.0,1992
370,00000000-0000-0000-0000-000000000000,0,117600.0,1985
380,00000000-0000-0000-0000-000000000001,0,125440.0,2013
380,00000000-0000-0000-0000-000000000000,0,115640.0,2027
390,00000000-0000-0000-0000-000000000001,0,119560.0,1975
390,00000000-0000-0000-0000-000000000000,0,113680.0,2024
400,00000000-0000-0000-0000-000000000001,0,119560.0,2018
400,00000000-0000-0000-0000-000000000000,0,113680.0,2004
410,00000000-0000-0000-0000-000000000001,0,117600.0,1999
410,00000000-0000-0000-0000-000000000000,0,117600.0,2005
420,00000000-0000-0000-0000-000000000001,0,121520.0,1997
420,00000000-0000-0000-0000-000000000000,0,125440.0,2026
430,00000000-0000-0000-0000-000000000001,0,115640.0,2017
430,00000000-0000-0000-0000-000000000000,0,119560.0,2004
440,00000000-0000-0000-0000-000000000001,0,113680.0,2011
440,00000000-0000-0000-0000-000000000000,0,121520.0,2026
450,00000000-0000-0000-0000-000000000001,0,121520.0,2007
450,00000000-0000-0000-0000-000000000000,0,109760.0,1983
460,00000000-0000-0000-0000-000000000001,0,119560.0,1989
460,00000000-0000-0000-0000-000000000000,0,125440.0,1982
470,00000000-0000-0000-0000-000000000001,0,119560.0,2010
470,00000000-0000-0000-0000-000000000000,0,119560.0,1997
480,00000000-0000-0000-0000-000000000001,0,119560.0,2022
480,00000000-0000-0000-0000-000000000000,0,103880.0,2023
490,00000000-0000-0000-0000-000000000001,0,117600.0,2009
490,00000000-0000-0000-0000-000000000000,0,121520.0,2037
500,00000000-0000-0000-0000-000000000001,0,119560.0,2029
500,00000000-0000-0000-0000-000000000000,0,109760.0,2017
510,00000000-0000-0000-0000-000000000001,0,117600.0,2012
510,00000000-0000-0000-0000-000000000000,0,115640.0,2016
520,00000000-0000-0000-0000-000000000001,0,113680.0,2026
520,00000000-0000-0000-0000-000000000000,0,119560.0,2007
530,00000000-0000-0000-0000-000000000001,0,117600.0,2015
