Makespan (s),Workflow Response time (s)
44,45.0
38,39.0
48,49.0
40,41.0
69,70.0
66,67.0
51,52.0
49,50.0
50,51.0
101,102.0
84,85.0
54,55.0
51,52.0
56,57.0
38,39.0
89,90.0
86,87.0
79,80.0
91,92.0
76,77.0
93,94.0
77,78.0
81,82.0
58,59.0
49,50.0
74,75.0
65,66.0
63,64.0
48,49.0
76,77.0
99,100.0
110,111.0
92,93.0
107,108.0
94,95.0
93,94.0
99,100.0
93,94.0
96,97.0
80,81.0
116,117.0
88,89.0
78,79.0
82,83.0
84,85.0
84,85.0
80,81.0
76,77.0
74,75.0
70,71.0
79,80.0
72,73.0
87,88.0
72,73.0
74,75.0
85,86.0
74,75.0
89,90.0
90,91.0
89,90.0
71,72.0
87,88.0
177,178.0
122,123.0
107,108.0
154,155.0
101,102.0
126,127.0
103,104.0
93,94.0
110,111.0
155,156.0
108,109.0
112,113.0
99,100.0
155,156.0
101,102.0
119,120.0
115,116.0
174,175.0
122,123.0
162,163.0
109,110.0
104,105.0
90,91.0
97,98.0
100,105.0
102,109.0
82,83.0
84,85.0
97,98.0
85,86.0
91,96.0
84,85.0
82,83.0
86,87.0
186,187.0
184,185.0
163,164.0
158,159.0
144,145.0
125,126.0
157,166.0
147,156.0
137,145.0
150,158.0
109,110.0
132,133.0
174,175.0
150,151.0
131,132.0
132,133.0
111,112.0
123,130.0
141,150.0
152,161.0
107,108.0
150,151.0
164,165.0
126,127.0
113,114.0
128,129.0
138,146.0
121,129.0
134,142.0
131,139.0
151,159.0
127,135.0
145,153.0
127,135.0
152,160.0
127,135.0
138,146.0
135,143.0
153,161.0
139,146.0
113,122.0
128,139.0
124,135.0
121,129.0
119,127.0
105,113.0
138,146.0
117,125.0
127,135.0
138,145.0
93,94.0
112,120.0
115,123.0
136,144.0
123,132.0
136,147.0
117,125.0
128,136.0
140,148.0
123,132.0
113,122.0
129,137.0
128,136.0
123,132.0
185,194.0
185,186.0
182,191.0
179,187.0
175,183.0
180,188.0
158,169.0
156,170.0
154,168.0
154,168.0
152,167.0
144,158.0
155,162.0
160,168.0
155,166.0
151,162.0
154,168.0
156,168.0
159,175.0
150,165.0
136,150.0
185,186.0
169,177.0
155,163.0
165,176.0
161,172.0
158,169.0
154,165.0
166,180.0
151,165.0
163,177.0
162,170.0
153,161.0
158,166.0
165,176.0
151,161.0
164,175.0
143,152.0
149,161.0
162,176.0
156,171.0
159,167.0
170,181.0
148,158.0
160,174.0
156,171.0
156,171.0
139,154.0
144,160.0
134,149.0
143,160.0
153,170.0
144,162.0
132,146.0
147,162.0
156,171.0
145,160.0
139,154.0
159,175.0
144,159.0
147,165.0
138,157.0
143,164.0
143,162.0
142,161.0
144,158.0
145,161.0
137,158.0
138,159.0
142,159.0
136,151.0
139,156.0
145,163.0
140,159.0
141,164.0
184,195.0
184,198.0
188,196.0
180,194.0
198,215.0
185,201.0
182,199.0
190,210.0
161,182.0
176,197.0
174,197.0
169,191.0
160,182.0
172,196.0
165,176.0
193,209.0
174,190.0
177,194.0
182,200.0
212,234.0
155,177.0
161,184.0
194,218.0
144,167.0
174,192.0
170,190.0
174,195.0
158,179.0
153,175.0
161,184.0
139,161.0
146,168.0
175,201.0
141,166.0
172,189.0
173,190.0
175,192.0
203,221.0
178,198.0
180,199.0
167,187.0
161,182.0
152,175.0
152,176.0
196,213.0
193,211.0
174,193.0
174,193.0
165,186.0
181,203.0
161,182.0
168,191.0
