Makespan (s),Workflow Response time (s)
33283,33284.0
33277,33278.0
33231,33232.0
33005,33241.0
33195,33296.0
33230,33231.0
33197,33298.0
32983,33219.0
33232,33330.0
33118,33119.0
33007,33243.0
33284,33285.0
33282,33283.0
33280,33288.0
31695,31698.0
29363,29364.0
33220,33318.0
33269,33272.0
31472,31475.0
33271,33274.0
33052,33288.0
32957,33252.0
33271,33275.0
33197,33298.0
33210,33308.0
33256,33258.0
33288,33293.0
32587,32595.0
33198,33296.0
33137,33145.0
33280,33286.0
33041,33277.0
33031,33267.0
33285,33286.0
33170,33295.0
33106,33108.0
33149,33150.0
33236,33240.0
33284,33285.0
33198,33298.0
33174,33302.0
33044,33280.0
33227,33325.0
33059,33295.0
32975,33238.0
31489,31491.0
33282,33283.0
33274,33277.0
30970,30972.0
31727,31734.0
33269,33270.0
33121,33122.0
31730,31731.0
33292,33295.0
30647,30650.0
33282,33284.0
33197,33298.0
33199,33297.0
33282,33283.0
33204,33305.0
33278,33280.0
33209,33310.0
33204,33305.0
33007,33243.0
32937,33232.0
32421,32429.0
31366,31368.0
33281,33282.0
32269,32270.0
33161,33164.0
33282,33283.0
33200,33301.0
33276,33280.0
30832,30839.0
32548,32550.0
33174,33302.0
33270,33277.0
33112,33114.0
33278,33281.0
33200,33301.0
33174,33297.0
33185,33187.0
32956,33221.0
33168,33296.0
32964,33235.0
33288,33295.0
33245,33248.0
33146,33148.0
33159,33161.0
32980,33251.0
33269,33367.0
33281,33282.0
32965,33230.0
33265,33266.0
33200,33301.0
32504,32506.0
33327,33425.0
33004,33275.0
33269,33270.0
33174,33179.0
33220,33321.0
33274,33277.0
33197,33298.0
33281,33285.0
33031,33267.0
33152,33302.0
33168,33296.0
33200,33298.0
32961,33221.0
32579,32584.0
33282,33283.0
33176,33304.0
33280,33281.0
33284,33285.0
33197,33295.0
33270,33271.0
33079,33082.0
33284,33285.0
33237,33238.0
33198,33299.0
33200,33298.0
33276,33277.0
32334,32344.0
33272,33274.0
33263,33265.0
33201,33299.0
32291,32293.0
33211,33312.0
33287,33291.0
33174,33302.0
31730,31737.0
34179,34415.0
32994,33230.0
33140,33142.0
33075,33311.0
33282,33285.0
32981,33281.0
33268,33272.0
33261,33266.0
33194,33295.0
33198,33299.0
33195,33296.0
32935,33230.0
32979,33250.0
31662,31663.0
33201,33302.0
32574,32587.0
31979,31980.0
33278,33282.0
33199,33297.0
32991,33227.0
32948,33219.0
33279,33280.0
33130,33134.0
33236,33237.0
33211,33312.0
33013,33249.0
33287,33288.0
32988,33253.0
31713,31724.0
33011,33282.0
33645,33881.0
33003,33268.0
31858,31862.0
33280,33283.0
33266,33272.0
32478,32479.0
33232,33234.0
32994,33230.0
32944,33239.0
33110,33113.0
33226,33228.0
33018,33254.0
33209,33310.0
33283,33284.0
33094,33302.0
33274,33275.0
32424,32425.0
33211,33309.0
33022,33282.0
33273,33278.0
34067,34303.0
33280,33283.0
33257,33258.0
33009,33245.0
33201,33302.0
33200,33301.0
33007,33243.0
33200,33298.0
33701,33937.0
33180,33303.0
33284,33285.0
33014,33274.0
33330,33428.0
32990,33226.0
33052,33288.0
33183,33184.0
33264,33266.0
33127,33129.0
33274,33275.0
