Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,0.0,500
10,00000000-0000-0000-0000-000000000001,0,0.0,500
20,00000000-0000-0000-0000-000000000000,2,3920.0,835
20,00000000-0000-0000-0000-000000000001,0,0.0,510
30,00000000-0000-0000-0000-000000000000,64,125440.0,1010
30,00000000-0000-0000-0000-000000000001,64,125440.0,517
40,00000000-0000-0000-0000-000000000000,62,121520.0,1151
40,00000000-0000-0000-0000-000000000001,64,125440.0,517
50,00000000-0000-0000-0000-000000000000,2,3920.0,1014
50,00000000-0000-0000-0000-000000000001,0,0.0,515
60,00000000-0000-0000-0000-000000000000,64,125440.0,1010
60,00000000-0000-0000-0000-000000000001,64,125440.0,517
70,00000000-0000-0000-0000-000000000000,62,121520.0,1151
70,00000000-0000-0000-0000-000000000001,64,125440.0,517
80,00000000-0000-0000-0000-000000000000,2,3920.0,1014
80,00000000-0000-0000-0000-000000000001,0,0.0,515
90,00000000-0000-0000-0000-000000000000,64,125440.0,1010
90,00000000-0000-0000-0000-000000000001,64,125440.0,517
100,00000000-0000-0000-0000-000000000000,62,121520.0,1151
100,00000000-0000-0000-0000-000000000001,64,125440.0,517
110,00000000-0000-0000-0000-000000000000,64,125440.0,578
110,00000000-0000-0000-0000-000000000001,64,125440.0,1020
120,00000000-0000-0000-0000-000000000000,64,125440.0,575
120,00000000-0000-0000-0000-000000000001,64,125440.0,1025
130,00000000-0000-0000-0000-000000000000,64,125440.0,722
130,00000000-0000-0000-0000-000000000001,64,125440.0,1442
140,00000000-0000-0000-0000-000000000000,64,125440.0,575
140,00000000-0000-0000-0000-000000000001,64,125440.0,1025
150,00000000-0000-0000-0000-000000000000,64,125440.0,575
150,00000000-0000-0000-0000-000000000001,57,111720.0,1067
160,00000000-0000-0000-0000-000000000000,64,125440.0,722
160,00000000-0000-0000-0000-000000000001,64,125440.0,1396
170,00000000-0000-0000-0000-000000000000,64,125440.0,575
170,00000000-0000-0000-0000-000000000001,64,125440.0,1025
180,00000000-0000-0000-0000-000000000000,64,125440.0,575
180,00000000-0000-0000-0000-000000000001,64,125440.0,1321
190,00000000-0000-0000-0000-000000000000,64,125440.0,722
190,00000000-0000-0000-0000-000000000001,64,125440.0,1142
200,00000000-0000-0000-0000-000000000000,64,125440.0,575
200,00000000-0000-0000-0000-000000000001,64,125440.0,1025
210,00000000-0000-0000-0000-000000000000,64,125440.0,722
210,00000000-0000-0000-0000-000000000001,64,125440.0,1438
220,00000000-0000-0000-0000-000000000000,64,125440.0,575
220,00000000-0000-0000-0000-000000000001,64,125440.0,1025
230,00000000-0000-0000-0000-000000000000,64,125440.0,575
230,00000000-0000-0000-0000-000000000001,64,125440.0,1025
240,00000000-0000-0000-0000-000000000000,64,125440.0,722
240,00000000-0000-0000-0000-000000000001,64,125440.0,1438
250,00000000-0000-0000-0000-000000000000,64,125440.0,575
250,00000000-0000-0000-0000-000000000001,64,125440.0,1025
260,00000000-0000-0000-0000-000000000000,64,125440.0,575
260,00000000-0000-0000-0000-000000000001,51,99960.0,1243
270,00000000-0000-0000-0000-000000000000,64,125440.0,1502
270,00000000-0000-0000-0000-000000000001,64,125440.0,1799
280,00000000-0000-0000-0000-000000000000,64,125440.0,1698
280,00000000-0000-0000-0000-000000000001,64,125440.0,1078
290,00000000-0000-0000-0000-000000000000,64,125440.0,1675
290,00000000-0000-0000-0000-000000000001,64,125440.0,1025
300,00000000-0000-0000-0000-000000000000,33,64680.0,1747
300,00000000-0000-0000-0000-000000000001,64,125440.0,1619
310,00000000-0000-0000-0000-000000000000,64,125440.0,1623
310,00000000-0000-0000-0000-000000000001,64,125440.0,1465
320,00000000-0000-0000-0000-000000000000,64,125440.0,1675
320,00000000-0000-0000-0000-000000000001,64,125440.0,1025
330,00000000-0000-0000-0000-000000000000,64,125440.0,1675
330,00000000-0000-0000-0000-000000000001,51,99960.0,1232
340,00000000-0000-0000-0000-000000000000,64,125440.0,1672
340,00000000-0000-0000-0000-000000000001,64,125440.0,1799
350,00000000-0000-0000-0000-000000000000,64,125440.0,1815
350,00000000-0000-0000-0000-000000000001,64,125440.0,1236
360,00000000-0000-0000-0000-000000000000,64,125440.0,1725
360,00000000-0000-0000-0000-000000000001,64,125440.0,1025
370,00000000-0000-0000-0000-000000000000,55,107800.0,1763
370,00000000-0000-0000-0000-000000000001,64,125440.0,1461
380,00000000-0000-0000-0000-000000000000,48,94080.0,1732
380,00000000-0000-0000-0000-000000000001,20,39200.0,1778
390,00000000-0000-0000-0000-000000000000,64,125440.0,1724
390,00000000-0000-0000-0000-000000000001,64,125440.0,1024
400,00000000-0000-0000-0000-000000000000,64,125440.0,1725
400,00000000-0000-0000-0000-000000000001,64,125440.0,1025
410,00000000-0000-0000-0000-000000000000,64,125440.0,1745
410,00000000-0000-0000-0000-000000000001,64,125440.0,1694
420,00000000-0000-0000-0000-000000000000,64,125440.0,1750
420,00000000-0000-0000-0000-000000000001,64,125440.0,1546
430,00000000-0000-0000-0000-000000000000,64,125440.0,1725
430,00000000-0000-0000-0000-000000000001,64,125440.0,1025
440,00000000-0000-0000-0000-000000000000,64,125440.0,1725
440,00000000-0000-0000-0000-000000000001,64,125440.0,1141
450,00000000-0000-0000-0000-000000000000,60,117600.0,1650
450,00000000-0000-0000-0000-000000000001,64,125440.0,1810
460,00000000-0000-0000-0000-000000000000,64,125440.0,1845
460,00000000-0000-0000-0000-000000000001,60,117600.0,1806
470,00000000-0000-0000-0000-000000000000,64,125440.0,1725
470,00000000-0000-0000-0000-000000000001,64,125440.0,2065
480,00000000-0000-0000-0000-000000000000,64,125440.0,1725
480,00000000-0000-0000-0000-000000000001,64,125440.0,2075
490,00000000-0000-0000-0000-000000000000,64,125440.0,1725
490,00000000-0000-0000-0000-000000000001,57,111720.0,2059
500,00000000-0000-0000-0000-000000000000,57,111720.0,1921
500,00000000-0000-0000-0000-000000000001,64,125440.0,2007
510,00000000-0000-0000-0000-000000000000,61,119560.0,1821
510,00000000-0000-0000-0000-000000000001,64,125440.0,2025
520,00000000-0000-0000-0000-000000000000,64,125440.0,1995
520,00000000-0000-0000-0000-000000000001,59,115640.0,1999
530,00000000-0000-0000-0000-000000000000,64,125440.0,1900
530,00000000-0000-0000-0000-000000000001,62,121520.0,1950
540,00000000-0000-0000-0000-000000000000,64,125440.0,1900
540,00000000-0000-0000-0000-000000000001,64,125440.0,2074
550,00000000-0000-0000-0000-000000000000,64,125440.0,1900
550,00000000-0000-0000-0000-000000000001,64,125440.0,2075
560,00000000-0000-0000-0000-000000000000,64,125440.0,1900
560,00000000-0000-0000-0000-000000000001,57,111720.0,2054
570,00000000-0000-0000-0000-000000000000,62,121520.0,1965
570,00000000-0000-0000-0000-000000000001,64,125440.0,2051
580,00000000-0000-0000-0000-000000000000,59,115640.0,2009
