Makespan (s),Workflow Response time (s)
29007,36497.0
9152,13330.0
12169,14481.0
28441,29358.0
234,235.0
667,6141.0
6728,12212.0
428,429.0
397,398.0
83,4396.0
95,2258.0
95,96.0
16703,16704.0
30633,30634.0
3863,3987.0
19551,20281.0
8544,11846.0
8973,12819.0
34206,36008.0
22667,24208.0
18471,24840.0
25907,27093.0
22670,29629.0
21594,21595.0
8874,12036.0
25089,25090.0
33839,34566.0
14926,17678.0
15203,15509.0
7991,7992.0
8805,12142.0
8622,9198.0
36654,37075.0
8008,8009.0
91,3037.0
31639,33511.0
34113,34689.0
110,2380.0
29722,30209.0
18,180.0
16,1479.0
20,56.0
16,6009.0
18592,24638.0
18152,23158.0
31475,33820.0
29027,30445.0
32720,33536.0
18642,24784.0
25405,27675.0
33230,33291.0
37680,38936.0
5706,7101.0
19707,19745.0
23257,23258.0
26670,27597.0
20543,25230.0
10,1008.0
8934,16388.0
12,13.0
109818,109819.0
9377,10126.0
16,3980.0
3175,4100.0
19840,19841.0
25402,28123.0
10,1147.0
7985,7986.0
22,779.0
23281,25229.0
8362,8770.0
9731,9732.0
10547,14769.0
21106,22571.0
24103,31933.0
25355,31914.0
5544,11886.0
19563,19793.0
38929,40983.0
17902,17903.0
25078,25079.0
20313,20333.0
29831,29832.0
37700,39975.0
21453,21454.0
30092,30093.0
89,157.0
17502,17836.0
18780,24423.0
8862,9635.0
8858,11091.0
8865,10491.0
8983,16573.0
16745,20132.0
212,6958.0
9193,12367.0
27107,32952.0
9046,10723.0
13259,20199.0
59263,59320.0
18331,18332.0
18686,24936.0
14496,15916.0
17091,17092.0
18393,24939.0
16906,16907.0
33268,40454.0
9594,9595.0
18071,19914.0
31270,37934.0
35774,40741.0
38276,40768.0
19837,25147.0
28128,30617.0
32309,37845.0
24639,28470.0
185256,189609.0
29269,32619.0
19587,19744.0
40627,40706.0
37305,37372.0
2465,2466.0
50652,57284.0
17051,17052.0
17504,17592.0
31823,32062.0
26330,26771.0
25570,29038.0
17816,19376.0
26280,26281.0
31482,32172.0
27156,27399.0
11093,11094.0
21328,21566.0
23534,29274.0
17459,18199.0
21425,27671.0
30494,35976.0
18705,18886.0
37489,41355.0
32839,39227.0
29148,29172.0
18887,19030.0
728,7447.0
36958,39490.0
8712,8738.0
7420,14252.0
26024,26025.0
35727,35728.0
39962,39963.0
18401,24903.0
6143,6144.0
2477,2478.0
30143,30144.0
8720,10710.0
8914,10436.0
9077,15786.0
8092,8212.0
36851,39889.0
39094,39246.0
37406,39518.0
60546,60547.0
34205,41254.0
29808,30518.0
495,834.0
23215,29471.0
57153,61818.0
17397,17919.0
14031,14045.0
32305,32491.0
8741,9360.0
18249,21415.0
8026,8027.0
24423,28323.0
11267,18008.0
27962,30173.0
22312,23561.0
17023,17024.0
36397,36398.0
10076,15661.0
36136,39527.0
38226,39374.0
37252,38604.0
17839,20345.0
30065,30171.0
28578,30776.0
28899,30535.0
30115,30116.0
24138,32048.0
25146,28464.0
32155,32156.0
31409,31921.0
32864,32912.0
9014,16179.0
26009,28232.0
33279,33280.0
17129,17130.0
21238,21335.0
10920,14302.0
10896,16653.0
10266,11879.0
26169,27024.0
23376,29478.0
8142,8279.0
299958,305584.0
22873,26861.0
17892,18939.0
52730,59342.0
33989,39478.0
17829,18954.0
8990,16086.0
10513,14547.0
29681,33775.0
26,7973.0
22,1848.0
39253,40783.0
26235,33110.0
32065,32066.0
23909,29036.0
28143,30658.0
16638,16778.0
13158,19281.0
16362,23538.0
15633,21751.0
17267,19595.0
40057,40058.0
45240,48445.0
22641,30090.0
18154,23286.0
428,3865.0
9217,14286.0
5821,10027.0
168047,168048.0
18285,20979.0
27771,34507.0
19509,22108.0
20323,23198.0
19415,20195.0
31415,33018.0
17884,19355.0
19337,26077.0
39339,39811.0
29380,32978.0
57393,58232.0
141717,147867.0
41268,41284.0
38564,41111.0
18590,24907.0
34495,35035.0
14,794.0
12155,15224.0
9032,13723.0
23539,24829.0
9664,9665.0
19393,22271.0
5730,6136.0
30366,30367.0
181,1051.0
29488,32659.0
222313,227325.0
18346,20204.0
28784,32717.0
69747,76345.0
29600,32638.0
22946,29656.0
14442,15576.0
18593,18594.0
26507,32971.0
37617,40176.0
9625,9702.0
25320,25526.0
9430,10616.0
153,5481.0
23409,29979.0
8341,8342.0
8208,8209.0
32062,32063.0
9391,16156.0
38,72.0
8224,8225.0
30614,32935.0
29670,31813.0
31662,35763.0
30377,36121.0
35433,35434.0
33448,40545.0
29846,29967.0
22332,23858.0
14551,20157.0
35720,35979.0
34558,40358.0
17062,17063.0
42098,42453.0
22024,22054.0
20060,25769.0
18106,25360.0
18108,18199.0
40901,41353.0
19624,21067.0
17789,18921.0
18036,21857.0
17440,17466.0
18129,20806.0
25677,27688.0
39144,41694.0
5038,6542.0
25223,31370.0
19477,24815.0
23324,28033.0
18714,24607.0
40000,40253.0
36,5708.0
38394,40045.0
65169,67252.0
31898,31910.0
36707,38616.0
30230,30304.0
25246,32534.0
34660,34785.0
33412,36261.0
18387,23513.0
30472,35269.0
36007,41606.0
19040,23686.0
32988,39549.0
19076,21001.0
17434,17591.0
39773,39774.0
21846,21911.0
14770,15465.0
36386,38358.0
37320,38258.0
37312,38590.0
17985,20088.0
25035,31743.0
29236,30315.0
18079,23046.0
48861,48896.0
32217,34025.0
33984,34549.0
33303,33936.0
34354,34493.0
20,2636.0
14,1708.0
26,27.0
14,238.0
38,4082.0
12,6072.0
20,136.0
18,222.0
69,301.0
10,2297.0
12,13.0
29219,36128.0
14,4057.0
18523,23874.0
10,26.0
17230,17231.0
29636,31116.0
18628,24630.0
12,4769.0
37806,39623.0
35694,35695.0
30169,30618.0
20768,25841.0
18382,25770.0
11310,11311.0
18116,19752.0
47963,50249.0
79735,80113.0
18057,20229.0
16756,16757.0
18508,25015.0
23354,29443.0
34795,37389.0
33948,34253.0
30,6014.0
14,4352.0
14,6845.0
28586,29551.0
10843,11911.0
11221,15991.0
10318,14815.0
20568,25456.0
487,1293.0
29934,34937.0
31232,39078.0
222,815.0
155,3835.0
29096,35140.0
37399,38194.0
12,2120.0
20,34.0
169,728.0
397,2121.0
52568,52569.0
17446,17829.0
54340,54587.0
33671,33672.0
8623,10232.0
34432,34444.0
16993,16994.0
8045,8167.0
9138,13928.0
6915,6916.0
34804,34805.0
9682,15061.0
29880,36168.0
29380,30767.0
40241,40829.0
33308,33761.0
29339,30585.0
26130,31773.0
33205,33976.0
28418,30818.0
34271,34631.0
23907,25774.0
39176,39216.0
29626,32988.0
33437,33438.0
26422,26569.0
23088,23145.0
9014,12063.0
17976,19812.0
9142,13173.0
9163,13568.0
7991,14917.0
40429,41399.0
12041,15942.0
31896,33932.0
3804,3820.0
12542,17902.0
24006,24900.0
18692,24908.0
70525,76595.0
34182,39327.0
2590,3161.0
44299,44501.0
25330,29684.0
306934,306935.0
22309,22310.0
34412,34913.0
13657,14075.0
18206,21739.0
9569,15449.0
18160,25883.0
81,1559.0
42968,44388.0
17544,17806.0
42556,49515.0
32055,32357.0
17396,17573.0
43667,45244.0
35426,39941.0
35004,35222.0
33636,34598.0
45924,45925.0
44203,45785.0
77727,77753.0
45049,45080.0
25471,28844.0
45786,46022.0
26234,27172.0
20838,22318.0
31545,35285.0
26088,31523.0
22963,30065.0
135338,135955.0
35798,35799.0
34482,34569.0
3836,3852.0
18123,22461.0
9070,12678.0
9492,12653.0
39551,40051.0
134,135.0
23820,28778.0
34601,38632.0
24,5002.0
18017,19726.0
30184,32418.0
34833,34847.0
18320,21344.0
8774,10800.0
19218,20780.0
21456,25467.0
17017,17018.0
18260,19831.0
20252,21546.0
19249,20049.0
33925,35262.0
38189,41534.0
14,5390.0
1851,7076.0
20966,25580.0
21179,21752.0
19588,23682.0
20043,21716.0
26349,26445.0
21035,24288.0
46731,48425.0
23134,25181.0
20960,25111.0
61776,62363.0
21726,26307.0
82405,84003.0
19164,26503.0
20370,20714.0
20631,23303.0
7625,7626.0
66230,66231.0
25358,26004.0
59178,60407.0
28015,28016.0
91062,97824.0
22444,26355.0
158425,164589.0
33946,34362.0
33380,34229.0
26868,32878.0
56264,56296.0
36750,39640.0
9088,15861.0
22819,30252.0
8015,8016.0
29920,29921.0
38473,39074.0
21565,21566.0
729057,733587.0
25449,29019.0
28975,36188.0
72605,75784.0
34830,35612.0
35703,40288.0
9563,9716.0
37236,43622.0
39001,41622.0
9493,9846.0
10219,15235.0
18417,23974.0
38799,45491.0
42892,43051.0
35423,38520.0
41746,42134.0
39366,40605.0
6057,7560.0
37968,39845.0
18,2399.0
18399,21432.0
17960,22836.0
32410,36819.0
27518,27519.0
17942,25867.0
19584,24985.0
39509,44793.0
25161,28516.0
19164,24608.0
17811,22533.0
18557,24310.0
8775,16402.0
30,3198.0
18934,23852.0
1969,4753.0
30643,30867.0
8812,11603.0
18,2473.0
71,1919.0
65,66.0
24428,31582.0
17928,18380.0
102278,103896.0
94278,99971.0
32583,37905.0
17989,20287.0
45771,47778.0
36932,40645.0
60873,64320.0
17869,22197.0
50823,51875.0
53556,54512.0
34072,34125.0
38022,38023.0
33580,38176.0
31207,35694.0
61624,61993.0
35675,38379.0
38042,43370.0
40302,46351.0
50789,57672.0
40727,46027.0
47033,50301.0
33249,33250.0
29206,35271.0
37016,39145.0
35624,37242.0
34964,38284.0
37206,37797.0
40785,40786.0
44659,48544.0
36986,37285.0
37687,41400.0
35337,41022.0
4071,4520.0
25171,26823.0
18236,21540.0
18339,25274.0
17550,17686.0
18023,19484.0
55868,56074.0
39922,40875.0
42346,42347.0
12,6149.0
8,1581.0
18269,21219.0
31946,32637.0
31977,32068.0
18204,22055.0
18788,20017.0
68267,69413.0
17863,22754.0
39598,39806.0
17800,19166.0
2367,10051.0
5335,5916.0
13007,19922.0
42695,43087.0
9495,14053.0
8840,9689.0
24187,24297.0
34144,34263.0
19193,19789.0
14278,15297.0
14624,19754.0
74973,76557.0
34710,41355.0
18044,21987.0
92666,92667.0
37091,43446.0
18038,20015.0
18509,22592.0
9608,14659.0
9231,14265.0
9227,12067.0
9033,13522.0
17971,25768.0
33324,37820.0
19612,25855.0
30267,30281.0
19372,25867.0
41294,42371.0
557,4954.0
40274,40275.0
42142,42166.0
37826,40225.0
34520,39400.0
41209,41210.0
14806,15626.0
37434,40357.0
55461,55897.0
18375,22256.0
107471,109351.0
18590,24557.0
31572,31919.0
12524,15212.0
25095,25096.0
34098,40944.0
24428,25659.0
40008,42443.0
45464,45999.0
27587,27588.0
38449,42076.0
16105,16409.0
18344,19967.0
18171,18172.0
17457,17781.0
34472,40814.0
24507,29261.0
26122,28136.0
26333,26698.0
65475,65476.0
18045,21731.0
39727,40002.0
36629,41005.0
18745,24662.0
28982,35337.0
37507,40177.0
33826,39249.0
32734,38566.0
36797,38025.0
40503,42360.0
35861,38933.0
29341,35854.0
37974,39597.0
34425,41873.0
34787,40008.0
50319,51063.0
41503,41504.0
39458,43979.0
9286,15708.0
34296,40728.0
175,6883.0
18048,19023.0
17932,17946.0
21624,29248.0
18903,19073.0
9051,11324.0
18393,21531.0
9168,12208.0
19933,20749.0
33373,41087.0
37405,41563.0
52087,52088.0
89,2210.0
24865,24946.0
24,25.0
17877,19111.0
18582,24501.0
17663,17664.0
26154,26752.0
9155,9580.0
55412,62134.0
17895,20372.0
18503,25035.0
32762,40379.0
16930,16931.0
18192,25846.0
2646,2647.0
43140,43952.0
26963,26964.0
22511,30450.0
26792,26793.0
43904,43969.0
24950,28791.0
47173,47207.0
22439,23288.0
23162,23728.0
21304,28290.0
25400,27419.0
30246,33454.0
9064,9065.0
38719,38720.0
5155,5156.0
22268,25096.0
19983,25086.0
17179,17206.0
18721,18806.0
17339,17340.0
21994,24371.0
30,2669.0
9229,14596.0
19891,19921.0
9190,9218.0
18194,18232.0
18421,25771.0
32147,32175.0
9307,16324.0
8181,8223.0
34097,34098.0
31890,32840.0
8222,8446.0
32718,32746.0
9186,14187.0
67327,67328.0
10369,10370.0
26133,28627.0
27845,27846.0
19010,20324.0
19894,21657.0
17102,20293.0
26817,33131.0
28818,32650.0
23763,26294.0
30130,32653.0
