Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
600,00000000-0000-0000-0000-000000000000,0,125440.0,124004
600,00000000-0000-0000-0000-000000000001,0,125440.0,123975
1200,00000000-0000-0000-0000-000000000000,0,125440.0,125876
1200,00000000-0000-0000-0000-000000000001,0,125440.0,125839
1800,00000000-0000-0000-0000-000000000000,0,125440.0,125900
1800,00000000-0000-0000-0000-000000000001,0,125440.0,125880
2400,00000000-0000-0000-0000-000000000000,0,123480.0,125891
2400,00000000-0000-0000-0000-000000000001,0,125440.0,125937
3000,00000000-0000-0000-0000-000000000000,0,125440.0,125943
3000,00000000-0000-0000-0000-000000000001,0,125440.0,125950
3600,00000000-0000-0000-0000-000000000000,0,125440.0,125963
3600,00000000-0000-0000-0000-000000000001,0,125440.0,125912
4200,00000000-0000-0000-0000-000000000000,0,125440.0,125962
4200,00000000-0000-0000-0000-000000000001,0,125440.0,125595
4800,00000000-0000-0000-0000-000000000000,0,125440.0,125858
4800,00000000-0000-0000-0000-000000000001,0,125440.0,125959
5400,00000000-0000-0000-0000-000000000000,0,125440.0,125959
5400,00000000-0000-0000-0000-000000000001,0,123480.0,125918
6000,00000000-0000-0000-0000-000000000000,0,125440.0,125964
6000,00000000-0000-0000-0000-000000000001,0,125440.0,125961
6600,00000000-0000-0000-0000-000000000000,0,125440.0,125921
6600,00000000-0000-0000-0000-000000000001,0,125440.0,125880
7200,00000000-0000-0000-0000-000000000000,0,125440.0,125960
7200,00000000-0000-0000-0000-000000000001,0,125440.0,125941
7800,00000000-0000-0000-0000-000000000000,0,125440.0,125988
7800,00000000-0000-0000-0000-000000000001,0,125440.0,125970
8400,00000000-0000-0000-0000-000000000000,0,125440.0,125916
8400,00000000-0000-0000-0000-000000000001,0,123480.0,125891
9000,00000000-0000-0000-0000-000000000000,0,125440.0,125880
9000,00000000-0000-0000-0000-000000000001,0,125440.0,125903
9600,00000000-0000-0000-0000-000000000000,0,125440.0,125964
9600,00000000-0000-0000-0000-000000000001,0,125440.0,125943
10200,00000000-0000-0000-0000-000000000000,0,125440.0,125954
10200,00000000-0000-0000-0000-000000000001,0,125440.0,125954
10800,00000000-0000-0000-0000-000000000000,0,125440.0,125954
10800,00000000-0000-0000-0000-000000000001,0,123480.0,125925
11400,00000000-0000-0000-0000-000000000000,0,125440.0,125915
11400,00000000-0000-0000-0000-000000000001,0,125440.0,125962
12000,00000000-0000-0000-0000-000000000000,0,125440.0,125924
12000,00000000-0000-0000-0000-000000000001,0,125440.0,125966
12600,00000000-0000-0000-0000-000000000000,0,125440.0,125901
12600,00000000-0000-0000-0000-000000000001,0,125440.0,125969
13200,00000000-0000-0000-0000-000000000000,0,125440.0,125978
13200,00000000-0000-0000-0000-000000000001,0,125440.0,125898
13800,00000000-0000-0000-0000-000000000000,0,125440.0,125936
13800,00000000-0000-0000-0000-000000000001,0,125440.0,125974
14400,00000000-0000-0000-0000-000000000000,0,125440.0,125956
14400,00000000-0000-0000-0000-000000000001,0,125440.0,125951
15000,00000000-0000-0000-0000-000000000000,0,125440.0,125972
15000,00000000-0000-0000-0000-000000000001,0,125440.0,125948
15600,00000000-0000-0000-0000-000000000000,0,125440.0,125920
15600,00000000-0000-0000-0000-000000000001,0,123480.0,125930
16200,00000000-0000-0000-0000-000000000000,0,125440.0,125962
16200,00000000-0000-0000-0000-000000000001,0,125440.0,125959
16800,00000000-0000-0000-0000-000000000000,0,125440.0,125963
16800,00000000-0000-0000-0000-000000000001,0,125440.0,125973
17400,00000000-0000-0000-0000-000000000000,0,125440.0,125964
17400,00000000-0000-0000-0000-000000000001,0,125440.0,125979
18000,00000000-0000-0000-0000-000000000000,0,125440.0,125958
18000,00000000-0000-0000-0000-000000000001,0,125440.0,125881
18600,00000000-0000-0000-0000-000000000000,0,125440.0,125953
18600,00000000-0000-0000-0000-000000000001,0,125440.0,125970
19200,00000000-0000-0000-0000-000000000000,0,125440.0,125961
19200,00000000-0000-0000-0000-000000000001,0,125440.0,125984
19800,00000000-0000-0000-0000-000000000000,0,125440.0,125974
19800,00000000-0000-0000-0000-000000000001,0,125440.0,125978
20400,00000000-0000-0000-0000-000000000000,0,125440.0,125964
20400,00000000-0000-0000-0000-000000000001,0,125440.0,125890
21000,00000000-0000-0000-0000-000000000000,0,125440.0,125976
21000,00000000-0000-0000-0000-000000000001,0,125440.0,125985
21600,00000000-0000-0000-0000-000000000000,0,125440.0,125967
21600,00000000-0000-0000-0000-000000000001,0,123480.0,125895
22200,00000000-0000-0000-0000-000000000000,0,125440.0,125881
22200,00000000-0000-0000-0000-000000000001,0,125440.0,125905
22800,00000000-0000-0000-0000-000000000000,0,125440.0,125992
22800,00000000-0000-0000-0000-000000000001,0,125440.0,125951
23400,00000000-0000-0000-0000-000000000000,0,125440.0,125981
23400,00000000-0000-0000-0000-000000000001,0,125440.0,125905
24000,00000000-0000-0000-0000-000000000000,0,125440.0,125991
24000,00000000-0000-0000-0000-000000000001,0,125440.0,125969
24600,00000000-0000-0000-0000-000000000000,0,125440.0,125994
24600,00000000-0000-0000-0000-000000000001,0,125440.0,125965
25200,00000000-0000-0000-0000-000000000000,0,125440.0,125955
25200,00000000-0000-0000-0000-000000000001,0,125440.0,125633
25800,00000000-0000-0000-0000-000000000000,0,125440.0,125978
25800,00000000-0000-0000-0000-000000000001,0,125440.0,125973
26400,00000000-0000-0000-0000-000000000000,0,125440.0,125979
26400,00000000-0000-0000-0000-000000000001,0,125440.0,125941
27000,00000000-0000-0000-0000-000000000000,0,125440.0,125904
27000,00000000-0000-0000-0000-000000000001,0,123480.0,125969
27600,00000000-0000-0000-0000-000000000000,0,125440.0,125976
27600,00000000-0000-0000-0000-000000000001,0,125440.0,125923
28200,00000000-0000-0000-0000-000000000000,0,125440.0,125911
28200,00000000-0000-0000-0000-000000000001,0,125440.0,125911
28800,00000000-0000-0000-0000-000000000000,0,125440.0,125962
28800,00000000-0000-0000-0000-000000000001,0,123480.0,125960
29400,00000000-0000-0000-0000-000000000000,0,125440.0,125976
29400,00000000-0000-0000-0000-000000000001,0,125440.0,125883
30000,00000000-0000-0000-0000-000000000000,0,125440.0,125847
30000,00000000-0000-0000-0000-000000000001,0,125440.0,125922
30600,00000000-0000-0000-0000-000000000000,0,123480.0,125852
30600,00000000-0000-0000-0000-000000000001,0,125440.0,125917
31200,00000000-0000-0000-0000-000000000000,0,125440.0,125833
31200,00000000-0000-0000-0000-000000000001,0,123480.0,125876
