Makespan (s),Workflow Response time (s)
25782,57075.0
23568,57206.0
24890,57205.0
47840,55416.0
37926,56981.0
44973,56847.0
25678,57075.0
51347,52403.0
22541,57208.0
32086,56984.0
50582,54101.0
36805,56981.0
44553,54138.0
21929,56963.0
35143,55544.0
47496,52662.0
47571,55915.0
30501,33084.0
32719,34298.0
34976,36057.0
30554,34073.0
27670,32155.0
25785,32717.0
31765,35797.0
32984,35573.0
29997,37056.0
30201,31778.0
33551,41560.0
26189,46233.0
35108,40705.0
18863,51354.0
30613,44658.0
15120,52256.0
31329,44331.0
31478,44323.0
23174,48577.0
23894,48526.0
21631,49917.0
19356,50814.0
46180,51334.0
42769,52261.0
48056,50753.0
49951,51748.0
49940,50772.0
45916,51565.0
40546,51573.0
43675,51555.0
48767,51854.0
44421,51847.0
42999,51540.0
41225,51880.0
49952,51839.0
51453,52282.0
52625,52627.0
51988,52066.0
44215,50788.0
51074,52383.0
51976,52034.0
52295,52296.0
51249,52301.0
52030,52296.0
52311,52313.0
52311,52313.0
51935,51936.0
52298,52299.0
52196,52499.0
52469,52470.0
52582,52583.0
52261,52512.0
52368,52559.0
52447,52448.0
52459,52460.0
52358,52359.0
52527,52603.0
51806,52583.0
47390,51859.0
47599,49905.0
31227,52369.0
49942,52335.0
30964,52370.0
49429,51586.0
39935,51869.0
51469,51791.0
45683,50736.0
45017,51868.0
46289,49906.0
43803,51745.0
33748,49857.0
39711,44628.0
44245,49861.0
48782,51861.0
51533,51534.0
42298,52260.0
48546,49906.0
49907,51556.0
49451,50761.0
47877,51888.0
49014,52325.0
38878,52333.0
47551,49030.0
49972,51329.0
44076,51556.0
50307,51758.0
41441,49439.0
49911,51567.0
40926,50734.0
49785,51816.0
44305,51592.0
51507,51510.0
44934,49830.0
46400,50747.0
49458,51912.0
44119,52351.0
20862,52382.0
16645,52390.0
48168,52339.0
45167,51748.0
45504,52343.0
48675,52315.0
37519,51889.0
48341,51551.0
38136,52365.0
33452,52367.0
50107,52334.0
41532,52361.0
22130,52380.0
51291,52333.0
21791,52381.0
46347,52342.0
21662,52381.0
41038,52363.0
48696,52339.0
18619,52387.0
16288,52391.0
36024,52367.0
30107,52372.0
34971,52367.0
21883,57436.0
39220,52364.0
30475,57432.0
50004,57423.0
28766,57433.0
43070,55053.0
24874,57436.0
49080,52613.0
31447,57431.0
41466,57428.0
27697,57435.0
24294,57436.0
29738,57434.0
48130,57425.0
47766,57424.0
29931,57434.0
45587,51881.0
40959,51368.0
43536,57428.0
52676,57418.0
51950,57418.0
38864,57428.0
44061,57427.0
44379,51795.0
49086,50760.0
49865,51569.0
45904,51881.0
47763,49903.0
38985,51797.0
48788,49459.0
46823,51545.0
31011,57433.0
50808,51851.0
22942,57436.0
50175,51556.0
45131,57445.0
48940,51765.0
37435,57429.0
21708,57438.0
57321,57417.0
21932,57546.0
50922,57418.0
43629,57466.0
28085,56442.0
44978,54098.0
43378,54889.0
45878,52857.0
25463,56818.0
32698,56072.0
45623,50700.0
51159,51840.0
49473,57462.0
32121,57583.0
47579,57426.0
40621,57429.0
46497,57451.0
25732,57436.0
50071,51557.0
54847,57427.0
44726,51520.0
39608,48499.0
49804,52269.0
47254,51836.0
46035,51535.0
46269,46477.0
51473,51870.0
43177,51861.0
48867,49849.0
51105,51749.0
49497,51555.0
50286,51870.0
48099,49891.0
51174,51898.0
50255,51864.0
36036,51565.0
50572,51891.0
45623,51548.0
43248,51515.0
51184,51553.0
50744,50747.0
45431,51528.0
51243,51871.0
45387,51314.0
51758,51759.0
46289,52291.0
50641,51861.0
50341,51858.0
42348,52221.0
49921,51536.0
46045,46238.0
39819,50771.0
48738,52270.0
42338,51888.0
50463,52224.0
45533,51547.0
23876,35289.0
42532,50749.0
44762,51851.0
50384,50751.0
51535,51536.0
44984,51147.0
51492,52329.0
29652,57433.0
41023,49860.0
44232,51852.0
39160,50735.0
43396,51835.0
51422,52234.0
47572,51761.0
49725,49879.0
44967,50776.0
44458,47295.0
49690,49903.0
34625,34703.0
30690,36335.0
25812,33351.0
35622,37390.0
30289,32191.0
30149,35053.0
50934,51871.0
52635,52637.0
47316,52252.0
37502,51757.0
49311,50731.0
42849,48566.0
36943,48497.0
46912,52230.0
38827,51829.0
26383,51781.0
41653,44641.0
49321,51331.0
47200,51527.0
40846,46187.0
44300,44303.0
35507,45448.0
40198,41559.0
35716,51148.0
42726,50732.0
33548,51868.0
44237,51533.0
43447,49458.0
34599,49891.0
36740,48515.0
31744,49858.0
42199,45430.0
48374,52233.0
40134,40634.0
44753,46476.0
24914,50746.0
49398,51538.0
49283,51831.0
39015,44626.0
43661,48567.0
49997,51367.0
46462,51367.0
43869,50768.0
48028,50757.0
49272,51169.0
39485,48567.0
45650,47780.0
46053,49891.0
21656,50807.0
25914,50730.0
51442,51557.0
38995,44621.0
46490,48517.0
46813,49845.0
42549,44627.0
45860,47312.0
37954,51294.0
41787,44304.0
43084,44622.0
34907,42745.0
49265,51586.0
39205,49830.0
39323,48115.0
47683,52237.0
44902,51591.0
49888,49890.0
50281,52270.0
42888,49928.0
48892,50785.0
50129,52280.0
51135,51789.0
48628,51558.0
35024,51535.0
40405,50722.0
43351,52245.0
28183,50791.0
49750,50750.0
49871,51184.0
44129,50768.0
19383,51831.0
27298,50729.0
49798,51871.0
45226,48556.0
31297,51751.0
47890,52245.0
37066,49842.0
49387,51149.0
43409,44622.0
50682,51521.0
35321,49830.0
45893,51830.0
47240,49822.0
27753,56442.0
36465,52366.0
44240,51295.0
30443,45450.0
32439,50754.0
41445,49445.0
42849,57427.0
47888,50731.0
31799,51795.0
47770,47771.0
47864,51526.0
30649,51832.0
39230,45860.0
51024,51295.0
47327,49822.0
0,4689.0
18,18450.0
18,18575.0
18,7512.0
18,7752.0
18,15519.0
18,13313.0
18,27106.0
18,17202.0
18,24343.0
48731,51871.0
41060,46187.0
44807,49831.0
31329,51553.0
21996,51750.0
40882,51845.0
39564,51548.0
39038,46223.0
32945,49905.0
45938,51862.0
45306,50729.0
47218,47772.0
45446,49446.0
29391,52251.0
45421,47313.0
47017,51794.0
48481,51318.0
47760,51513.0
50852,51744.0
28952,51779.0
44532,51149.0
27937,47259.0
26889,57435.0
26954,57435.0
35921,57429.0
41556,57428.0
40560,52262.0
45340,47817.0
49044,49446.0
44335,51774.0
44845,51534.0
40099,50807.0
39582,50752.0
47702,51833.0
44437,46467.0
41277,51552.0
40233,49905.0
46296,48498.0
26615,51532.0
37127,49906.0
49095,51830.0
36435,50727.0
43288,45431.0
27615,49901.0
48055,51534.0
41151,43300.0
37618,49856.0
50578,51531.0
41075,50808.0
44384,45860.0
36513,51759.0
52099,52202.0
28039,51330.0
52521,52522.0
51479,52612.0
50971,52583.0
18,27055.0
52509,52585.0
52130,52529.0
43236,49892.0
33888,47314.0
43598,50751.0
50913,51831.0
44686,49854.0
47544,51833.0
39042,49830.0
45897,49490.0
34522,49831.0
40237,48586.0
52518,52520.0
42691,51536.0
46385,51778.0
44311,49906.0
37116,45859.0
48103,49891.0
44795,51331.0
40461,46475.0
51149,51556.0
41592,50731.0
42698,49830.0
52575,52576.0
52078,52193.0
52575,52577.0
34904,57431.0
55097,57466.0
41574,48568.0
33199,49905.0
43315,44642.0
26440,49855.0
40196,49846.0
29219,51518.0
37935,44598.0
36914,51330.0
31148,48498.0
36480,51549.0
51783,51860.0
37103,46222.0
50589,51585.0
52051,52241.0
51511,51835.0
32472,57589.0
38067,46215.0
39381,43323.0
37328,44312.0
48969,50750.0
30760,51848.0
50154,50730.0
45841,51891.0
43289,49770.0
48014,51871.0
49294,50808.0
37649,44627.0
49836,52201.0
49213,51330.0
47265,51872.0
50328,51529.0
41507,44542.0
51709,51879.0
51390,52263.0
50517,51747.0
50967,51890.0
51544,51545.0
46904,52272.0
45180,51764.0
48389,51555.0
51511,51798.0
50419,51151.0
51651,52256.0
51393,51867.0
48733,51896.0
47519,51533.0
49806,50743.0
49796,49873.0
47158,50760.0
52263,52264.0
46727,50808.0
47490,51887.0
44085,52223.0
51166,51167.0
46448,50786.0
47652,51883.0
42093,51556.0
48937,50724.0
38882,51828.0
30959,45450.0
47442,51554.0
50494,51556.0
51502,52225.0
49793,52199.0
43065,43067.0
37170,43068.0
37869,49822.0
39495,45397.0
51224,51738.0
52150,52152.0
51623,52173.0
51593,52314.0
49238,51847.0
49062,51882.0
52078,52212.0
51441,51537.0
44983,51749.0
50069,50752.0
44247,47259.0
52194,52195.0
52208,52209.0
51793,52193.0
51659,51869.0
51868,51870.0
52155,52325.0
52233,52235.0
51880,51881.0
51151,51871.0
51929,51930.0
52504,52505.0
52270,52272.0
52319,52321.0
48566,51553.0
47377,49867.0
47045,51564.0
45000,50787.0
51439,51521.0
46474,49905.0
48841,48993.0
51147,51148.0
43787,51546.0
51510,51757.0
42300,52257.0
49140,51573.0
49051,51821.0
52584,52585.0
52600,52601.0
35575,51331.0
