Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,125440.0,1714
10,00000000-0000-0000-0000-000000000001,0,125440.0,1719
20,00000000-0000-0000-0000-000000000000,0,125440.0,2050
20,00000000-0000-0000-0000-000000000001,0,125440.0,2100
30,00000000-0000-0000-0000-000000000000,0,125440.0,2091
30,00000000-0000-0000-0000-000000000001,0,125440.0,2093
40,00000000-0000-0000-0000-000000000000,0,125440.0,2100
40,00000000-0000-0000-0000-000000000001,0,125440.0,2100
50,00000000-0000-0000-0000-000000000000,0,125440.0,2100
50,00000000-0000-0000-0000-000000000001,0,125440.0,2099
60,00000000-0000-0000-0000-000000000000,0,125440.0,2100
60,00000000-0000-0000-0000-000000000001,0,125440.0,2100
70,00000000-0000-0000-0000-000000000000,0,125440.0,2085
70,00000000-0000-0000-0000-000000000001,0,125440.0,2067
80,00000000-0000-0000-0000-000000000000,0,125440.0,2100
80,00000000-0000-0000-0000-000000000001,0,125440.0,2100
90,00000000-0000-0000-0000-000000000000,0,125440.0,2058
90,00000000-0000-0000-0000-000000000001,0,125440.0,2064
100,00000000-0000-0000-0000-000000000000,0,125440.0,2050
100,00000000-0000-0000-0000-000000000001,0,125440.0,2075
110,00000000-0000-0000-0000-000000000000,0,123480.0,2038
110,00000000-0000-0000-0000-000000000001,0,125440.0,2058
120,00000000-0000-0000-0000-000000000000,0,125440.0,2099
120,00000000-0000-0000-0000-000000000001,0,125440.0,2095
130,00000000-0000-0000-0000-000000000000,0,125440.0,2088
130,00000000-0000-0000-0000-000000000001,0,123480.0,2081
140,00000000-0000-0000-0000-000000000000,0,125440.0,2100
140,00000000-0000-0000-0000-000000000001,0,125440.0,2099
150,00000000-0000-0000-0000-000000000000,0,123480.0,2087
150,00000000-0000-0000-0000-000000000001,0,125440.0,2086
160,00000000-0000-0000-0000-000000000000,0,125440.0,2097
160,00000000-0000-0000-0000-000000000001,0,125440.0,2099
170,00000000-0000-0000-0000-000000000000,0,125440.0,2088
170,00000000-0000-0000-0000-000000000001,0,123480.0,2084
180,00000000-0000-0000-0000-000000000000,0,125440.0,2094
180,00000000-0000-0000-0000-000000000001,0,125440.0,2098
190,00000000-0000-0000-0000-000000000000,0,119560.0,2087
190,00000000-0000-0000-0000-000000000001,0,121520.0,2081
200,00000000-0000-0000-0000-000000000000,0,125440.0,2089
200,00000000-0000-0000-0000-000000000001,0,125440.0,2091
210,00000000-0000-0000-0000-000000000000,0,117600.0,2092
210,00000000-0000-0000-0000-000000000001,0,121520.0,2095
220,00000000-0000-0000-0000-000000000000,0,125440.0,2072
220,00000000-0000-0000-0000-000000000001,0,125440.0,2073
230,00000000-0000-0000-0000-000000000000,0,123480.0,2074
230,00000000-0000-0000-0000-000000000001,0,121520.0,2077
240,00000000-0000-0000-0000-000000000000,0,125440.0,2078
240,00000000-0000-0000-0000-000000000001,0,125440.0,2089
250,00000000-0000-0000-0000-000000000000,0,121520.0,2095
250,00000000-0000-0000-0000-000000000001,0,123480.0,2098
260,00000000-0000-0000-0000-000000000000,0,125440.0,2070
260,00000000-0000-0000-0000-000000000001,0,125440.0,2093
270,00000000-0000-0000-0000-000000000000,0,117600.0,2093
270,00000000-0000-0000-0000-000000000001,0,123480.0,2099
280,00000000-0000-0000-0000-000000000000,0,125440.0,2060
280,00000000-0000-0000-0000-000000000001,0,125440.0,2087
290,00000000-0000-0000-0000-000000000000,0,125440.0,2100
290,00000000-0000-0000-0000-000000000001,0,125440.0,2095
300,00000000-0000-0000-0000-000000000000,0,125440.0,2089
300,00000000-0000-0000-0000-000000000001,0,125440.0,2072
310,00000000-0000-0000-0000-000000000000,0,125440.0,2100
310,00000000-0000-0000-0000-000000000001,0,125440.0,2100
320,00000000-0000-0000-0000-000000000000,0,123480.0,2075
320,00000000-0000-0000-0000-000000000001,0,125440.0,2095
330,00000000-0000-0000-0000-000000000000,0,125440.0,2099
330,00000000-0000-0000-0000-000000000001,0,125440.0,2100
340,00000000-0000-0000-0000-000000000000,0,125440.0,2100
340,00000000-0000-0000-0000-000000000001,0,125440.0,2080
350,00000000-0000-0000-0000-000000000000,0,125440.0,2100
350,00000000-0000-0000-0000-000000000001,0,125440.0,2099
360,00000000-0000-0000-0000-000000000000,0,123480.0,2074
360,00000000-0000-0000-0000-000000000001,0,123480.0,2093
370,00000000-0000-0000-0000-000000000000,0,125440.0,2099
370,00000000-0000-0000-0000-000000000001,0,125440.0,2096
380,00000000-0000-0000-0000-000000000000,0,125440.0,2079
380,00000000-0000-0000-0000-000000000001,0,123480.0,2088
390,00000000-0000-0000-0000-000000000000,0,125440.0,2085
390,00000000-0000-0000-0000-000000000001,0,125440.0,2097
400,00000000-0000-0000-0000-000000000000,0,125440.0,2077
400,00000000-0000-0000-0000-000000000001,0,123480.0,2091
410,00000000-0000-0000-0000-000000000000,0,123480.0,2091
410,00000000-0000-0000-0000-000000000001,0,125440.0,2094
420,00000000-0000-0000-0000-000000000000,0,125440.0,2088
420,00000000-0000-0000-0000-000000000001,0,125440.0,2099
430,00000000-0000-0000-0000-000000000000,0,125440.0,2096
430,00000000-0000-0000-0000-000000000001,0,125440.0,2098
440,00000000-0000-0000-0000-000000000000,0,123480.0,2097
440,00000000-0000-0000-0000-000000000001,0,123480.0,2083
450,00000000-0000-0000-0000-000000000000,0,125440.0,2076
450,00000000-0000-0000-0000-000000000001,0,125440.0,2096
460,00000000-0000-0000-0000-000000000000,0,121520.0,2095
460,00000000-0000-0000-0000-000000000001,0,123480.0,2075
470,00000000-0000-0000-0000-000000000000,0,125440.0,2065
470,00000000-0000-0000-0000-000000000001,0,125440.0,2099
480,00000000-0000-0000-0000-000000000000,0,123480.0,2097
