Makespan (s),Workflow Response time (s)
12306,27280.0
11249,27351.0
11839,27302.0
23553,27092.0
18220,27278.0
21587,27198.0
12242,27280.0
24754,25156.0
10755,27351.0
15390,27279.0
24461,26053.0
17667,27279.0
21165,25670.0
10307,27076.0
16462,26187.0
22935,25301.0
23192,27098.0
14709,15841.0
15792,16439.0
16866,17284.0
14731,16322.0
13349,15399.0
12445,15662.0
15320,17154.0
15912,17049.0
14484,17767.0
14569,15214.0
16205,19963.0
12647,22196.0
16921,19496.0
9187,24733.0
14785,21444.0
7303,25094.0
15163,21318.0
15213,21308.0
11153,23298.0
11512,23276.0
10488,24010.0
9343,24405.0
22380,24743.0
20641,25092.0
23162,24369.0
24140,24882.0
24083,24377.0
22241,24833.0
19621,24835.0
21136,24832.0
23526,24923.0
21455,24921.0
20811,24814.0
19903,24927.0
24128,24919.0
24836,25129.0
25898,25899.0
25254,25255.0
21348,24390.0
24708,25232.0
25093,25094.0
25143,25144.0
24732,25133.0
25127,25130.0
25133,25134.0
25139,25140.0
25095,25096.0
25129,25130.0
25276,25341.0
25319,25320.0
25418,25419.0
25350,25353.0
25440,25442.0
25298,25299.0
25295,25296.0
25209,25210.0
25457,25458.0
25180,25451.0
22878,24923.0
22996,23992.0
15066,25139.0
24083,25110.0
14920,25139.0
23912,24854.0
19307,24943.0
24856,24939.0
22026,24337.0
21720,24906.0
22358,23993.0
21134,24863.0
16302,23962.0
19168,21416.0
21378,23962.0
23508,24904.0
24797,24798.0
20452,25133.0
23445,23992.0
24159,24833.0
23826,24350.0
23131,24948.0
23640,25135.0
18769,25140.0
23113,23715.0
24156,24702.0
21369,24864.0
24280,24865.0
20004,23752.0
24164,24841.0
19770,24370.0
24066,24940.0
21508,24901.0
24782,24783.0
21718,23951.0
22362,24348.0
24040,25104.0
21270,25132.0
10055,25148.0
8031,25154.0
23245,25143.0
21837,24882.0
21955,25129.0
23487,25137.0
18136,24948.0
23376,24832.0
18407,25137.0
16137,25138.0
24141,25110.0
20026,25135.0
10656,25147.0
24712,25109.0
10517,25147.0
22344,25122.0
10458,25148.0
19804,25136.0
23465,25116.0
8979,25152.0
7860,25154.0
17361,25138.0
14507,25141.0
16858,25138.0
10337,27365.0
18905,25137.0
14474,27361.0
23894,27352.0
13659,27362.0
20354,26019.0
11786,27364.0
23696,25300.0
14952,27360.0
19755,27355.0
13139,27363.0
11502,27365.0
14112,27361.0
22980,27353.0
22822,27353.0
14205,27363.0
22018,24947.0
19925,24825.0
20771,27354.0
25171,27351.0
24840,27351.0
18535,27355.0
21012,27356.0
21481,24939.0
23685,24374.0
24148,24842.0
22162,24928.0
23082,24004.0
18845,24912.0
23502,23730.0
22654,24816.0
14724,27363.0
24525,24922.0
11114,27630.0
24282,24831.0
21541,27376.0
23629,24886.0
17836,27359.0
10517,27631.0
27350,27351.0
10578,27631.0
24332,27353.0
20840,27398.0
13258,26812.0
21278,25558.0
20386,25818.0
22141,25379.0
11878,26888.0
15380,26538.0
22004,24324.0
24672,24902.0
23646,27393.0
15498,27670.0
22737,27354.0
19361,27358.0
22215,27384.0
12189,27366.0
