Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,120960.0,1714
10,00000000-0000-0000-0000-000000000001,0,103680.0,1471
20,00000000-0000-0000-0000-000000000000,0,120960.0,2071
20,00000000-0000-0000-0000-000000000001,0,101520.0,1788
30,00000000-0000-0000-0000-000000000000,0,120960.0,2071
30,00000000-0000-0000-0000-000000000001,0,101520.0,1842
40,00000000-0000-0000-0000-000000000000,0,120960.0,2071
40,00000000-0000-0000-0000-000000000001,0,101520.0,1842
50,00000000-0000-0000-0000-000000000000,0,120960.0,2071
50,00000000-0000-0000-0000-000000000001,0,101520.0,1842
60,00000000-0000-0000-0000-000000000000,0,118800.0,2065
60,00000000-0000-0000-0000-000000000001,0,110160.0,1866
70,00000000-0000-0000-0000-000000000000,0,120960.0,2097
70,00000000-0000-0000-0000-000000000001,0,120960.0,1985
80,00000000-0000-0000-0000-000000000000,0,120960.0,2034
80,00000000-0000-0000-0000-000000000001,0,118800.0,2004
90,00000000-0000-0000-0000-000000000000,0,120960.0,2042
90,00000000-0000-0000-0000-000000000001,0,118800.0,2042
100,00000000-0000-0000-0000-000000000000,0,120960.0,2040
100,00000000-0000-0000-0000-000000000001,0,116640.0,2040
110,00000000-0000-0000-0000-000000000000,0,120960.0,2094
110,00000000-0000-0000-0000-000000000001,0,118800.0,2042
120,00000000-0000-0000-0000-000000000000,0,120960.0,2091
120,00000000-0000-0000-0000-000000000001,0,116640.0,2006
130,00000000-0000-0000-0000-000000000000,0,120960.0,2100
130,00000000-0000-0000-0000-000000000001,0,116640.0,1957
140,00000000-0000-0000-0000-000000000000,0,120960.0,2084
140,00000000-0000-0000-0000-000000000001,0,120960.0,1981
150,00000000-0000-0000-0000-000000000000,0,120960.0,2100
150,00000000-0000-0000-0000-000000000001,0,120960.0,1985
160,00000000-0000-0000-0000-000000000000,0,116640.0,1988
160,00000000-0000-0000-0000-000000000001,0,120960.0,2031
170,00000000-0000-0000-0000-000000000000,0,112320.0,2012
170,00000000-0000-0000-0000-000000000001,0,118800.0,2042
180,00000000-0000-0000-0000-000000000000,0,120960.0,2068
180,00000000-0000-0000-0000-000000000001,0,112320.0,2016
190,00000000-0000-0000-0000-000000000000,0,114480.0,2099
190,00000000-0000-0000-0000-000000000001,0,112320.0,1985
200,00000000-0000-0000-0000-000000000000,0,114480.0,2017
200,00000000-0000-0000-0000-000000000001,0,120960.0,2088
210,00000000-0000-0000-0000-000000000000,0,118800.0,2004
210,00000000-0000-0000-0000-000000000001,0,116640.0,2081
220,00000000-0000-0000-0000-000000000000,0,116640.0,2054
220,00000000-0000-0000-0000-000000000001,0,120960.0,2097
230,00000000-0000-0000-0000-000000000000,0,112320.0,2018
230,00000000-0000-0000-0000-000000000001,0,116640.0,2096
240,00000000-0000-0000-0000-000000000000,0,116640.0,1986
240,00000000-0000-0000-0000-000000000001,0,120960.0,2096
250,00000000-0000-0000-0000-000000000000,0,114480.0,2004
250,00000000-0000-0000-0000-000000000001,0,118800.0,2062
260,00000000-0000-0000-0000-000000000000,0,116640.0,2042
260,00000000-0000-0000-0000-000000000001,0,120960.0,2099
270,00000000-0000-0000-0000-000000000000,0,118800.0,1988
270,00000000-0000-0000-0000-000000000001,0,120960.0,2079
280,00000000-0000-0000-0000-000000000000,0,118800.0,1928
280,00000000-0000-0000-0000-000000000001,0,120960.0,2100
290,00000000-0000-0000-0000-000000000000,0,120960.0,2032
290,00000000-0000-0000-0000-000000000001,0,116640.0,2052
300,00000000-0000-0000-0000-000000000000,0,120960.0,2100
300,00000000-0000-0000-0000-000000000001,0,116640.0,2042
310,00000000-0000-0000-0000-000000000000,0,114480.0,2044
310,00000000-0000-0000-0000-000000000001,0,120960.0,2029
320,00000000-0000-0000-0000-000000000000,0,114480.0,2014
320,00000000-0000-0000-0000-000000000001,0,120960.0,2074
330,00000000-0000-0000-0000-000000000000,0,116640.0,2028
330,00000000-0000-0000-0000-000000000001,0,120960.0,2086
340,00000000-0000-0000-0000-000000000000,0,116640.0,2042
340,00000000-0000-0000-0000-000000000001,0,120960.0,2100
350,00000000-0000-0000-0000-000000000000,0,120960.0,2060
350,00000000-0000-0000-0000-000000000001,0,120960.0,2087
360,00000000-0000-0000-0000-000000000000,0,120960.0,2094
360,00000000-0000-0000-0000-000000000001,0,118800.0,2082
370,00000000-0000-0000-0000-000000000000,0,120960.0,2074
370,00000000-0000-0000-0000-000000000001,0,120960.0,2045
380,00000000-0000-0000-0000-000000000000,0,116640.0,2094
380,00000000-0000-0000-0000-000000000001,0,116640.0,2082
390,00000000-0000-0000-0000-000000000000,0,120960.0,2071
390,00000000-0000-0000-0000-000000000001,0,120960.0,2092
400,00000000-0000-0000-0000-000000000000,0,112320.0,2075
400,00000000-0000-0000-0000-000000000001,0,118800.0,2064
410,00000000-0000-0000-0000-000000000000,0,120960.0,2031
410,00000000-0000-0000-0000-000000000001,0,120960.0,2096
420,00000000-0000-0000-0000-000000000000,0,120960.0,2067
420,00000000-0000-0000-0000-000000000001,0,120960.0,2072
430,00000000-0000-0000-0000-000000000000,0,118800.0,2038
430,00000000-0000-0000-0000-000000000001,0,120960.0,2086
440,00000000-0000-0000-0000-000000000000,0,120960.0,2054
440,00000000-0000-0000-0000-000000000001,0,120960.0,2077
450,00000000-0000-0000-0000-000000000000,0,120960.0,2098
450,00000000-0000-0000-0000-000000000001,0,120960.0,2078
460,00000000-0000-0000-0000-000000000000,0,118800.0,2065
