Time (s),Tasks #
18.0,1229
0.001,8015
16.0,5
37.0,990
262.0,162
338.0,256
301.0,195
74.0,4160
283.0,174
150.0,1067
131.0,1396
168.0,632
151.0,211
112.0,2825
55.0,2458
188.0,946
414.0,254
396.0,329
472.0,87
357.0,226
451.0,137
377.0,439
320.0,175
433.0,155
509.0,10
755.0,3
490.0,21
527.0,11
244.0,288
207.0,719
187.0,16
225.0,453
170.0,320
246.0,89
116.0,68
261.0,20
192.0,153
153.0,72
174.0,69
172.0,80
96.0,389
318.0,33
114.0,252
155.0,47
75.0,942
135.0,97
212.0,22
77.0,211
211.0,40
279.0,24
298.0,11
242.0,17
361.0,80
392.0,20
355.0,35
337.0,18
133.0,212
374.0,30
340.0,90
57.0,955
224.0,12
248.0,14
100.0,57
140.0,42
98.0,73
264.0,127
94.0,4560
300.0,31
266.0,15
285.0,8
83.0,39
120.0,28
101.0,38
303.0,12
122.0,12
79.0,77
231.0,30
92.0,79
250.0,34
251.0,12
600.0,15
368.0,13
638.0,6
270.0,9
385.0,51
327.0,9
620.0,13
366.0,33
605.0,12
309.0,3
348.0,13
562.0,9
329.0,6
601.0,8
544.0,12
350.0,4
387.0,10
583.0,7
288.0,17
524.0,12
488.0,13
542.0,12
194.0,11
581.0,12
468.0,48
505.0,15
450.0,109
405.0,25
675.0,12
525.0,6
640.0,7
712.0,16
694.0,10
233.0,4
674.0,11
692.0,7
618.0,13
359.0,229
281.0,20
20.0,93
53.0,2
38.0,175
342.0,41
322.0,48
381.0,24
324.0,22
550.0,5
566.0,9
61.0,179
379.0,62
344.0,24
398.0,43
42.0,77
325.0,10
305.0,6
400.0,22
383.0,27
435.0,93
118.0,29
624.0,12
453.0,120
59.0,269
362.0,33
364.0,25
401.0,16
403.0,35
346.0,17
625.0,5
418.0,27
424.0,45
425.0,23
961.0,4
696.0,3
420.0,23
1218.0,2
477.0,17
512.0,11
475.0,31
1077.0,2
455.0,69
607.0,4
431.0,120
409.0,6
1012.0,1
1192.0,1
