Makespan (s),Workflow Response time (s)
5032,11220.0
4569,11220.0
4819,11220.0
9723,11115.0
7506,11220.0
8901,11161.0
5005,11220.0
10391,10477.0
4344,11220.0
6308,11220.0
10514,11101.0
7282,11217.0
8729,10521.0
4084,11027.0
6798,10778.0
9579,10480.0
9589,11135.0
6168,6563.0
6629,6820.0
7078,7168.0
6178,6765.0
5611,6377.0
5229,6489.0
6435,7113.0
6670,7065.0
6077,7362.0
6116,6306.0
6743,8228.0
5312,9213.0
7057,8049.0
3868,10294.0
6193,8891.0
3097,10455.0
6357,8849.0
6386,8847.0
4641,9659.0
4799,9649.0
4365,9945.0
3949,10172.0
9452,10351.0
8674,10456.0
9737,10158.0
10150,10380.0
10095,10159.0
9339,10340.0
8274,10366.0
8884,10339.0
9898,10394.0
9027,10392.0
8742,10332.0
8421,10438.0
10143,10391.0
10432,10496.0
11283,11284.0
10646,10647.0
9104,10294.0
10447,10593.0
10606,10607.0
10509,10510.0
10408,10494.0
10482,10483.0
10493,10494.0
10499,10500.0
10493,10494.0
10482,10483.0
10698,10699.0
10674,10675.0
10768,10769.0
10714,10715.0
10792,10793.0
10662,10663.0
10648,10649.0
10564,10565.0
10808,10809.0
10784,10807.0
9630,10392.0
9586,9922.0
6329,10466.0
10093,10448.0
6283,10466.0
10105,10402.0
8191,10461.0
10412,10413.0
9245,10118.0
9129,10372.0
9314,9923.0
8872,10345.0
6774,9894.0
8012,8857.0
8895,9894.0
9876,10372.0
10311,10312.0
8638,10510.0
9771,9921.0
10144,10354.0
9979,10125.0
9797,10473.0
9950,10491.0
7910,10492.0
9742,9914.0
10109,10259.0
8993,10370.0
10177,10346.0
8432,9914.0
10175,10385.0
8322,10160.0
10139,10414.0
9075,10409.0
10259,10260.0
9073,9915.0
9401,10139.0
10124,10486.0
8934,10462.0
4231,10470.0
3385,10473.0
9793,10494.0
9177,10369.0
9221,10462.0
9882,10492.0
7721,10479.0
9829,10353.0
7732,10465.0
6770,10465.0
10132,10448.0
8417,10464.0
4479,10469.0
10362,10447.0
4411,10470.0
9389,10461.0
4391,10470.0
8319,10464.0
9849,10459.0
3788,10470.0
3316,10475.0
7286,10465.0
6110,10467.0
7074,10465.0
4188,11233.0
7941,10465.0
5909,11230.0
9863,11225.0
5575,11232.0
8352,10636.0
4796,11232.0
9889,10479.0
6102,11230.0
8138,11228.0
5350,11232.0
4683,11233.0
5764,11232.0
9480,11226.0
9422,11225.0
5803,11232.0
9340,10475.0
8392,10352.0
8563,11227.0
10238,11057.0
10120,11081.0
7610,11228.0
8660,11228.0
9051,10413.0
9950,10164.0
10169,10385.0
9372,10438.0
9646,9941.0
7937,10390.0
9885,9887.0
9518,10332.0
6023,11233.0
10306,10391.0
4543,11381.0
10180,10338.0
8897,11249.0
9937,10382.0
7340,11230.0
4298,11381.0
11224,11225.0
4320,11381.0
10049,11226.0
8618,11274.0
5408,10999.0
8831,10538.0
8443,10630.0
9216,10488.0
4817,11017.0
6225,10823.0
9227,10106.0
10368,10370.0
9786,11268.0
6394,11421.0
9383,11229.0
7958,11231.0
9325,11399.0
5104,11381.0
10146,10318.0
11667,12060.0
9076,10308.0
7963,9615.0
10090,10455.0
9586,10370.0
9343,10312.0
9254,9255.0
10371,10372.0
8762,10371.0
9827,9911.0
10343,10345.0
10040,10318.0
10180,10372.0
9686,9916.0
10445,10447.0
10235,10430.0
7357,10354.0
10300,10446.0
9281,10338.0
8775,10308.0
10337,10338.0
10140,10141.0
9236,10329.0
10393,10395.0
9271,10328.0
10381,10382.0
9395,10469.0
10284,10411.0
10207,10394.0
8604,10455.0
10124,10331.0
9272,9273.0
8078,10152.0
9869,10459.0
8652,10438.0
10227,10456.0
9258,10338.0
4828,6990.0
8597,10120.0
9080,10371.0
10119,10120.0
10311,10312.0
9033,10139.0
10382,10446.0
5749,11233.0
8270,9914.0
8993,10394.0
7963,10160.0
8825,10391.0
10412,10475.0
9681,10388.0
9936,9937.0
9125,10159.0
9004,9450.0
9940,9941.0
6896,6897.0
6218,7218.0
5228,6617.0
7207,7437.0
6132,6384.0
6121,6963.0
10641,10724.0
10809,10810.0
9586,10436.0
7625,10362.0
9952,10119.0
8611,9628.0
7419,9615.0
9492,10421.0
7878,10370.0
5355,10368.0
8450,8930.0
10035,10308.0
9578,10312.0
8258,9193.0
8813,8814.0
7175,9040.0
8136,8287.0
7269,10248.0
8636,10119.0
6832,10410.0
8980,10315.0
8728,9805.0
6965,9918.0
7403,9636.0
6385,9915.0
8502,9028.0
9779,10421.0
8008,8009.0
9039,9255.0
5033,10123.0
10023,10318.0
9986,10370.0
7861,8857.0
8787,9629.0
10194,10351.0
9507,10349.0
8870,10125.0
9737,10164.0
10096,10348.0
7930,9628.0
9320,9615.0
9282,9915.0
4392,10138.0
5216,10118.0
10345,10346.0
7852,8852.0
9355,9628.0
9409,9894.0
8588,8867.0
9241,9410.0
7697,10257.0
8465,8842.0
8665,8852.0
7033,8479.0
10066,10408.0
7870,9875.0
7966,9604.0
9712,10492.0
9193,10409.0
9962,9963.0
10221,10491.0
8865,10147.0
9983,10233.0
10194,10491.0
10413,10415.0
9888,10353.0
7102,10313.0
8176,10116.0
8772,10427.0
5708,10139.0
10059,10143.0
10202,10348.0
8934,10132.0
3949,10370.0
5509,10119.0
10131,10410.0
9082,9628.0
6359,10345.0
9680,10419.0
7444,9886.0
10020,10249.0
8726,8853.0
10245,10309.0
7089,9879.0
9309,10370.0
9478,9873.0
5320,10983.0
7388,10465.0
8965,10248.0
6149,9039.0
6549,10124.0
8282,9764.0
8417,11228.0
9672,10118.0
6462,10352.0
9411,9412.0
9699,10309.0
6221,10369.0
7917,9113.0
10247,10248.0
9491,9867.0
0,799.0
20,3620.0
20,3637.0
20,1400.0
20,1443.0
20,3013.0
20,2572.0
20,5364.0
20,3365.0
20,4814.0
9949,10462.0
8300,9193.0
9010,9873.0
6371,10319.0
4476,10360.0
8296,10372.0
8034,10318.0
7937,9251.0
6620,9923.0
9319,10374.0
9163,10118.0
9461,9463.0
9111,9785.0
5956,10435.0
9163,9411.0
9549,10369.0
9812,10258.0
9686,10309.0
10264,10347.0
5887,10364.0
9056,10250.0
5621,9391.0
5328,11380.0
5336,11381.0
7017,11229.0
8159,11229.0
8220,10435.0
9270,9644.0
9784,9785.0
9045,10411.0
9097,10313.0
8118,10139.0
8007,10125.0
9676,10371.0
8978,9253.0
8382,10319.0
8119,9925.0
9314,9618.0
5396,10312.0
7661,10105.0
9942,10370.0
7372,10117.0
8741,9036.0
5560,9921.0
9727,10313.0
8335,8632.0
7565,9897.0
10228,10312.0
8326,10142.0
9016,9187.0
7426,10363.0
10409,10410.0
5681,10260.0
10804,10805.0
10700,10810.0
10602,10809.0
20,5357.0
10791,10792.0
10808,10809.0
8719,9921.0
6835,9412.0
8820,10124.0
10287,10370.0
8992,9895.0
9644,10371.0
7839,9874.0
9262,9867.0
6927,9880.0
8158,9704.0
10765,10766.0
8674,10318.0
9411,10363.0
9113,10105.0
7496,9113.0
9688,9918.0
9123,10308.0
8174,9254.0
10343,10344.0
8406,10118.0
8580,9880.0
10809,10810.0
10818,10819.0
10787,10788.0
6811,11230.0
13769,14113.0
8417,9690.0
6674,9923.0
8783,8929.0
5290,9896.0
8093,9894.0
5946,10309.0
7644,8852.0
7494,10259.0
6240,9618.0
7416,10318.0
10448,10449.0
7542,9249.0
10274,10358.0
10461,10462.0
10438,10439.0
6466,11429.0
7680,9193.0
7965,8632.0
7543,8815.0
9894,10124.0
6254,10372.0
10112,10114.0
9360,10443.0
8691,9867.0
9789,10430.0
9966,10144.0
7598,8867.0
10075,10419.0
9966,10259.0
9622,10410.0
10203,10329.0
8367,8852.0
10373,10374.0
10376,10459.0
10255,10382.0
10359,10442.0
10332,10333.0
9521,10465.0
9196,10388.0
9824,10338.0
10388,10389.0
10275,10277.0
10453,10455.0
10429,10430.0
9928,10442.0
9654,10331.0
10055,10139.0
9935,9936.0
9537,10144.0
10462,10463.0
9479,10164.0
9687,10438.0
8943,10451.0
10276,10277.0
9434,10170.0
9722,10438.0
8589,10364.0
9886,10116.0
7887,10370.0
6259,9041.0
9648,10338.0
10251,10338.0
10439,10441.0
10064,10421.0
8478,8479.0
7497,8547.0
7509,9785.0
7971,9022.0
10346,10347.0
10786,10787.0
10782,10784.0
10455,10457.0
9973,10373.0
9929,10374.0
10409,10410.0
10312,10313.0
9115,10345.0
10122,10124.0
8918,9399.0
10374,10375.0
10409,10410.0
10374,10375.0
10371,10372.0
10371,10372.0
10501,10502.0
10415,10416.0
10373,10374.0
10370,10372.0
10470,10471.0
10783,10784.0
10448,10449.0
10506,10507.0
9878,10358.0
9580,9956.0
9609,10385.0
9270,10297.0
10308,10309.0
9347,9921.0
9628,9629.0
10138,10139.0
8904,10332.0
10364,10365.0
8567,10438.0
9979,10338.0
9924,10362.0
10788,10789.0
10809,10810.0
7216,10259.0
6653,9193.0
5258,10369.0
10601,10602.0
10625,10626.0
10372,10374.0
10372,10373.0
4129,10115.0
5020,9249.0
10385,10386.0
10410,10411.0
8607,10115.0
10806,10807.0
10943,10944.0
10692,10803.0
8893,10318.0
9610,10159.0
9955,10127.0
7584,10334.0
9916,10430.0
9895,10332.0
9725,10394.0
9695,10440.0
9619,10443.0
9529,9914.0
9936,10450.0
8780,10299.0
9315,9785.0
10460,10461.0
9872,10394.0
8786,10175.0
10131,10450.0
9281,10408.0
9810,10152.0
10159,10411.0
10661,10768.0
10366,10367.0
10238,10455.0
8287,10362.0
8351,10311.0
10058,10288.0
9346,10459.0
10312,10418.0
9764,10125.0
10074,10311.0
9413,10260.0
10308,10310.0
9897,10423.0
10118,10371.0
9165,10312.0
8630,10248.0
10361,10362.0
9579,10259.0
10005,10112.0
8929,9894.0
10183,10312.0
8954,10320.0
9865,10118.0
10046,10317.0
8450,10410.0
9563,10382.0
8236,10145.0
10307,10308.0
10138,10140.0
9419,9420.0
10331,10333.0
10258,10259.0
10367,10368.0
10417,10418.0
9760,10370.0
9739,10371.0
10370,10371.0
10409,10410.0
10308,10309.0
9628,10318.0
10144,10372.0
10026,10408.0
10373,10505.0
8739,9563.0
10099,10439.0
10330,10331.0
9692,10277.0
9377,10388.0
10444,10445.0
10611,10612.0
10101,10479.0
10216,10438.0
10071,10508.0
9329,10329.0
9301,10384.0
9018,10383.0
