Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,125440.0,1732
10,00000000-0000-0000-0000-000000000001,0,105840.0,1497
10,00000000-0000-0000-0000-000000000002,0,121520.0,1647
10,00000000-0000-0000-0000-000000000003,0,119560.0,1644
10,00000000-0000-0000-0000-000000000004,0,111720.0,1579
10,00000000-0000-0000-0000-000000000005,0,107800.0,1544
10,00000000-0000-0000-0000-000000000006,0,99960.0,1364
10,00000000-0000-0000-0000-000000000007,0,107800.0,1522
10,00000000-0000-0000-0000-000000000008,0,121520.0,1667
10,00000000-0000-0000-0000-000000000009,0,125440.0,1702
10,00000000-0000-0000-0000-00000000000a,0,99960.0,1449
10,00000000-0000-0000-0000-00000000000b,0,105840.0,1507
10,00000000-0000-0000-0000-00000000000c,0,123480.0,1714
10,00000000-0000-0000-0000-00000000000d,0,125440.0,1724
20,00000000-0000-0000-0000-000000000000,0,125440.0,2100
20,00000000-0000-0000-0000-000000000001,0,105840.0,1825
20,00000000-0000-0000-0000-000000000002,0,121520.0,2050
20,00000000-0000-0000-0000-000000000003,0,119560.0,2025
20,00000000-0000-0000-0000-000000000004,0,111720.0,1899
20,00000000-0000-0000-0000-000000000005,0,107800.0,1825
20,00000000-0000-0000-0000-000000000006,0,99960.0,1775
20,00000000-0000-0000-0000-000000000007,0,107800.0,1875
20,00000000-0000-0000-0000-000000000008,0,121520.0,2025
20,00000000-0000-0000-0000-000000000009,0,125440.0,2100
20,00000000-0000-0000-0000-00000000000a,0,99960.0,1775
20,00000000-0000-0000-0000-00000000000b,0,105840.0,1849
20,00000000-0000-0000-0000-00000000000c,0,123480.0,2075
20,00000000-0000-0000-0000-00000000000d,0,125440.0,2100
30,00000000-0000-0000-0000-000000000000,0,125440.0,2100
30,00000000-0000-0000-0000-000000000001,0,107800.0,1863
30,00000000-0000-0000-0000-000000000002,0,123480.0,2067
30,00000000-0000-0000-0000-000000000003,0,119560.0,2021
30,00000000-0000-0000-0000-000000000004,0,107800.0,1881
30,00000000-0000-0000-0000-000000000005,0,111720.0,1902
30,00000000-0000-0000-0000-000000000006,0,99960.0,1771
30,00000000-0000-0000-0000-000000000007,0,111720.0,1892
30,00000000-0000-0000-0000-000000000008,0,123480.0,2064
30,00000000-0000-0000-0000-000000000009,0,125440.0,2100
30,00000000-0000-0000-0000-00000000000a,0,101920.0,1792
30,00000000-0000-0000-0000-00000000000b,0,105840.0,1850
30,00000000-0000-0000-0000-00000000000c,0,123480.0,2069
30,00000000-0000-0000-0000-00000000000d,0,125440.0,2100
40,00000000-0000-0000-0000-000000000000,0,125440.0,2100
40,00000000-0000-0000-0000-000000000001,0,107800.0,1875
40,00000000-0000-0000-0000-000000000002,0,123480.0,2075
40,00000000-0000-0000-0000-000000000003,0,119560.0,2025
40,00000000-0000-0000-0000-000000000004,0,107800.0,1875
40,00000000-0000-0000-0000-000000000005,0,111720.0,1925
40,00000000-0000-0000-0000-000000000006,0,99960.0,1775
40,00000000-0000-0000-0000-000000000007,0,111720.0,1900
40,00000000-0000-0000-0000-000000000008,0,123480.0,2075
40,00000000-0000-0000-0000-000000000009,0,125440.0,2100
40,00000000-0000-0000-0000-00000000000a,0,101920.0,1800
40,00000000-0000-0000-0000-00000000000b,0,105840.0,1850
40,00000000-0000-0000-0000-00000000000c,0,123480.0,2075
40,00000000-0000-0000-0000-00000000000d,0,125440.0,2100
50,00000000-0000-0000-0000-000000000000,0,125440.0,2100
50,00000000-0000-0000-0000-000000000001,0,107800.0,1875
50,00000000-0000-0000-0000-000000000002,0,125440.0,2094
50,00000000-0000-0000-0000-000000000003,0,119560.0,2025
50,00000000-0000-0000-0000-000000000004,0,107800.0,1875
50,00000000-0000-0000-0000-000000000005,0,109760.0,1904
50,00000000-0000-0000-0000-000000000006,0,99960.0,1775
50,00000000-0000-0000-0000-000000000007,0,109760.0,1900
50,00000000-0000-0000-0000-000000000008,0,123480.0,2075
50,00000000-0000-0000-0000-000000000009,0,123480.0,2082
50,00000000-0000-0000-0000-00000000000a,0,98000.0,1761
50,00000000-0000-0000-0000-00000000000b,0,105840.0,1850
50,00000000-0000-0000-0000-00000000000c,0,121520.0,2054
50,00000000-0000-0000-0000-00000000000d,0,123480.0,2079
60,00000000-0000-0000-0000-000000000000,0,125440.0,2100
60,00000000-0000-0000-0000-000000000001,0,107800.0,1875
60,00000000-0000-0000-0000-000000000002,0,125440.0,2100
60,00000000-0000-0000-0000-000000000003,0,119560.0,2025
60,00000000-0000-0000-0000-000000000004,0,107800.0,1875
60,00000000-0000-0000-0000-000000000005,0,109760.0,1900
60,00000000-0000-0000-0000-000000000006,0,99960.0,1775
60,00000000-0000-0000-0000-000000000007,0,109760.0,1900
60,00000000-0000-0000-0000-000000000008,0,123480.0,2075
60,00000000-0000-0000-0000-000000000009,0,123480.0,2075
60,00000000-0000-0000-0000-00000000000a,0,98000.0,1750
60,00000000-0000-0000-0000-00000000000b,0,105840.0,1850
60,00000000-0000-0000-0000-00000000000c,0,121520.0,2050
60,00000000-0000-0000-0000-00000000000d,0,123480.0,2075
70,00000000-0000-0000-0000-000000000000,0,125440.0,2096
70,00000000-0000-0000-0000-000000000001,0,107800.0,1818
70,00000000-0000-0000-0000-000000000002,0,123480.0,2071
70,00000000-0000-0000-0000-000000000003,0,121520.0,2013
70,00000000-0000-0000-0000-000000000004,0,115640.0,1894
70,00000000-0000-0000-0000-000000000005,0,117600.0,1898
70,00000000-0000-0000-0000-000000000006,0,98000.0,1748
70,00000000-0000-0000-0000-000000000007,0,115640.0,1917
70,00000000-0000-0000-0000-000000000008,0,115640.0,2003
70,00000000-0000-0000-0000-000000000009,0,113680.0,1951
70,00000000-0000-0000-0000-00000000000a,0,103880.0,1777
70,00000000-0000-0000-0000-00000000000b,0,115640.0,1883
70,00000000-0000-0000-0000-00000000000c,0,121520.0,2038
70,00000000-0000-0000-0000-00000000000d,0,125440.0,2073
80,00000000-0000-0000-0000-000000000000,0,125440.0,2100
80,00000000-0000-0000-0000-000000000001,0,107800.0,1875
80,00000000-0000-0000-0000-000000000002,0,125440.0,2099
80,00000000-0000-0000-0000-000000000003,0,121520.0,2056
80,00000000-0000-0000-0000-000000000004,0,115640.0,1950
80,00000000-0000-0000-0000-000000000005,0,117600.0,2000
80,00000000-0000-0000-0000-000000000006,0,98000.0,1750
80,00000000-0000-0000-0000-000000000007,0,115640.0,1950
80,00000000-0000-0000-0000-000000000008,0,115640.0,1975
80,00000000-0000-0000-0000-000000000009,0,113680.0,1950
80,00000000-0000-0000-0000-00000000000a,0,103880.0,1800
80,00000000-0000-0000-0000-00000000000b,0,115640.0,1975
80,00000000-0000-0000-0000-00000000000c,0,121520.0,2050
80,00000000-0000-0000-0000-00000000000d,0,125440.0,2100
90,00000000-0000-0000-0000-000000000000,0,125440.0,2053
90,00000000-0000-0000-0000-000000000001,0,105840.0,1833
90,00000000-0000-0000-0000-000000000002,0,117600.0,1994
90,00000000-0000-0000-0000-000000000003,0,117600.0,1961
90,00000000-0000-0000-0000-000000000004,0,113680.0,1920
90,00000000-0000-0000-0000-000000000005,0,119560.0,1983
90,00000000-0000-0000-0000-000000000006,0,90160.0,1674
90,00000000-0000-0000-0000-000000000007,0,111720.0,1908
90,00000000-0000-0000-0000-000000000008,0,109760.0,1905
90,00000000-0000-0000-0000-000000000009,0,101920.0,1845
90,00000000-0000-0000-0000-00000000000a,0,101920.0,1795
90,00000000-0000-0000-0000-00000000000b,0,115640.0,1965
90,00000000-0000-0000-0000-00000000000c,0,125440.0,2058
90,00000000-0000-0000-0000-00000000000d,0,125440.0,2073
100,00000000-0000-0000-0000-000000000000,0,125440.0,2100
100,00000000-0000-0000-0000-000000000001,0,107800.0,1862
100,00000000-0000-0000-0000-000000000002,0,117600.0,1986
100,00000000-0000-0000-0000-000000000003,0,125440.0,2019
100,00000000-0000-0000-0000-000000000004,0,115640.0,1972
100,00000000-0000-0000-0000-000000000005,0,119560.0,2025
100,00000000-0000-0000-0000-000000000006,0,92120.0,1662
100,00000000-0000-0000-0000-000000000007,0,115640.0,1924
100,00000000-0000-0000-0000-000000000008,0,113680.0,1909
100,00000000-0000-0000-0000-000000000009,0,105840.0,1832
100,00000000-0000-0000-0000-00000000000a,0,101920.0,1800
100,00000000-0000-0000-0000-00000000000b,0,115640.0,1971
100,00000000-0000-0000-0000-00000000000c,0,125440.0,2100
100,00000000-0000-0000-0000-00000000000d,0,125440.0,2075
110,00000000-0000-0000-0000-000000000000,0,105840.0,1969
110,00000000-0000-0000-0000-000000000001,0,98000.0,1811
110,00000000-0000-0000-0000-000000000002,0,125440.0,2024
110,00000000-0000-0000-0000-000000000003,0,119560.0,2033
110,00000000-0000-0000-0000-000000000004,0,121520.0,1968
110,00000000-0000-0000-0000-000000000005,0,119560.0,1975
110,00000000-0000-0000-0000-000000000006,0,98000.0,1699
110,00000000-0000-0000-0000-000000000007,0,119560.0,1910
110,00000000-0000-0000-0000-000000000008,0,117600.0,1920
110,00000000-0000-0000-0000-000000000009,0,119560.0,1845
110,00000000-0000-0000-0000-00000000000a,0,105840.0,1789
110,00000000-0000-0000-0000-00000000000b,0,115640.0,1952
110,00000000-0000-0000-0000-00000000000c,0,125440.0,2046
110,00000000-0000-0000-0000-00000000000d,0,119560.0,2045
120,00000000-0000-0000-0000-000000000000,0,107800.0,1854
120,00000000-0000-0000-0000-000000000001,0,101920.0,1800
120,00000000-0000-0000-0000-000000000002,0,125440.0,2100
120,00000000-0000-0000-0000-000000000003,0,125440.0,2089
120,00000000-0000-0000-0000-000000000004,0,121520.0,2025
120,00000000-0000-0000-0000-000000000005,0,121520.0,2042
120,00000000-0000-0000-0000-000000000006,0,96040.0,1728
120,00000000-0000-0000-0000-000000000007,0,125440.0,2007
120,00000000-0000-0000-0000-000000000008,0,119560.0,2008
120,00000000-0000-0000-0000-000000000009,0,121520.0,2042
120,00000000-0000-0000-0000-00000000000a,0,103880.0,1836
120,00000000-0000-0000-0000-00000000000b,0,117600.0,1994
120,00000000-0000-0000-0000-00000000000c,0,125440.0,2000
120,00000000-0000-0000-0000-00000000000d,0,117600.0,1998
130,00000000-0000-0000-0000-000000000000,0,105840.0,1847
130,00000000-0000-0000-0000-000000000001,0,98000.0,1778
130,00000000-0000-0000-0000-000000000002,0,121520.0,2050
130,00000000-0000-0000-0000-000000000003,0,119560.0,2074
130,00000000-0000-0000-0000-000000000004,0,123480.0,2048
130,00000000-0000-0000-0000-000000000005,0,111720.0,2013
130,00000000-0000-0000-0000-000000000006,0,94080.0,1677
130,00000000-0000-0000-0000-000000000007,0,115640.0,2043
130,00000000-0000-0000-0000-000000000008,0,103880.0,1947
130,00000000-0000-0000-0000-000000000009,0,123480.0,2056
130,00000000-0000-0000-0000-00000000000a,0,103880.0,1813
130,00000000-0000-0000-0000-00000000000b,0,113680.0,1979
130,00000000-0000-0000-0000-00000000000c,0,117600.0,2000
130,00000000-0000-0000-0000-00000000000d,0,115640.0,1981
140,00000000-0000-0000-0000-000000000000,0,107800.0,1874
140,00000000-0000-0000-0000-000000000001,0,99960.0,1769
140,00000000-0000-0000-0000-000000000002,0,125440.0,2097
140,00000000-0000-0000-0000-000000000003,0,121520.0,2048
140,00000000-0000-0000-0000-000000000004,0,123480.0,2075
140,00000000-0000-0000-0000-000000000005,0,115640.0,1949
140,00000000-0000-0000-0000-000000000006,0,99960.0,1759
140,00000000-0000-0000-0000-000000000007,0,121520.0,2039
140,00000000-0000-0000-0000-000000000008,0,113680.0,1920
140,00000000-0000-0000-0000-000000000009,0,123480.0,2075
140,00000000-0000-0000-0000-00000000000a,0,103880.0,1825
140,00000000-0000-0000-0000-00000000000b,0,117600.0,1994
140,00000000-0000-0000-0000-00000000000c,0,125440.0,2092
140,00000000-0000-0000-0000-00000000000d,0,121520.0,2017
150,00000000-0000-0000-0000-000000000000,0,101920.0,1844
150,00000000-0000-0000-0000-000000000001,0,103880.0,1794
150,00000000-0000-0000-0000-000000000002,0,117600.0,2079
150,00000000-0000-0000-0000-000000000003,0,121520.0,2023
150,00000000-0000-0000-0000-000000000004,0,123480.0,2082
150,00000000-0000-0000-0000-000000000005,0,113680.0,1945
150,00000000-0000-0000-0000-000000000006,0,96040.0,1753
150,00000000-0000-0000-0000-000000000007,0,125440.0,2057
150,00000000-0000-0000-0000-000000000008,0,109760.0,1926
150,00000000-0000-0000-0000-000000000009,0,119560.0,2055
150,00000000-0000-0000-0000-00000000000a,0,99960.0,1802
150,00000000-0000-0000-0000-00000000000b,0,113680.0,1973
150,00000000-0000-0000-0000-00000000000c,0,105840.0,2018
150,00000000-0000-0000-0000-00000000000d,0,113680.0,1998
160,00000000-0000-0000-0000-000000000000,0,115640.0,1877
160,00000000-0000-0000-0000-000000000001,0,109760.0,1865
160,00000000-0000-0000-0000-000000000002,0,125440.0,2069
160,00000000-0000-0000-0000-000000000003,0,121520.0,2066
160,00000000-0000-0000-0000-000000000004,0,123480.0,2077
160,00000000-0000-0000-0000-000000000005,0,115640.0,1954
160,00000000-0000-0000-0000-000000000006,0,101920.0,1744
160,00000000-0000-0000-0000-000000000007,0,125440.0,2097
160,00000000-0000-0000-0000-000000000008,0,119560.0,1949
