Makespan (s),Workflow Response time (s)
24,4119.0
55461,62151.0
169710,184522.0
22,10864.0
24,27865.0
194284,199379.0
191905,199642.0
198889,198971.0
190792,199786.0
39397,39529.0
24,10918.0
123544,145245.0
113307,132863.0
78022,88728.0
44458,48624.0
55823,62575.0
78928,91202.0
134406,160175.0
100104,117943.0
67916,76893.0
125695,149236.0
106649,125123.0
24,21890.0
24,10132.0
88100,102774.0
177759,195131.0
185571,199995.0
134655,160158.0
195988,199321.0
173729,200626.0
170876,182342.0
188517,189304.0
174025,180674.0
22,28020.0
24,12104.0
52732,58906.0
91828,108243.0
104964,123099.0
0,22342.0
114333,134127.0
77872,89915.0
121790,143068.0
43126,47102.0
123390,145598.0
24,13185.0
22,12556.0
83364,95980.0
146846,175370.0
142878,170122.0
0,26382.0
0,6104.0
24,8442.0
46067,50614.0
137550,163674.0
139299,166162.0
41133,43584.0
78095,89756.0
0,14870.0
0,15872.0
0,21734.0
0,1343.0
0,26692.0
0,19000.0
123864,146125.0
0,14636.0
0,12539.0
0,10904.0
75157,85014.0
0,20380.0
137401,163271.0
0,28001.0
132593,157324.0
0,19745.0
184853,200030.0
181484,200299.0
24,6231.0
179153,200396.0
176750,200466.0
172441,197406.0
123598,145423.0
42620,46432.0
83362,95870.0
24,2522.0
147102,175205.0
191912,199666.0
29265,29266.0
161987,187793.0
0,18681.0
180645,200315.0
195356,199325.0
86211,98899.0
0,9804.0
191164,199668.0
24,9145.0
87991,103238.0
113348,132718.0
91887,108185.0
0,3878.0
24,28907.0
78545,89661.0
91045,106807.0
125558,149613.0
50285,55793.0
24,6649.0
24,3904.0
44488,48804.0
0,1432.0
0,25647.0
0,3348.0
22,2934.0
0,12692.0
91813,108243.0
40476,41836.0
0,3353.0
0,28865.0
78289,89643.0
0,3847.0
1255,28134.0
0,1975.0
43643,47126.0
0,16737.0
42499,45697.0
0,15924.0
0,16830.0
0,7034.0
0,19190.0
0,5898.0
0,8976.0
24,9999.0
54074,60282.0
0,9278.0
0,439.0
183518,192091.0
181757,193002.0
0,27427.0
172169,200682.0
186814,199934.0
183770,200089.0
76011,85866.0
24,16280.0
24,26032.0
171593,200706.0
198747,198950.0
183812,200091.0
176683,200449.0
195078,211283.0
0,16101.0
196886,199264.0
0,20098.0
0,8028.0
0,23409.0
0,14273.0
4,10729.0
174381,200592.0
0,12644.0
0,24647.0
0,25456.0
0,1614.0
39312,40078.0
0,14723.0
0,18808.0
181092,200308.0
0,20447.0
1293,1624.0
0,27910.0
0,8207.0
0,2780.0
0,28473.0
182646,200163.0
183220,200107.0
0,28130.0
20142,24103.0
195880,199912.0
207710,211363.0
24,6416.0
189729,199836.0
0,3040.0
207643,211350.0
10,9910.0
8,27851.0
