Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,5880.0,526
10,00000000-0000-0000-0000-000000000001,0,3920.0,524
20,00000000-0000-0000-0000-000000000000,0,80360.0,1389
20,00000000-0000-0000-0000-000000000001,0,125440.0,1892
30,00000000-0000-0000-0000-000000000000,0,82320.0,1504
30,00000000-0000-0000-0000-000000000001,0,125440.0,2077
40,00000000-0000-0000-0000-000000000000,0,125440.0,1746
40,00000000-0000-0000-0000-000000000001,0,117600.0,1691
50,00000000-0000-0000-0000-000000000000,0,123480.0,2027
50,00000000-0000-0000-0000-000000000001,0,117600.0,1925
60,00000000-0000-0000-0000-000000000000,0,117600.0,1746
60,00000000-0000-0000-0000-000000000001,0,125440.0,1787
70,00000000-0000-0000-0000-000000000000,0,117600.0,2000
70,00000000-0000-0000-0000-000000000001,0,125440.0,2050
80,00000000-0000-0000-0000-000000000000,0,125440.0,1772
80,00000000-0000-0000-0000-000000000001,0,121520.0,1778
90,00000000-0000-0000-0000-000000000000,0,125440.0,2091
90,00000000-0000-0000-0000-000000000001,0,121520.0,2018
100,00000000-0000-0000-0000-000000000000,0,96040.0,1816
100,00000000-0000-0000-0000-000000000001,0,99960.0,1838
110,00000000-0000-0000-0000-000000000000,0,117600.0,1870
110,00000000-0000-0000-0000-000000000001,0,125440.0,2017
120,00000000-0000-0000-0000-000000000000,0,109760.0,1857
120,00000000-0000-0000-0000-000000000001,0,125440.0,1966
130,00000000-0000-0000-0000-000000000000,0,125440.0,1902
130,00000000-0000-0000-0000-000000000001,0,111720.0,1668
140,00000000-0000-0000-0000-000000000000,0,111720.0,2019
140,00000000-0000-0000-0000-000000000001,0,107800.0,1764
150,00000000-0000-0000-0000-000000000000,0,111720.0,1780
150,00000000-0000-0000-0000-000000000001,0,111720.0,1873
160,00000000-0000-0000-0000-000000000000,0,125440.0,1961
160,00000000-0000-0000-0000-000000000001,0,119560.0,1977
170,00000000-0000-0000-0000-000000000000,0,123480.0,1877
170,00000000-0000-0000-0000-000000000001,0,125440.0,1802
180,00000000-0000-0000-0000-000000000000,0,111720.0,2002
180,00000000-0000-0000-0000-000000000001,0,119560.0,2051
190,00000000-0000-0000-0000-000000000000,0,94080.0,1861
190,00000000-0000-0000-0000-000000000001,0,109760.0,1898
200,00000000-0000-0000-0000-000000000000,0,115640.0,1815
200,00000000-0000-0000-0000-000000000001,0,125440.0,2012
210,00000000-0000-0000-0000-000000000000,0,125440.0,1926
210,00000000-0000-0000-0000-000000000001,0,125440.0,1932
220,00000000-0000-0000-0000-000000000000,0,113680.0,1954
220,00000000-0000-0000-0000-000000000001,0,125440.0,1916
230,00000000-0000-0000-0000-000000000000,0,90160.0,1787
230,00000000-0000-0000-0000-000000000001,0,103880.0,2013
240,00000000-0000-0000-0000-000000000000,0,121520.0,1857
240,00000000-0000-0000-0000-000000000001,0,111720.0,1925
250,00000000-0000-0000-0000-000000000000,0,109760.0,1993
250,00000000-0000-0000-0000-000000000001,0,125440.0,1969
260,00000000-0000-0000-0000-000000000000,0,125440.0,1615
260,00000000-0000-0000-0000-000000000001,0,125440.0,1901
270,00000000-0000-0000-0000-000000000000,0,119560.0,1980
270,00000000-0000-0000-0000-000000000001,0,111720.0,2042
280,00000000-0000-0000-0000-000000000000,0,90160.0,1927
280,00000000-0000-0000-0000-000000000001,0,109760.0,1749
290,00000000-0000-0000-0000-000000000000,0,125440.0,1841
290,00000000-0000-0000-0000-000000000001,0,123480.0,2006
300,00000000-0000-0000-0000-000000000000,0,125440.0,1947
300,00000000-0000-0000-0000-000000000001,0,125440.0,1932
310,00000000-0000-0000-0000-000000000000,0,113680.0,1926
310,00000000-0000-0000-0000-000000000001,0,121520.0,1829
320,00000000-0000-0000-0000-000000000000,0,103880.0,1956
320,00000000-0000-0000-0000-000000000001,0,109760.0,2004
330,00000000-0000-0000-0000-000000000000,0,123480.0,1943
330,00000000-0000-0000-0000-000000000001,0,86240.0,1748
340,00000000-0000-0000-0000-000000000000,0,125440.0,2009
340,00000000-0000-0000-0000-000000000001,0,121520.0,1630
350,00000000-0000-0000-0000-000000000000,0,90160.0,1733
350,00000000-0000-0000-0000-000000000001,0,119560.0,1957
360,00000000-0000-0000-0000-000000000000,0,117600.0,1809
360,00000000-0000-0000-0000-000000000001,0,98000.0,1994
370,00000000-0000-0000-0000-000000000000,0,123480.0,1998
370,00000000-0000-0000-0000-000000000001,0,123480.0,1781
380,00000000-0000-0000-0000-000000000000,0,125440.0,2010
380,00000000-0000-0000-0000-000000000001,0,121520.0,2005
390,00000000-0000-0000-0000-000000000000,0,123480.0,1988
390,00000000-0000-0000-0000-000000000001,0,109760.0,1870
400,00000000-0000-0000-0000-000000000000,0,96040.0,2001
400,00000000-0000-0000-0000-000000000001,0,103880.0,1931
410,00000000-0000-0000-0000-000000000000,0,47040.0,1534
410,00000000-0000-0000-0000-000000000001,0,76440.0,1708
420,00000000-0000-0000-0000-000000000000,0,37240.0,1254
420,00000000-0000-0000-0000-000000000001,0,47040.0,1183
430,00000000-0000-0000-0000-000000000000,0,43120.0,1083
430,00000000-0000-0000-0000-000000000001,0,52920.0,1110
440,00000000-0000-0000-0000-000000000000,0,11760.0,1158
440,00000000-0000-0000-0000-000000000001,0,23520.0,1131
