Makespan (s),Workflow Response time (s)
967,983.0
962,1381.0
973,1323.0
965,1120.0
978,1269.0
973,1186.0
969,1090.0
967,1311.0
964,1248.0
989,1100.0
982,1402.0
962,1032.0
963,1089.0
962,1019.0
960,1136.0
979,1014.0
986,1390.0
977,1409.0
980,981.0
975,1316.0
978,1059.0
967,1228.0
968,1127.0
964,1081.0
957,1352.0
963,1358.0
957,1203.0
964,965.0
956,1188.0
968,1161.0
993,1155.0
992,1231.0
980,1265.0
984,1038.0
980,1089.0
975,1094.0
976,1126.0
971,1392.0
982,1117.0
968,1413.0
987,1246.0
972,1296.0
965,1376.0
969,1346.0
967,1415.0
968,1262.0
961,1198.0
959,960.0
957,1182.0
958,995.0
966,1339.0
962,1147.0
968,1140.0
959,960.0
964,1110.0
964,1077.0
960,1331.0
970,1165.0
966,1247.0
967,1308.0
958,1198.0
967,1078.0
1013,1273.0
990,1112.0
983,1322.0
992,993.0
974,1233.0
980,1212.0
977,1218.0
972,1358.0
976,977.0
992,1082.0
978,1028.0
982,1044.0
977,1355.0
990,1242.0
974,1261.0
982,1284.0
976,1286.0
998,1193.0
981,1264.0
993,1285.0
982,1085.0
969,1406.0
968,1092.0
967,1140.0
961,1329.0
959,1011.0
960,1401.0
961,1388.0
965,1011.0
957,975.0
958,1415.0
961,1177.0
958,1204.0
963,1325.0
1007,1019.0
1009,1031.0
995,1043.0
989,1264.0
983,1166.0
976,1201.0
981,1339.0
975,1220.0
970,1334.0
973,1044.0
982,1416.0
986,1286.0
996,1027.0
987,1129.0
982,1216.0
980,1312.0
975,1345.0
970,1062.0
971,987.0
976,1081.0
981,1440.0
985,1422.0
988,1025.0
972,1192.0
976,1123.0
978,1309.0
972,1273.0
971,1069.0
975,1236.0
966,1172.0
976,1260.0
970,1041.0
970,1209.0
965,1296.0
977,978.0
973,1405.0
968,1231.0
967,1263.0
978,1161.0
970,1349.0
957,1094.0
959,1323.0
957,1320.0
967,1171.0
964,1307.0
960,1135.0
969,1007.0
960,1192.0
964,1388.0
967,1146.0
967,968.0
958,1238.0
963,1342.0
967,1118.0
960,1008.0
963,1420.0
960,982.0
964,1357.0
969,970.0
960,974.0
957,1036.0
962,1286.0
964,1350.0
958,1036.0
1009,1027.0
1007,1448.0
1004,1052.0
1004,1354.0
998,1340.0
1001,1288.0
980,1403.0
977,1033.0
975,1437.0
976,1274.0
973,1201.0
967,1115.0
983,1309.0
982,1135.0
976,1062.0
972,1431.0
