Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,125440.0,522
10,00000000-0000-0000-0000-000000000001,0,125440.0,522
20,00000000-0000-0000-0000-000000000000,0,109760.0,1732
20,00000000-0000-0000-0000-000000000001,0,107800.0,1750
30,00000000-0000-0000-0000-000000000000,0,123480.0,2021
30,00000000-0000-0000-0000-000000000001,0,113680.0,2019
40,00000000-0000-0000-0000-000000000000,0,121520.0,1967
40,00000000-0000-0000-0000-000000000001,0,123480.0,2013
50,00000000-0000-0000-0000-000000000000,0,119560.0,2023
50,00000000-0000-0000-0000-000000000001,0,119560.0,2016
60,00000000-0000-0000-0000-000000000000,0,113680.0,2016
60,00000000-0000-0000-0000-000000000001,0,115640.0,2021
70,00000000-0000-0000-0000-000000000000,0,115640.0,2029
70,00000000-0000-0000-0000-000000000001,0,121520.0,2028
80,00000000-0000-0000-0000-000000000000,0,117600.0,2015
80,00000000-0000-0000-0000-000000000001,0,121520.0,2042
90,00000000-0000-0000-0000-000000000000,0,119560.0,2020
90,00000000-0000-0000-0000-000000000001,0,113680.0,2023
100,00000000-0000-0000-0000-000000000000,0,113680.0,2026
100,00000000-0000-0000-0000-000000000001,0,117600.0,2027
110,00000000-0000-0000-0000-000000000000,0,121520.0,2030
110,00000000-0000-0000-0000-000000000001,0,113680.0,2018
120,00000000-0000-0000-0000-000000000000,0,121520.0,2025
120,00000000-0000-0000-0000-000000000001,0,117600.0,2024
130,00000000-0000-0000-0000-000000000000,0,119560.0,2011
130,00000000-0000-0000-0000-000000000001,0,115640.0,2031
140,00000000-0000-0000-0000-000000000000,0,121520.0,2049
140,00000000-0000-0000-0000-000000000001,0,119560.0,2013
150,00000000-0000-0000-0000-000000000000,0,119560.0,2011
150,00000000-0000-0000-0000-000000000001,0,117600.0,2031
160,00000000-0000-0000-0000-000000000000,0,115640.0,2025
160,00000000-0000-0000-0000-000000000001,0,119560.0,2030
170,00000000-0000-0000-0000-000000000000,0,115640.0,2021
170,00000000-0000-0000-0000-000000000001,0,119560.0,2009
180,00000000-0000-0000-0000-000000000000,0,123480.0,2020
180,00000000-0000-0000-0000-000000000001,0,119560.0,2034
190,00000000-0000-0000-0000-000000000000,0,123480.0,2023
190,00000000-0000-0000-0000-000000000001,0,113680.0,2018
200,00000000-0000-0000-0000-000000000000,0,121520.0,2033
200,00000000-0000-0000-0000-000000000001,0,113680.0,2017
210,00000000-0000-0000-0000-000000000000,0,113680.0,2009
210,00000000-0000-0000-0000-000000000001,0,121520.0,2017
220,00000000-0000-0000-0000-000000000000,0,123480.0,2029
220,00000000-0000-0000-0000-000000000001,0,115640.0,2040
230,00000000-0000-0000-0000-000000000000,0,121520.0,2011
230,00000000-0000-0000-0000-000000000001,0,125440.0,2012
240,00000000-0000-0000-0000-000000000000,0,115640.0,2014
240,00000000-0000-0000-0000-000000000001,0,113680.0,2034
250,00000000-0000-0000-0000-000000000000,0,119560.0,2025
