Makespan (s),Workflow Response time (s)
1004,1022.0
998,1434.0
1012,1377.0
1002,1164.0
1015,1318.0
1011,1234.0
1005,1133.0
1002,1362.0
1003,1300.0
1027,1141.0
1019,1456.0
1000,1073.0
1000,1131.0
1001,1061.0
995,1181.0
1016,1053.0
1023,1445.0
1015,1465.0
1016,1017.0
1010,1367.0
1017,1101.0
1006,1277.0
1005,1171.0
999,1123.0
993,1405.0
1000,1412.0
997,1253.0
1001,1002.0
993,1235.0
1005,1207.0
1033,1202.0
1031,1280.0
1016,1313.0
1020,1077.0
1017,1130.0
1012,1137.0
1017,1175.0
1008,1446.0
1018,1159.0
1004,1467.0
1025,1294.0
1009,1348.0
1001,1430.0
1005,1398.0
1002,1468.0
1004,1310.0
1001,1249.0
997,998.0
995,1230.0
995,1034.0
1002,1390.0
999,1193.0
1005,1185.0
997,998.0
1003,1155.0
1002,1121.0
995,1382.0
1008,1212.0
1005,1300.0
1001,1357.0
996,1246.0
1006,1121.0
1052,1323.0
1026,1155.0
1016,1369.0
1031,1032.0
1013,1283.0
1020,1262.0
1013,1263.0
1008,1410.0
1013,1014.0
1029,1122.0
1016,1068.0
1019,1085.0
1015,1408.0
1029,1292.0
1011,1311.0
1019,1336.0
1013,1337.0
1038,1242.0
1019,1314.0
1030,1335.0
1021,1130.0
1003,1457.0
1006,1136.0
1003,1185.0
997,1381.0
997,1051.0
995,1454.0
997,1442.0
1003,1053.0
995,1015.0
994,1470.0
1000,1225.0
996,1252.0
999,1376.0
1043,1057.0
1045,1069.0
1033,1084.0
1025,1313.0
1021,1212.0
1013,1247.0
1018,1392.0
1015,1270.0
1008,1387.0
1011,1086.0
1018,1470.0
1024,1337.0
1034,1065.0
1026,1174.0
1024,1267.0
1016,1363.0
1012,1398.0
1008,1104.0
1009,1027.0
1014,1124.0
1016,1493.0
1022,1477.0
1025,1065.0
1010,1240.0
1013,1166.0
1014,1359.0
1009,1323.0
1008,1111.0
1013,1284.0
1006,1222.0
1012,1309.0
1008,1082.0
1010,1259.0
1000,1345.0
1014,1015.0
1009,1458.0
1007,1280.0
1004,1314.0
1016,1207.0
1007,1402.0
995,1137.0
996,1375.0
994,1372.0
1006,1220.0
1000,1360.0
1000,1183.0
1006,1046.0
998,1241.0
1002,1444.0
1007,1195.0
1004,1005.0
995,1289.0
998,1393.0
1003,1162.0
996,1048.0
1000,1475.0
997,1021.0
999,1409.0
1007,1008.0
997,1013.0
994,1077.0
999,1338.0
999,1402.0
995,1075.0
1046,1064.0
1044,1502.0
1041,1092.0
1038,1403.0
1035,1393.0
1037,1336.0
1016,1456.0
1015,1073.0
1012,1492.0
1012,1323.0
1012,1251.0
1004,1160.0
1021,1362.0
1019,1179.0
1014,1103.0
1008,1485.0
1014,1454.0
1014,1482.0
1018,1454.0
1008,1035.0
1000,1324.0
1041,1069.0
1028,1324.0
1016,1376.0
1022,1247.0
1018,1097.0
1018,1313.0
1012,1393.0
1028,1029.0
1009,1324.0
1027,1487.0
1022,1480.0
1015,1334.0
1015,1039.0
1027,1299.0
1010,1153.0
1024,1314.0
1004,1110.0
1008,1473.0
1021,1315.0
1014,1469.0
1024,1274.0
1029,1123.0
1007,1386.0
