Makespan (s),Workflow Response time (s)
33539,33540.0
33551,33552.0
33363,33364.0
33637,33641.0
33687,33689.0
31643,31659.0
33680,33690.0
33669,33670.0
33720,33724.0
28137,28138.0
33583,33618.0
33385,33386.0
33470,33514.0
32505,32602.0
32218,32219.0
27940,27950.0
33713,33714.0
27863,27942.0
27981,27982.0
28131,28132.0
34602,34603.0
30913,33650.0
30674,30685.0
33694,33696.0
33457,33704.0
31668,31669.0
33593,33594.0
28399,28400.0
32713,33691.0
31189,31297.0
33533,33534.0
33591,33611.0
33971,33972.0
33371,33372.0
33531,33694.0
28009,28013.0
33273,33349.0
33597,33598.0
31773,31786.0
31777,33696.0
33374,33692.0
33512,33574.0
33720,33721.0
33516,33616.0
33382,33383.0
28405,28412.0
33240,33348.0
29110,29179.0
30975,31003.0
29963,30028.0
32624,32625.0
29166,29168.0
33020,33139.0
33609,33610.0
28484,28491.0
33316,33367.0
33659,33695.0
33694,33698.0
33346,33347.0
33694,33695.0
33582,33586.0
33681,33697.0
33300,33693.0
33560,33573.0
33510,33594.0
31285,31286.0
28178,28179.0
33610,33611.0
27915,27923.0
27562,27572.0
33589,33590.0
33475,33693.0
29109,29113.0
30110,30111.0
30067,30083.0
32899,33691.0
31293,31294.0
30011,30012.0
33024,33035.0
33551,33694.0
33691,33692.0
33241,33242.0
32881,33628.0
33646,33694.0
33993,34175.0
33612,33613.0
30135,30176.0
30172,30173.0
33598,33599.0
33025,33600.0
33749,33762.0
33366,33367.0
33128,33622.0
31668,31669.0
33173,33698.0
29831,29832.0
33817,33818.0
33573,33622.0
28252,28320.0
32246,32247.0
33711,33712.0
33588,33589.0
33566,33693.0
33523,33592.0
33689,33690.0
33279,33691.0
33690,33695.0
33178,33693.0
33583,33612.0
33345,33352.0
33333,33334.0
33581,33693.0
33599,33600.0
33519,33520.0
31492,33695.0
33345,33350.0
31221,31223.0
33599,33600.0
33375,33376.0
33544,33691.0
33484,33697.0
33343,33344.0
31562,31563.0
32933,32934.0
32026,32030.0
33068,33694.0
33516,33526.0
33707,33708.0
33573,33590.0
33590,33690.0
29229,29274.0
33663,33664.0
33332,33654.0
31605,31609.0
33649,33650.0
33601,33602.0
33547,33558.0
30005,30009.0
33588,33589.0
33597,33694.0
30110,33695.0
33519,33694.0
33587,33627.0
30625,33607.0
33283,33365.0
33472,33694.0
28132,28133.0
30059,30107.0
29827,29834.0
33693,33695.0
33391,33622.0
33413,33641.0
33583,33593.0
29337,29344.0
32491,32492.0
33705,33706.0
33630,33632.0
33193,33328.0
33563,33583.0
28268,28489.0
33501,33622.0
34800,34801.0
33614,33645.0
33373,33375.0
31296,31300.0
27633,27637.0
30722,30723.0
32169,32179.0
33746,33994.0
33590,33594.0
29538,29539.0
28410,28411.0
33622,33643.0
33664,33707.0
28242,28243.0
33660,33691.0
32461,32492.0
27325,27376.0
33694,33695.0
33608,33639.0
33403,33529.0
33570,33652.0
32823,32824.0
33454,33527.0
32173,33633.0
33685,33689.0
33484,33696.0
31683,33611.0
33443,33696.0
33633,33635.0
33501,33696.0
33609,33610.0
33592,33628.0
33821,33822.0
33472,33634.0
33419,33675.0
30577,30578.0
33595,33596.0
33580,33584.0
33572,33600.0
