Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,48,94080.0,1501
10,00000000-0000-0000-0000-000000000001,48,94080.0,1511
20,00000000-0000-0000-0000-000000000000,61,119560.0,1991
20,00000000-0000-0000-0000-000000000001,54,105840.0,1899
30,00000000-0000-0000-0000-000000000000,64,125440.0,2061
30,00000000-0000-0000-0000-000000000001,63,123480.0,1979
40,00000000-0000-0000-0000-000000000000,54,105840.0,1997
40,00000000-0000-0000-0000-000000000001,62,121520.0,1976
50,00000000-0000-0000-0000-000000000000,60,117600.0,1938
50,00000000-0000-0000-0000-000000000001,61,119560.0,2011
60,00000000-0000-0000-0000-000000000000,52,101920.0,1967
60,00000000-0000-0000-0000-000000000001,64,125440.0,2052
70,00000000-0000-0000-0000-000000000000,52,101920.0,1823
70,00000000-0000-0000-0000-000000000001,62,121520.0,2055
80,00000000-0000-0000-0000-000000000000,53,103880.0,1800
80,00000000-0000-0000-0000-000000000001,63,123480.0,2037
90,00000000-0000-0000-0000-000000000000,59,115640.0,1982
90,00000000-0000-0000-0000-000000000001,61,119560.0,2035
100,00000000-0000-0000-0000-000000000000,60,117600.0,2015
100,00000000-0000-0000-0000-000000000001,56,109760.0,2019
110,00000000-0000-0000-0000-000000000000,62,121520.0,2054
110,00000000-0000-0000-0000-000000000001,63,123480.0,1965
120,00000000-0000-0000-0000-000000000000,62,121520.0,2045
120,00000000-0000-0000-0000-000000000001,56,109760.0,1989
130,00000000-0000-0000-0000-000000000000,64,125440.0,1983
130,00000000-0000-0000-0000-000000000001,64,125440.0,1987
140,00000000-0000-0000-0000-000000000000,63,123480.0,2053
140,00000000-0000-0000-0000-000000000001,58,113680.0,1976
150,00000000-0000-0000-0000-000000000000,64,125440.0,2064
150,00000000-0000-0000-0000-000000000001,59,115640.0,1907
160,00000000-0000-0000-0000-000000000000,62,121520.0,2061
160,00000000-0000-0000-0000-000000000001,63,123480.0,1902
170,00000000-0000-0000-0000-000000000000,61,119560.0,1988
170,00000000-0000-0000-0000-000000000001,64,125440.0,2072
