Time (s),Tasks #
2.0,4134
10.0,857
5895.0,1
661.0,3
0.001,1126
4.0,152
67.0,264
8.0,501
118.0,5
2922.0,1
4895.0,1
93.0,13
587.0,3
2553.0,2
120.0,8
6006.0,2
2573.0,2
12.0,79
71.0,10
3704.0,2
95.0,15
14.0,24
2461.0,1
667.0,5
85.0,9
881.0,4
1677.0,1
2755.0,3
5024.0,1
1083.0,7
110.0,10
2797.0,2
3040.0,1
959.0,5
144.0,5
2916.0,4
55.0,7
3693.0,2
65.0,18
6.0,76
5689.0,1
1802.0,1
57.0,16
2181.0,1
589.0,4
100.0,7
75.0,14
4881.0,1
3904.0,1
2655.0,2
669.0,5
3502.0,2
48.0,8
77.0,21
6255.0,1
128.0,3
3183.0,1
3012.0,2
967.0,4
6442.0,1
3059.0,4
373.0,1
46.0,8
3908.0,1
153.0,6
138.0,5
2944.0,4
2065.0,1
4700.0,1
2489.0,2
2738.0,4
159.0,5
465.0,2
89.0,10
2997.0,1
3018.0,1
2855.0,2
61.0,10
2736.0,2
79.0,21
4224.0,2
2557.0,2
2930.0,2
1553.0,1
69.0,17
1091.0,3
473.0,3
2126.0,1
861.0,5
2246.0,1
2693.0,2
2908.0,1
59.0,20
4138.0,1
126.0,8
389.0,1
502.0,3
3444.0,1
73.0,13
3332.0,1
597.0,6
481.0,5
155.0,5
4028.0,1
6134.0,1
3197.0,3
112.0,6
2614.0,3
2642.0,1
83.0,11
36.0,416
500.0,2
624.0,2
914.0,6
1220.0,2
969.0,4
767.0,7
1381.0,5
1179.0,3
738.0,4
34.0,258
867.0,3
485.0,4
955.0,7
620.0,2
1040.0,5
773.0,4
1336.0,3
1038.0,7
1226.0,7
1165.0,2
820.0,6
1140.0,3
640.0,4
530.0,6
769.0,5
1391.0,5
920.0,6
1275.0,2
1061.0,7
1212.0,4
900.0,3
512.0,4
1036.0,4
608.0,2
1004.0,2
1089.0,4
489.0,7
1373.0,2
20.0,3047
26.0,665
22.0,49
97.0,8
1936.0,2
5420.0,1
2589.0,2
614.0,2
848.0,6
1075.0,4
1246.0,7
1175.0,2
753.0,6
1095.0,4
873.0,4
1236.0,2
569.0,4
951.0,5
32.0,8
1357.0,2
1026.0,4
687.0,4
28.0,33
24.0,10
18.0,4
2224.0,1
491.0,4
2895.0,1
81.0,9
136.0,7
4963.0,1
1363.0,4
712.0,3
38.0,23
928.0,5
1032.0,7
904.0,5
657.0,1
1361.0,4
1279.0,3
736.0,4
469.0,3
1122.0,5
1073.0,4
834.0,7
3508.0,1
2967.0,2
938.0,1
6887.0,1
1724.0,1
6940.0,1
781.0,4
3885.0,1
5600.0,1
151.0,6
2932.0,2
593.0,5
2936.0,1
1446.0,1
2724.0,1
6508.0,1
1046.0,3
3165.0,1
134.0,7
2004.0,1
2624.0,1
930.0,3
3044.0,2
2638.0,1
2363.0,1
461.0,1
16.0,6
3640.0,3
1030.0,3
4804.0,1
104.0,8
2548.0,2
3730.0,1
3106.0,2
506.0,7
3071.0,2
63.0,18
4767.0,1
1087.0,5
2865.0,3
859.0,2
1110.0,5
548.0,3
1187.0,1
1369.0,2
957.0,8
471.0,2
479.0,5
963.0,2
1359.0,1
1034.0,2
1259.0,4
806.0,5
800.0,5
836.0,3
1385.0,6
681.0,9
830.0,5
808.0,1
744.0,4
842.0,5
1048.0,6
1273.0,5
1285.0,3
1232.0,6
1214.0,4
865.0,8
816.0,4
910.0,6
840.0,3
1269.0,6
1251.0,3
1132.0,3
1106.0,5
673.0,4
1081.0,3
1206.0,3
553.0,3
612.0,8
504.0,4
1148.0,3
804.0,5
983.0,4
1044.0,4
795.0,5
1144.0,5
1124.0,4
1159.0,2
1277.0,4
1365.0,2
648.0,5
636.0,5
826.0,7
993.0,4
1191.0,5
1395.0,3
493.0,2
1134.0,5
1138.0,3
789.0,4
765.0,3
1289.0,3
1342.0,2
6446.0,1
3412.0,1
2485.0,3
106.0,10
514.0,6
2910.0,4
3110.0,1
385.0,1
6477.0,1
2951.0,1
6512.0,1
1097.0,3
3053.0,1
142.0,2
3277.0,1
3871.0,1
1604.0,1
4493.0,1
2583.0,1
785.0,6
2604.0,2
695.0,6
2926.0,2
4179.0,1
3142.0,3
3132.0,1
2861.0,4
124.0,5
5536.0,1
3128.0,1
2828.0,1
1969.0,1
6451.0,1
889.0,4
577.0,2
655.0,7
732.0,5
1287.0,2
1332.0,6
518.0,3
918.0,8
1065.0,4
822.0,1
846.0,2
787.0,2
940.0,5
857.0,7
600.0,3
1112.0,4
1183.0,3
1334.0,5
1367.0,7
1351.0,3
989.0,5
610.0,2
700.0,4
1000.0,4
1355.0,3
1193.0,2
1022.0,2
495.0,3
1018.0,4
1016.0,7
702.0,5
979.0,6
526.0,4
1010.0,3
1108.0,6
1314.0,4
844.0,8
1014.0,5
1071.0,2
893.0,6
1104.0,4
936.0,8
567.0,8
971.0,5
697.0,4
724.0,2
1116.0,3
1397.0,5
1024.0,5
1375.0,3
1316.0,6
838.0,1
693.0,6
742.0,6
1171.0,1
757.0,5
1128.0,4
1393.0,3
977.0,3
5387.0,1
934.0,3
1914.0,1
3463.0,1
2730.0,1
3675.0,1
6926.0,2
6873.0,1
814.0,3
616.0,5
3261.0,2
2463.0,1
3155.0,3
4040.0,1
87.0,7
102.0,1
2155.0,1
922.0,4
2885.0,2
2912.0,1
2561.0,1
3783.0,1
2883.0,1
4836.0,1
483.0,8
3475.0,1
5006.0,1
4361.0,1
3004.0,2
2334.0,1
140.0,5
7179.0,1
2446.0,1
2867.0,3
871.0,6
1257.0,8
557.0,5
1304.0,4
1340.0,3
997.0,1
793.0,2
575.0,3
710.0,3
706.0,4
855.0,4
1240.0,3
604.0,5
1218.0,4
897.0,5
1348.0,5
1306.0,2
1389.0,4
932.0,6
516.0,7
912.0,3
916.0,2
1181.0,2
708.0,4
1020.0,6
2765.0,2
2506.0,2
157.0,2
6904.0,1
148.0,2
2906.0,1
2993.0,2
3844.0,1
5424.0,1
2695.0,1
44.0,3
1975.0,2
2712.0,3
448.0,1
1683.0,1
116.0,7
4157.0,1
3212.0,1
3455.0,1
5132.0,1
728.0,5
5104.0,1
2871.0,5
91.0,7
2857.0,1
4724.0,1
3067.0,1
2853.0,3
3697.0,1
3614.0,2
534.0,2
6432.0,1
3587.0,1
877.0,2
2773.0,2
2344.0,1
5851.0,1
675.0,7
3863.0,1
3685.0,1
2673.0,1
3838.0,1
626.0,6
3357.0,1
2189.0,1
7114.0,1
2681.0,2
551.0,4
2793.0,1
3322.0,1
1057.0,4
2981.0,1
6351.0,1
3085.0,2
1451.0,1
6814.0,1
759.0,5
3075.0,1
3846.0,2
2026.0,1
2504.0,1
2424.0,1
5367.0,1
663.0,6
618.0,3
797.0,9
1328.0,5
559.0,9
1255.0,4
1326.0,5
926.0,8
777.0,8
1228.0,2
802.0,4
718.0,5
1189.0,2
1051.0,3
542.0,6
1208.0,2
689.0,4
1271.0,2
532.0,5
1234.0,5
755.0,5
948.0,3
1163.0,4
2708.0,1
51.0,6
3748.0,1
771.0,3
2873.0,2
2761.0,2
1495.0,1
630.0,3
1063.0,5
555.0,3
791.0,8
4508.0,1
4461.0,1
579.0,3
2881.0,1
2763.0,1
2259.0,1
6587.0,1
3032.0,3
5618.0,1
2042.0,1
2646.0,2
2879.0,3
2675.0,1
4720.0,1
730.0,4
4738.0,2
2889.0,2
2718.0,2
3048.0,1
2495.0,1
3895.0,1
908.0,6
391.0,1
130.0,5
3995.0,2
40.0,3
4514.0,2
2720.0,3
4108.0,1
5214.0,1
3253.0,1
3026.0,1
2265.0,1
2846.0,4
2775.0,1
167.0,3
5685.0,1
2373.0,1
400.0,1
2985.0,1
2995.0,4
2691.0,2
1055.0,3
6471.0,1
3391.0,1
2810.0,1
6371.0,1
5504.0,1
3924.0,1
108.0,6
2959.0,1
5348.0,1
3718.0,1
3222.0,1
2524.0,2
4536.0,1
2808.0,3
3757.0,1
3493.0,1
2851.0,1
2722.0,2
2740.0,2
1387.0,5
3095.0,1
4024.0,1
1822.0,1
3344.0,1
906.0,2
434.0,1
2630.0,1
2948.0,2
1910.0,2
2093.0,1
763.0,4
2804.0,2
7046.0,1
3477.0,1
1824.0,1
2073.0,1
2787.0,1
42.0,4
5879.0,1
3518.0,2
2877.0,3
487.0,3
4495.0,1
3920.0,1
163.0,3
2465.0,1
2769.0,3
544.0,6
6706.0,1
3030.0,1
748.0,4
4277.0,1
2848.0,1
2369.0,1
3102.0,2
1708.0,1
520.0,3
4697.0,1
1644.0,1
4953.0,2
2577.0,1
5140.0,1
3136.0,1
5906.0,1
4646.0,1
1940.0,1
4069.0,2
463.0,2
3175.0,1
4330.0,1
4348.0,1
2514.0,2
3224.0,1
3875.0,1
2395.0,1
2989.0,1
3051.0,1
3812.0,1
2555.0,1
583.0,6
1404.0,3
1261.0,6
740.0,5
638.0,5
714.0,5
1130.0,5
1248.0,5
581.0,6
2697.0,1
53.0,3
7142.0,2
1575.0,1
5175.0,1
1438.0,1
2963.0,1
4367.0,1
2422.0,2
3318.0,1
3328.0,1
3820.0,1
4197.0,1
3934.0,1
169.0,1
965.0,3
1161.0,3
1053.0,3
1067.0,5
5765.0,1
3787.0,1
751.0,7
6361.0,1
3800.0,1
2832.0,3
634.0,5
642.0,4
1253.0,5
1200.0,4
3687.0,1
3263.0,1
2269.0,1
2822.0,3
5402.0,1
2836.0,2
3928.0,1
5322.0,1
3061.0,1
3185.0,1
2306.0,1
1079.0,1
1310.0,4
875.0,4
1400.0,3
1204.0,4
895.0,4
632.0,4
497.0,3
585.0,4
1695.0,1
2753.0,2
6189.0,1
395.0,1
2842.0,1
5836.0,1
2153.0,1
1455.0,1
571.0,3
944.0,4
2961.0,3
5312.0,1
2048.0,1
4202.0,1
7038.0,1
1865.0,1
1230.0,5
1293.0,3
734.0,2
985.0,2
783.0,1
1002.0,5
646.0,6
720.0,2
2551.0,1
3983.0,1
3057.0,1
5210.0,1
2969.0,1
2651.0,2
132.0,2
6467.0,1
6646.0,1
3973.0,4
408.0,1
453.0,1
2134.0,1
4426.0,1
3097.0,1
3065.0,3
2840.0,2
3093.0,1
2987.0,1
3159.0,1
3000.0,2
4124.0,1
5608.0,1
2869.0,2
2659.0,1
5946.0,1
1953.0,1
2534.0,1
4183.0,2
4726.0,1
122.0,2
5169.0,1
2536.0,1
3189.0,1
6248.0,1
2802.0,2
3708.0,1
1806.0,1
561.0,3
3732.0,2
3565.0,1
1924.0,1
4387.0,1
1377.0,1
5846.0,1
2244.0,1
420.0,1
2136.0,1
3873.0,1
4087.0,1
4875.0,1
510.0,4
5967.0,1
2859.0,2
3993.0,1
3795.0,1
5163.0,1
2875.0,1
1069.0,3
2626.0,1
3628.0,1
3593.0,1
4165.0,1
2779.0,2
3191.0,1
3020.0,1
1889.0,1
6267.0,1
3257.0,1
3014.0,1
3638.0,1
2953.0,1
2904.0,1
2689.0,2
3579.0,1
5477.0,1
114.0,2
3036.0,1
5910.0,1
161.0,2
2734.0,1
1826.0,1
5844.0,1
2559.0,2
2634.0,1
3467.0,1
444.0,1
1942.0,1
4712.0,1
424.0,1
5314.0,1
3900.0,1
6324.0,1
5918.0,1
1102.0,1
3330.0,1
2940.0,1
165.0,2
5865.0,1
6412.0,1
3089.0,1
2146.0,1
3134.0,1
6265.0,1
2591.0,1
1785.0,1
436.0,1
3038.0,2
5451.0,1
2448.0,1
2091.0,1
1812.0,1
2704.0,1
2991.0,1
885.0,6
375.0,1
563.0,6
3359.0,1
4818.0,1
4451.0,1
3208.0,2
2934.0,1
1008.0,3
3283.0,1
1636.0,1
2600.0,1
3087.0,1
3771.0,1
4263.0,1
1804.0,1
4648.0,1
2622.0,1
5179.0,1
6022.0,1
3453.0,1
3377.0,1
7144.0,1
3428.0,1
2195.0,1
3244.0,1
1300.0,1
651.0,2
1402.0,2
991.0,3
622.0,2
851.0,4
1406.0,3
775.0,3
995.0,5
1371.0,4
595.0,3
1151.0,3
869.0,2
1042.0,5
1012.0,2
540.0,6
1155.0,2
685.0,6
1146.0,2
602.0,5
1167.0,4
546.0,2
981.0,1
1324.0,4
902.0,5
746.0,5
1093.0,3
863.0,1
628.0,3
973.0,4
818.0,6
538.0,1
1202.0,3
891.0,2
653.0,4
722.0,2
1318.0,2
1312.0,2
1283.0,2
883.0,5
1197.0,3
1320.0,2
1263.0,3
1308.0,2
665.0,2
1302.0,5
1242.0,2
961.0,2
779.0,4
975.0,4
1114.0,2
644.0,2
477.0,4
5593.0,1
381.0,1
810.0,2
824.0,3
1100.0,4
1077.0,6
1281.0,1
1379.0,2
671.0,3
704.0,3
1291.0,1
573.0,2
2602.0,1
6628.0,1
2238.0,1
4644.0,1
6987.0,1
1569.0,2
1779.0,1
5124.0,1
1757.0,1
1330.0,2
1322.0,2
528.0,4
1169.0,4
1120.0,4
5979.0,1
2902.0,1
4010.0,1
4820.0,1
3230.0,1
679.0,1
3028.0,1
1777.0,1
987.0,4
2687.0,1
2830.0,1
3408.0,1
3173.0,1
146.0,1
3055.0,1
3218.0,1
5671.0,1
2418.0,1
716.0,2
1006.0,1
1244.0,3
853.0,1
2665.0,1
4006.0,1
5732.0,1
4548.0,1
6059.0,1
1210.0,2
1136.0,2
726.0,3
1353.0,1
1295.0,1
6393.0,1
4038.0,1
2512.0,1
2593.0,1
3281.0,1
1338.0,1
536.0,4
691.0,2
508.0,3
812.0,2
522.0,1
1267.0,2
1118.0,1
1085.0,2
1408.0,1
1173.0,1
3034.0,1
3571.0,1
2075.0,1
1734.0,1
7042.0,1
761.0,2
5142.0,1
3767.0,1
2479.0,1
2863.0,1
5048.0,1
4042.0,1
1346.0,1
659.0,2
1297.0,1
3424.0,1
4626.0,1
5030.0,1
3297.0,1
832.0,1
2965.0,1
3816.0,1
6065.0,1
3434.0,1
6291.0,1
5867.0,1
2979.0,1
1900.0,1
4924.0,1
430.0,1
4518.0,1
946.0,1
3002.0,1
2606.0,1
5948.0,1
2795.0,1
4669.0,1
2177.0,1
2575.0,1
3251.0,1
4257.0,1
5820.0,1
2893.0,1
367.0,1
6851.0,1
3214.0,1
3379.0,1
3340.0,1
4883.0,1
924.0,1
3024.0,1
828.0,2
677.0,1
1195.0,1
1344.0,1
1222.0,1
1185.0,2
1153.0,1
383.0,1
683.0,1
7032.0,1
5534.0,1
1491.0,1
1712.0,1
4706.0,1
4055.0,2
1714.0,1
4369.0,1
5644.0,1
2455.0,1
5622.0,1
1618.0,1
2800.0,1
2844.0,1
2816.0,1
3538.0,1
5724.0,1
3371.0,1
1665.0,1
6936.0,1
3832.0,1
2587.0,1
4991.0,1
2408.0,1
5226.0,1
2304.0,1
3665.0,1
1059.0,1
565.0,1
591.0,1
3144.0,1
2318.0,1
414.0,1
2783.0,1
6367.0,1
4359.0,1
6100.0,1
3100.0,1
4140.0,1
5632.0,1
2295.0,1
3316.0,1
1930.0,1
2938.0,1
369.0,1
4916.0,1
3104.0,1
3961.0,1
2314.0,1
3926.0,1
3510.0,1
5391.0,1
