Makespan (s),Workflow Response time (s)
18420,18426.0
18420,18457.0
18440,18441.0
18445,18446.0
14393,14394.0
18447,18448.0
13950,13951.0
18438,18441.0
18422,18423.0
13855,13922.0
18575,18576.0
18456,18457.0
18527,18574.0
18428,18456.0
19489,19490.0
18446,18447.0
18365,18444.0
18439,18441.0
19272,19298.0
13954,13958.0
18337,18440.0
18825,18826.0
18407,18410.0
13889,13933.0
18349,18420.0
18449,18450.0
18417,18455.0
18442,18443.0
18427,18437.0
18425,18458.0
18397,18438.0
14000,14001.0
18443,18444.0
18447,18448.0
18428,18429.0
14106,14119.0
18429,18467.0
18485,18486.0
14087,14122.0
18458,18459.0
18445,18446.0
18446,18447.0
18249,18425.0
18401,18438.0
18434,18435.0
18238,18408.0
13943,13980.0
18428,18429.0
18430,18437.0
13850,13851.0
13688,13955.0
18458,18459.0
14826,14827.0
14948,14949.0
18443,18444.0
18442,18443.0
18408,18461.0
13855,13859.0
13843,13847.0
18466,18467.0
18448,18449.0
18426,18459.0
13911,13912.0
18453,18454.0
18261,18448.0
14001,14002.0
19196,19197.0
18346,18428.0
18459,18460.0
18440,18445.0
18382,18420.0
18442,18443.0
18421,18422.0
18447,18448.0
17917,18001.0
18440,18441.0
18462,18463.0
18409,18448.0
18325,18417.0
14103,14106.0
18466,18467.0
18419,18423.0
18446,18447.0
19234,19235.0
13943,13944.0
14494,14495.0
18443,18444.0
18444,18445.0
18287,18412.0
18316,18421.0
18422,18457.0
18452,18455.0
19511,19512.0
18479,18480.0
18432,18436.0
18405,18409.0
18444,18449.0
18426,18427.0
13854,13856.0
16495,16496.0
18444,18445.0
13920,13921.0
18445,18446.0
18424,18427.0
13908,13909.0
18395,18433.0
15409,15410.0
18410,18411.0
18406,18407.0
18428,18429.0
18430,18457.0
13975,13976.0
18422,18457.0
14071,14109.0
18366,18404.0
14157,14195.0
14053,14124.0
19156,19157.0
18321,18417.0
19215,19216.0
18350,18408.0
16573,16574.0
18427,18431.0
13916,13917.0
13929,14016.0
18302,18405.0
14191,14195.0
18338,18400.0
18405,18407.0
14038,14039.0
14194,14195.0
18319,18459.0
18358,18461.0
18457,18458.0
15463,15557.0
14943,14944.0
16578,16642.0
14046,14087.0
18391,18440.0
18461,18462.0
18404,18438.0
18442,18443.0
18436,18437.0
18454,18455.0
18448,18449.0
18446,18447.0
18401,18402.0
18453,18458.0
13857,13858.0
18430,18466.0
13952,14109.0
19233,19325.0
13855,13894.0
18397,18401.0
18407,18408.0
14360,14395.0
18433,18434.0
19634,19642.0
18431,18434.0
18448,18449.0
19024,19025.0
18464,18467.0
13863,13900.0
18443,18444.0
18430,18431.0
14080,14119.0
16457,16458.0
18423,18424.0
14743,14816.0
13920,13980.0
15323,15325.0
18444,18445.0
18442,18443.0
18397,18398.0
19519,19520.0
18347,18424.0
18444,18445.0
18302,18401.0
18466,18467.0
18244,18459.0
18445,18446.0
18428,18459.0
18878,18879.0
18454,18455.0
18458,18465.0
18966,18967.0
18435,18439.0
18428,18456.0
18441,18442.0
14119,14194.0
13887,13949.0
14039,14040.0
18437,18438.0
18395,18405.0
18456,18457.0
14191,14194.0
18438,18439.0
18368,18404.0
18438,18439.0
18478,18479.0
