No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
0,125440.0,248905
0,125440.0,249329
0,120960.0,249054
0,120960.0,248857
0,125440.0,251691
0,125440.0,251977
0,120960.0,251978
0,120960.0,251987
0,125440.0,251935
0,125440.0,251953
0,120960.0,251722
0,120960.0,251927
0,125440.0,251862
0,125440.0,251871
0,120960.0,251597
0,120960.0,251794
0,125440.0,251698
0,125440.0,251604
0,120960.0,251730
0,120960.0,251640
0,125440.0,251609
0,125440.0,251431
0,120960.0,251660
0,120960.0,251633
0,125440.0,251350
0,123480.0,251596
0,120960.0,251407
0,118800.0,251423
0,125440.0,251387
0,123480.0,251300
0,120960.0,251479
0,120960.0,251204
0,125440.0,251028
0,125440.0,250840
0,120960.0,250715
0,120960.0,250430
0,125440.0,251730
0,125440.0,251801
0,120960.0,251761
0,120960.0,251793
0,125440.0,251713
0,125440.0,251749
0,120960.0,251774
0,120960.0,251636
0,125440.0,250708
0,125440.0,250432
0,118800.0,250639
0,120960.0,250673
0,125440.0,251601
0,125440.0,251804
0,120960.0,251835
0,120960.0,251817
0,125440.0,251701
0,125440.0,251863
0,120960.0,251858
0,120960.0,251709
0,125440.0,251884
0,125440.0,251904
0,120960.0,251648
0,120960.0,251635
0,19600.0,198116
0,17640.0,196784
0,6480.0,183800
0,28080.0,192505
