Time (s),Tasks #
2.0,897
7.0,486
0.001,541
1.0,963
2331.0,1
4018.0,1
61.0,58
87.0,9
728.0,7
77.0,8
6.0,31
3144.0,1
8.0,349
1255.0,8
33.0,547
10.0,740
1140.0,11
9.0,976
685.0,10
612.0,11
959.0,13
34.0,314
594.0,6
536.0,4
1006.0,4
875.0,7
1061.0,8
36.0,566
1408.0,1
31.0,282
437.0,5
816.0,9
6828.0,1
67.0,61
14.0,7
561.0,12
90.0,2
2832.0,2
3744.0,1
3726.0,1
138.0,2
987.0,7
2600.0,1
3002.0,1
12.0,18
3.0,35
6740.0,1
2512.0,4
2692.0,2
5691.0,1
1085.0,6
2657.0,1
102.0,1
451.0,3
93.0,3
110.0,4
72.0,2
1453.0,1
725.0,3
1022.0,6
425.0,3
459.0,7
806.0,9
722.0,13
661.0,6
1118.0,15
872.0,6
996.0,9
651.0,9
1209.0,8
898.0,2
510.0,6
1224.0,5
885.0,10
3020.0,1
64.0,5
940.0,7
718.0,9
59.0,6
85.0,5
3214.0,2
70.0,4
167.0,2
50.0,4
583.0,9
2675.0,1
2651.0,3
3305.0,1
4193.0,1
2468.0,1
622.0,10
5937.0,1
1633.0,1
4.0,48
73.0,4
161.0,1
5595.0,1
1946.0,1
48.0,4
2788.0,1
1864.0,1
5524.0,1
51.0,4
3387.0,1
2910.0,2
522.0,7
855.0,11
2688.0,1
2685.0,1
2971.0,1
435.0,3
2555.0,1
65.0,2
24.0,251
5.0,23
18.0,1014
20.0,1070
26.0,236
94.0,1
2989.0,2
891.0,6
11.0,26
2168.0,1
3157.0,1
501.0,1
520.0,9
655.0,8
1242.0,7
675.0,7
732.0,2
979.0,11
822.0,11
695.0,6
1075.0,8
491.0,1
587.0,10
1161.0,11
1155.0,4
767.0,7
642.0,5
720.0,8
614.0,7
983.0,10
673.0,3
866.0,3
757.0,11
868.0,5
914.0,8
1081.0,16
671.0,5
564.0,7
985.0,10
742.0,10
1126.0,8
814.0,9
479.0,12
644.0,7
820.0,8
993.0,5
775.0,15
779.0,7
824.0,9
1146.0,12
444.0,7
953.0,10
716.0,10
35.0,26
1227.0,5
808.0,8
861.0,11
883.0,7
1108.0,7
1344.0,3
892.0,5
493.0,5
1289.0,5
1279.0,8
589.0,6
989.0,4
1357.0,5
1012.0,9
753.0,13
657.0,4
918.0,12
706.0,5
653.0,6
783.0,11
1207.0,5
512.0,7
1167.0,6
557.0,10
38.0,14
635.0,3
648.0,10
620.0,10
977.0,5
629.0,4
930.0,6
662.0,4
1266.0,2
606.0,2
905.0,5
1007.0,4
550.0,4
596.0,8
1046.0,8
551.0,14
1165.0,2
737.0,4
838.0,8
879.0,7
812.0,4
925.0,3
32.0,3
842.0,8
1044.0,10
1120.0,6
942.0,8
1229.0,3
1203.0,4
1090.0,5
1196.0,7
729.0,5
677.0,6
509.0,7
1174.0,9
529.0,5
1211.0,5
900.0,5
1306.0,5
1185.0,9
1326.0,2
904.0,7
951.0,5
1026.0,7
438.0,3
628.0,4
777.0,14
1138.0,4
1318.0,7
487.0,8
911.0,7
998.0,6
781.0,11
961.0,7
750.0,8
950.0,6
967.0,6
709.0,4
540.0,8
924.0,11
759.0,5
724.0,7
692.0,3
669.0,6
751.0,10
804.0,7
1336.0,4
1171.0,3
659.0,11
468.0,2
1087.0,6
867.0,5
1034.0,3
603.0,5
1287.0,3
734.0,4
579.0,6
826.0,5
1042.0,10
827.0,9
969.0,8
1285.0,4
1320.0,7
857.0,9
877.0,10
937.0,3
1105.0,5
881.0,13
1135.0,4
670.0,8
1179.0,10
1089.0,3
683.0,11
1253.0,14
748.0,7
581.0,4
794.0,3
524.0,4
1095.0,4
744.0,11
912.0,14
525.0,4
567.0,5
518.0,10
1111.0,4
562.0,2
1210.0,6
528.0,6
1226.0,7
811.0,5
455.0,6
707.0,3
689.0,3
514.0,12
681.0,8
909.0,5
1098.0,5
1277.0,5
573.0,1
711.0,7
830.0,7
1259.0,6
1079.0,12
1379.0,5
1268.0,6
727.0,4
663.0,4
901.0,6
836.0,7
795.0,3
888.0,2
1107.0,4
1166.0,4
1201.0,1
1187.0,9
1122.0,11
1035.0,4
853.0,12
1235.0,3
1037.0,6
1261.0,6
1225.0,5
1038.0,3
546.0,7
1846.0,1
92.0,6
2577.0,1
414.0,1
148.0,1
1502.0,1
79.0,5
2485.0,2
788.0,3
2846.0,1
150.0,1
2900.0,4
5851.0,1
3010.0,1
22.0,22
25.0,12
28.0,9
16.0,3
887.0,9
1181.0,6
938.0,10
595.0,4
796.0,7
1059.0,10
848.0,8
928.0,4
916.0,7
1069.0,6
1150.0,3
973.0,6
948.0,10
1106.0,3
542.0,8
592.0,7
