Makespan (s),Workflow Response time (s)
7733,7734.0
3813,3814.0
10363,10364.0
10873,10874.0
3764,3765.0
10580,10581.0
6455,6456.0
1808,1809.0
6866,6867.0
4184,4185.0
4948,4949.0
4691,4692.0
4646,4647.0
1810,1811.0
4782,4783.0
10228,10229.0
1804,1805.0
1830,1831.0
4609,4610.0
4096,4097.0
1800,1804.0
4724,4725.0
1813,1814.0
3772,3773.0
3788,3789.0
7935,7936.0
4033,4034.0
10247,10248.0
10522,10523.0
1804,1805.0
3791,3792.0
3790,3791.0
10175,10176.0
10126,10127.0
9872,9873.0
3791,3792.0
4231,4232.0
2119,2120.0
3758,3759.0
1828,1829.0
10416,10417.0
10167,10168.0
4800,4810.0
1803,1804.0
7722,7723.0
1798,1806.0
3921,3922.0
4587,4588.0
3781,3782.0
3769,3770.0
3731,3769.0
4635,4636.0
3807,3808.0
3776,3777.0
7653,7654.0
8243,8244.0
4093,4094.0
3472,3473.0
3330,3331.0
4882,4883.0
10965,10966.0
1809,1810.0
3780,3781.0
1807,1808.0
1776,1804.0
3749,3750.0
4671,4672.0
4622,4623.0
4930,4931.0
10138,10139.0
1802,1803.0
10219,10220.0
1807,1808.0
1808,1809.0
3823,3825.0
9108,9109.0
1876,1877.0
1803,1804.0
3774,3776.0
3786,3787.0
4249,4250.0
3835,3836.0
11118,11119.0
4741,4742.0
3579,3580.0
4135,4136.0
8592,8593.0
3910,3911.0
4517,4521.0
1799,1803.0
3887,3888.0
1806,1807.0
5038,5039.0
4417,4418.0
9070,9071.0
3789,3790.0
1803,1804.0
3971,3972.0
3318,3319.0
3785,3786.0
10673,10674.0
3755,3756.0
10423,10424.0
8431,8432.0
3780,3781.0
10472,10473.0
3882,3883.0
1805,1806.0
7610,7611.0
7315,7316.0
1805,1806.0
6627,6628.0
1802,1803.0
3793,3794.0
1804,1805.0
3768,3769.0
4268,4269.0
4890,4891.0
1798,1802.0
4970,4971.0
1801,1802.0
7590,7591.0
7163,7164.0
3581,3582.0
4275,4277.0
1798,1802.0
3780,3781.0
9397,9398.0
1805,1806.0
3768,3769.0
3780,3781.0
1805,1809.0
1818,1822.0
4969,4970.0
4282,4284.0
3781,3782.0
4248,4249.0
3775,3776.0
1806,1807.0
4447,4448.0
7555,7556.0
6753,6754.0
9421,9422.0
3916,3917.0
9892,9893.0
9438,9439.0
1802,1803.0
1807,1808.0
3772,3773.0
4605,4606.0
3781,3788.0
4667,4669.0
3778,3779.0
1802,1803.0
1805,1806.0
3792,3793.0
8246,8247.0
4978,4979.0
7918,7919.0
8187,8188.0
5046,5047.0
4413,4414.0
3790,3791.0
10170,10171.0
1803,1804.0
3791,3792.0
3781,3782.0
3793,3794.0
7592,7593.0
3777,3778.0
3870,3871.0
7726,7727.0
7537,7538.0
3789,3790.0
5103,5104.0
7407,7408.0
10018,10019.0
3915,3919.0
4516,4517.0
1776,1810.0
9683,9684.0
1807,1808.0
4439,4440.0
3958,3959.0
4567,4568.0
4357,4358.0
8678,8679.0
4243,4244.0
7803,7804.0
3907,3908.0
3782,3783.0
3768,3769.0
7753,7754.0
1800,1801.0
4640,4641.0
4459,4460.0
1802,1803.0
1802,1803.0
9324,9325.0
2067,2068.0
