No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
0,125440.0,249038
0,125440.0,248796
0,125440.0,249010
0,125440.0,249629
0,125440.0,251977
0,125440.0,251973
0,125440.0,251970
0,125440.0,251971
0,125440.0,251905
0,125440.0,251941
0,125440.0,251943
0,125440.0,251840
0,125440.0,251864
0,125440.0,251783
0,125440.0,251786
0,125440.0,251886
0,125440.0,251505
0,125440.0,251442
0,125440.0,251714
0,125440.0,251757
0,125440.0,251612
0,125440.0,251357
0,123480.0,251335
0,125440.0,251384
0,123480.0,251190
0,123480.0,251532
0,123480.0,251378
0,125440.0,251492
0,125440.0,251366
0,125440.0,251541
0,125440.0,251354
0,123480.0,251323
0,125440.0,251056
0,125440.0,250743
0,125440.0,250713
0,125440.0,250859
0,125440.0,251711
0,125440.0,251683
0,125440.0,251793
0,125440.0,251676
0,125440.0,251341
0,125440.0,251364
0,125440.0,251477
0,125440.0,250687
0,125440.0,250946
0,125440.0,251169
0,125440.0,250910
0,125440.0,250783
0,125440.0,251898
0,125440.0,251913
0,125440.0,251914
0,125440.0,251895
0,125440.0,251880
0,125440.0,251775
0,125440.0,251804
0,125440.0,251848
0,125440.0,251833
0,123480.0,251787
0,125440.0,251681
0,125440.0,251839
0,0.0,133122
0,7840.0,160777
0,0.0,136528
0,0.0,139909
