,Half scale,Double scale,Base scale,Policy
0,62997.0,62997.0,62997.0,Max-Min
1,62997.0,62997.0,62997.0,Max-Min
2,62997.0,62997.0,62997.0,Max-Min
3,228848.0,229143.0,178813.0,Max-Min
4,62999.0,232250.0,155320.0,Max-Min
5,62999.0,228432.0,237846.0,Max-Min
6,116572.0,212473.0,159873.0,Max-Min
7,235944.0,92333.0,154639.0,Max-Min
8,63000.0,62983.0,62999.0,Max-Min
9,134412.0,72697.0,62999.0,Max-Min
10,251615.0,86142.0,117033.0,Max-Min
11,244902.0,101782.0,251500.0,Max-Min
12,157648.0,114783.0,251780.0,Max-Min
13,251724.0,219541.0,251366.0,Max-Min
14,251812.0,207628.0,251674.0,Max-Min
15,251849.0,224251.0,251825.0,Max-Min
16,251820.0,62999.0,63000.0,Max-Min
17,251778.0,62999.0,134412.0,Max-Min
18,251675.0,116578.0,251401.0,Max-Min
19,251819.0,248120.0,251830.0,Max-Min
20,251750.0,228563.0,251881.0,Max-Min
21,251700.0,231556.0,251610.0,Max-Min
22,251882.0,244322.0,251828.0,Max-Min
23,251798.0,234940.0,251895.0,Max-Min
24,251813.0,240453.0,157424.0,Max-Min
25,251781.0,224567.0,250447.0,Max-Min
26,251890.0,242387.0,250773.0,Max-Min
27,251837.0,220374.0,250770.0,Max-Min
28,251807.0,212486.0,250956.0,Max-Min
29,251587.0,212689.0,250395.0,Max-Min
30,251400.0,210730.0,250875.0,Max-Min
31,251477.0,199909.0,250391.0,Max-Min
32,250555.0,63000.0,251411.0,Max-Min
33,250434.0,134350.0,250586.0,Max-Min
34,250025.0,251356.0,250759.0,Max-Min
35,250018.0,251331.0,251175.0,Max-Min
36,251626.0,250409.0,251083.0,Max-Min
37,251616.0,251399.0,250863.0,Max-Min
38,251564.0,251727.0,250926.0,Max-Min
39,251634.0,251200.0,250779.0,Max-Min
40,251376.0,251118.0,251848.0,Max-Min
41,251463.0,250753.0,251823.0,Max-Min
42,251555.0,251623.0,251495.0,Max-Min
43,251357.0,251446.0,251743.0,Max-Min
44,250430.0,251365.0,251750.0,Max-Min
45,250784.0,250171.0,251753.0,Max-Min
46,250344.0,247784.0,251871.0,Max-Min
47,250445.0,241227.0,251511.0,Max-Min
48,251906.0,157641.0,251701.0,Max-Min
49,251924.0,221196.0,251299.0,Max-Min
50,251942.0,158957.0,251556.0,Max-Min
51,251828.0,166107.0,251720.0,Max-Min
52,251852.0,172284.0,251616.0,Max-Min
53,251818.0,176175.0,251646.0,Max-Min
54,251752.0,182773.0,251478.0,Max-Min
55,251838.0,165482.0,251574.0,Max-Min
56,251844.0,163856.0,209522.0,Max-Min
57,251808.0,173235.0,163745.0,Max-Min
58,251633.0,178791.0,160364.0,Max-Min
59,251821.0,171947.0,174452.0,Max-Min
60,141841.0,171222.0,160100.0,Max-Min
61,145694.0,172868.0,160642.0,Max-Min
62,144623.0,168955.0,154850.0,Max-Min
63,138358.0,163415.0,159089.0,Max-Min
64,222002.0,213847.0,216160.0,Min-Min
65,227192.0,184965.0,187507.0,Min-Min
66,220038.0,62973.0,227752.0,Min-Min
67,132692.0,62973.0,62968.0,Min-Min
68,183022.0,60188.0,60698.0,Min-Min
69,246000.0,60188.0,63030.0,Min-Min
70,252000.0,60188.0,62591.0,Min-Min
71,168000.0,60188.0,64479.0,Min-Min
72,81504.0,60188.0,172003.0,Min-Min
73,221537.0,68249.0,189000.0,Min-Min
74,252000.0,65617.0,246000.0,Min-Min
75,168000.0,60255.0,63000.0,Min-Min
76,61270.0,60510.0,60000.0,Min-Min
77,68603.0,62841.0,59999.0,Min-Min
78,209403.0,62403.0,60000.0,Min-Min
79,168459.0,64290.0,60000.0,Min-Min
80,221503.0,166083.0,70433.0,Min-Min
81,75292.0,188999.0,177444.0,Min-Min
82,137257.0,62999.0,246000.0,Min-Min
83,167430.0,62999.0,63000.0,Min-Min
